Entry	Protein names	Gene Names
P41004	Structural maintenance of chromosomes protein 4 (Cell untimely torn protein 3) (Chromosome segregation protein cut3)	cut3 smc4 SPBC146.03c
P41389	DNA replication licensing factor mcm5, EC 3.6.4.12 (Cell division control protein nda4) (Minichromosome maintenance protein 5)	mcm5 nda4 SPAC1B2.05 SPAC3F10.01
P41391	Ran GTPase-activating protein 1, Protein rna1	rna1 SPAC22E12.07
P41410	DNA repair protein rhp54, EC 3.6.4.12 (RAD54 homolog 1)	rhp54 rad54 SPAC15A10.03c
P41411	Cell division control protein 18	cdc18 SPBC14C8.07c
P41412	Cell division cycle-related protein res2/pct1	res2 pct1 SPAC22F3.09c
P41878	26S proteasome regulatory subunit rpn11 (Protein pad1)	rpn11 bfr2 pad1 sks1 SPAC31G5.13
P41887	Heat shock protein 90 homolog	swo1 hsp90 SPAC926.04c
P41889	Anaphase-promoting complex subunit cut9 (20S cyclosome/APC complex protein cut9) (Cell untimely torn protein 9)	cut9 dre1 SPAC6F12.15c
P41892	Cell division control protein 7, EC 2.7.11.1	cdc7 SPBC21.06c
P42656	Checkpoint signal transducer rad24	rad24 SPAC8E11.02c
P42881	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, EC 2.7.8.15 (GlcNAc-1-P transferase, G1PT, GPT) (N-acetylglucosamine-1-phosphate transferase)	gpt2 gpt SPBC15D4.04
P46595	Ubiquitin-conjugating enzyme E2 4, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 4) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)	ubc4 SPBC119.02
P47979	Zinc finger protein zfs1 (Multicopy suppressor of overexpressed cyr1 protein 4)	zfs1 moc4 SPBC1718.07c
P48003	Histone H2A.Z	pht1 pi001 SPBC11B10.10c
P48008	Septin homolog spn3	spn3 SPBC16A3.01 SPBC543.01c
P48009	Septin homolog spn4	spn4 SPAC9G1.11c
P48010	Septin homolog spn5 (Mei4-dependent protein 9) (Meiotic expression up-regulated protein 28)	spn5 mde9 meu28 SPAC24C9.15c
P48011	DNA-directed RNA polymerases I, II, and III subunit RPABC4, RNA polymerases I, II, and III subunit ABC4 (ABC10-alpha)	rpc10 rpb12 SPBC19C2.03
P49731	DNA replication licensing factor mcm6, EC 3.6.4.12 (Minichromosome maintenance protein 6)	mcm6 mis5 SPBC211.04c
P49777	ARS-binding protein 1	abp1 SPBC1105.04c
P50520	Phosphatidylinositol 3-kinase vps34, PI3-kinase vps34, PI3K vps34, PtdIns-3-kinase vps34, EC 2.7.1.137 (Vacuolar protein sorting-associated protein 34)	vps34 SPAC458.05
P50521	Hexokinase-2, EC 2.7.1.1	hxk2 SPAC4F8.07c
P50526	Serine/threonine-protein kinase ssp1, EC 2.7.11.1	ssp1 SPCC297.03
P50527	Serine/threonine-protein kinase shk1/pak1, EC 2.7.11.1	shk1 orb2 pak1 ste20 SPBC1604.14c
P50528	Serine/threonine-protein kinase plo1, EC 2.7.11.21	plo1 SPAC23C11.16
P50530	Serine/threonine-protein kinase sck1, EC 2.7.11.1	sck1 SPAC1B9.02c
P50531	Checkpoint protein rad17	rad17 SPAC14C4.13
P50537	Malic acid transport protein (Malate permease)	mae1 SPAPB8E5.03
P50582	Cell cycle serine/threonine-protein kinase hsk1, EC 2.7.11.1 (Cdc7-related kinase) (Minichromosome maintenance protein kinase)	hsk1 SPBC776.12c
P50998	AMP deaminase, EC 3.5.4.6 (Myoadenylate deaminase)	ada1 SPBC106.04
P52890	Transcription factor atf1 (Protein sss1) (Transcription factor mts1)	atf1 gad7 mts1 sss1 SPBC29B5.01
P53692	Structural maintenance of chromosomes protein 6 (DNA repair protein rad18)	smc6 rad18 SPCC5E4.06
P53695	Exodeoxyribonuclease 1, EC 3.1.-.- (Exodeoxyribonuclease I, EXO I, Exonuclease I)	exo1 SPBC29A10.05
P54789	Origin recognition complex subunit 1	orc1 orp1 SPBC29A10.15
P54874	Hydroxymethylglutaryl-CoA synthase, HMG-CoA synthase, EC 2.3.3.10 (3-hydroxy-3-methylglutaryl coenzyme A synthase)	hcs1 hcs SPAC4F8.14c
P55306	Catalase, EC 1.11.1.6	cta1 SPCC757.07c
P56523	Histone deacetylase clr3, EC 3.5.1.98 (Cryptic loci regulator 3)	clr3 SPBC800.03
P78753	Probable asparagine synthetase [glutamine-hydrolyzing], EC 6.3.5.4 (Glutamine-dependent asparagine synthetase)	asn1 SPBC119.10
P78774	Actin-related protein 2/3 complex subunit 1 (Arp2/3 complex 41 kDa subunit) (p41-ARC)	arc1 sop2 SPBC14C8.06
P78795	Eukaryotic translation initiation factor 3 subunit G, eIF3g (Eukaryotic translation initiation factor 3 RNA-binding subunit, eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit homolog, eIF3 p33 homolog)	tif35 eif3g SPBC18H10.03
P78820	Acetyl-CoA carboxylase, ACC, EC 6.4.1.2 (Cell untimely torn protein 6) [Includes: Biotin carboxylase, EC 6.3.4.14 ]	cut6 SPAC56E4.04c
P78831	High-affinity glucose transporter ght5 (Hexose transporter 5)	ght5 SPCC1235.14
P78871	Zinc finger protein rst2	rst2 SPAC6F12.02
P78875	Trehalose-phosphatase, EC 3.1.3.12 (Trehalose-6-phosphate phosphatase, TPP)	tpp1 SPAC19G12.15c
P78929	Cofilin (Actin-depolymerizing factor 1)	cof1 adf1 SPAC20G4.06c
P78937	Sulfate adenylyltransferase, EC 2.7.7.4 (ATP-sulfurylase) (Sulfate adenylate transferase, SAT)	sua1 asp1 met3 SPBC27.08c SPBC28F2.01c
P78953	Anillin-related medial ring protein mid1	mid1 dmf1 SPCC4B3.15
P78955	Checkpoint protein hus1	hus1 SPAC20G4.04c
P78958	Glyceraldehyde-3-phosphate dehydrogenase 1, GAPDH 1, EC 1.2.1.12	tdh1 gpd1 SPBC32F12.11
P78963	Protein arginine N-methyltransferase skb1, EC 2.1.1.- (Shk1 kinase-binding protein 1) (Type II protein arginine N-methyltransferase, Type II PRMT)	skb1 rmt5 SPBC16H5.11c
P78965	Glutathione reductase, GR, GRase, EC 1.8.1.7	pgr1 pi039 SPBC17A3.07
P78966	Mating factor M secretion protein mam1 (Multiple drug resistance protein homolog) (P-glycoprotein)	mam1 SPBC25B2.02c SPBC2G5.09c
P78968	Serine/threonine-protein phosphatase PP-Z, EC 3.1.3.16	pzh1 phz1 SPAC57A7.08
P78972	WD repeat-containing protein slp1	slp1 SPAC821.08c
P79005	Telomere length regulator taz1	taz1 myb myb1 SPAC16A10.07c
P79051	ATP-dependent helicase rhp16, EC 3.6.4.- (DNA repair protein rhp16) (RAD16 homolog)	rhp16 SPCC330.01c SPCC613.13c
P79065	Tip elongation protein 1 (Protein noc1)	tip1 noc1 SPAC3C7.12
P79083	Eukaryotic translation initiation factor 3 subunit I, eIF3i (Eukaryotic translation initiation factor 3 39 kDa subunit homolog, eIF-3 39 kDa subunit homolog, eIF3 p39) (Suppressor of uncontrolled mitosis 1)	sum1 eif3i tif34 SPAC4D7.05
P87027	Septum-promoting GTP-binding protein 1 (GTPase spg1) (Sid3 protein)	spg1 sid3 SPAC1565.06c
P87048	26S proteasome regulatory subunit rpn1 (19S regulatory cap region of 26S protease subunit 2) (Proteasome non-ATPase subunit mts4)	rpn1 mts4 SPBP19A11.03c
P87050	Mitosis inducer protein kinase cdr2, EC 2.7.11.1	cdr2 SPAC57A10.02
P87053	F-box/WD repeat-containing protein pof1 (Skp1-binding protein 1)	pof1 sbp1 SPAC57A10.05c
P87058	La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	sla1 lah1 SPAC57A10.10c
P87060	WD repeat-containing protein pop1 (WD repeat-containing protein ste16)	pop1 ste16 SPBC1718.01 SPBC2G2.18
P87061	Tip elongation aberrant protein 1 (Altered polarity protein 8) (Cell polarity protein tea1)	tea1 alp8 SPCC1223.06
P87074	DNA repair protein crb2 (Checkpoint mediator protein crb2) (Cut5-repeat binding protein 2) (RAD9 protein homolog)	crb2 rhp9 SPBC342.05
P87115	RNA cytidine acetyltransferase, EC 2.3.1.- (18S rRNA cytosine acetyltransferase)	nat10 SPAC20G8.09c
P87117	Vacuolar protein sorting-associated protein atg6 (Autophagy-related protein 6)	atg6 SPAC20G8.10c SPAC3A12.01c
P87126	Pre-mRNA-splicing factor cwf2 (Complexed with cdc5 protein 2) (Pre-mRNA-processing protein 3)	cwf2 prp3 SPAC3A12.11c
P87141	Target of rapamycin complex 1 subunit mip1, TORC1 subunit mip1	mip1 SPAC57A7.11
P87154	DNA polymerase epsilon catalytic subunit A, EC 2.7.7.7 (DNA polymerase II subunit A)	pol2 cdc20 SPBC25H2.13c
P87174	DNA polymerase epsilon subunit D (DNA polymerase II subunit D)	dpb4 SPBC3D6.09
P87175	DNA-(apurinic or apyrimidinic site) endonuclease 2, EC 3.1.11.2 (AP endonuclease 2) (Apurinic-apyrimidinic endonuclease 2)	apn2 SPBC3D6.10
P87176	E3 ubiquitin-protein ligase complex slx8-rfp subunit slx8, EC 2.3.2.27 (RING finger protein slx8) (RING-dependent E3 ubiquitin-protein ligase slx8) (RING-type E3 ubiquitin transferase slx8) (Synthetic lethal of unknown function protein 8)	slx8 SPBC3D6.11c
P87227	Inner kinetochore subunit mis6 (CENP-I homolog) (Constitutive centromere-associated network protein mis6) (Sim4 complex subunit mis6)	mis6 SPAC1687.20c
P87231	Crossover junction endonuclease mus81, EC 3.1.22.-	mus81 SPCC4G3.05c
P87244	Spindle pole body component alp16 (Altered polarity protein 16)	alp16 SPCC4G3.19
P87245	Karyogamy meiotic segregation protein 1	kms1 SPAC3A11.05c
P87297	DASH complex subunit dad1 (Outer kinetochore protein dad1)	dad1 SPAC16A10.05c
P87314	Protein hir1 (Histone transcription regulator 1 homolog)	hip1 hir1 SPBC31F10.13c
P87320	Protein msp1, mitochondrial	msp1 SPBC1718.06
P87324	DNA polymerase subunit delta-2, EC 2.7.7.7	cdc1 SPAC27E2.05
Q00619	Pheromone P-factor receptor	mam2 SPAC11H11.04
Q01112	Cell division control protein 42 homolog (CDC42Sp)	cdc42 SPAC110.03
Q01475	Small COPII coat GTPase sar1, EC 3.6.5.-	sar1 SPBC31F10.06c
Q01663	AP-1-like transcription factor (Caffeine resistance protein 3)	pap1 caf3 SPAC1783.07c
Q02088	Tropomyosin	cdc8 SPAC27F1.02c
Q02099	Protein kinase rad3, EC 2.7.11.1 (DNA repair protein rad3)	rad3 SPBC216.05
Q02592	Heavy metal tolerance protein	hmt1 SPCC737.09c SPCC74.08c
Q02787	Adenylosuccinate synthetase, AMPSase, AdSS, EC 6.3.4.4 (IMP--aspartate ligase)	ade2 SPAC144.03
Q02953	Heat shock factor protein, HSF (Heat shock transcription factor, HSTF)	hsf1 hsf SPAC2E12.02
Q03392	Proliferating cell nuclear antigen, PCNA	pcn1 pcn SPBC16D10.09
Q04665	Guanine nucleotide-binding protein alpha-2 subunit (GP2-alpha)	gpa2 SPAC23H3.13c
Q04800	Ferric reductase transmembrane component 1, EC 1.16.1.9 (Ferric-chelate reductase 1)	frp1 SPBC1683.09c
Q06182	Mating-type switching protein swi10	swi10 SPBC4F6.15c
Q07538	Serine/threonine-protein kinase prp4, EC 2.7.11.1	prp4 SPCC777.14
Q08I43	3'-5' exonuclease eri1, EC 3.1.-.- (Enhanced RNAi protein)	eri1 pi077 SPBC30B4.08
Q09116	Septin homolog spn2	spn2 SPAC821.06
Q09140	UDP-glucose:glycoprotein glucosyltransferase, EC 2.4.1.- (UDP--Glc:glycoprotein glucosyltransferase, UGT)	gpt1 SPBPJ4664.06
Q09142	Origin recognition complex subunit 2	orc2 orp2 SPBC685.09
Q09170	Serine/threonine-protein kinase cds1, EC 2.7.11.1 (Checkpoint kinase cds1)	cds1 SPCC18B5.11c
Q09173	Protein phosphatase 2C homolog 3, PP2C-3, EC 3.1.3.16	ptc3 SPAC2G11.07c
Q09175	Dibasic-processing endoprotease, EC 3.4.21.- (KEX2-related protease)	krp1 krp SPAC22E12.09c
Q09180	Pro-P-factor [Cleaved into: P-factor; P-factor-like 1; P-factor-like 2 ]	map2 SPCC1795.06
Q09196	Myosin regulatory light chain cdc4	cdc4 SPAP8A3.08
Q09683	DNA repair protein rad32	rad32 SPAC13C5.07
Q09684	Nuclear fusion protein tht1 (Twin horsetail protein 1)	tht1 kar5 SPAC13C5.03
Q09685	Pre-mRNA-splicing factor dre4 (DNA replication protein 4) (Hyphal growth protein 1)	dre4 hgp1 SPAC13C5.02
Q09690	DYRK-family kinase pom1, EC 2.7.12.1	pom1 SPAC2F7.03c
Q09693	DNA polymerase type-X family protein pol4, EC 2.7.7.7	pol4 SPAC2F7.06c
Q09697	Rho-GTPase-activating protein 8	rga8 SPAC13A11.01c SPAC2F7.18c
Q09702	Negative regulator of differentiation 1 (Multicopy suppressor of sporulation protein msa2)	nrd1 msa2 SPAC2F7.11
Q09704	Exosome complex component rrp4 (Ribosomal RNA-processing protein 4)	rrp4 SPAC2F7.14c
Q09706	Phospholipase D1, PLD 1, EC 3.1.4.4 (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	pld1 SPAC2F7.16c
Q09711	Calcium-binding protein NCS-1	ncs1 SPAC18B11.04
Q09715	Transcriptional repressor tup11	tup11 SPAC18B11.10
Q09718	AP-2 complex subunit mu (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein) (Probable clathrin coat assembly protein AP50)	apm4 SPAC31A2.09c
Q09725	Sister chromatid cohesion protein mis4 (SCC2 homolog)	mis4 SPAC31A2.05c
Q09728	Metal-binding regulatory protein cuf1	cuf1 SPAC31A2.11c
Q09731	UBP9-binding protein bun107 (Binding ubp9 protein of 107 kDa)	bun107 wdr48 SPAC31A2.14
Q09733	Rho guanine nucleotide exchange factor gef2	gef2 SPAC31A2.16
Q09736	Lanosterol 14-alpha demethylase erg11, EC 1.14.14.154 (Cytochrome P450 51) (Ergosterol biosynthetic protein 11) (Sterol 14-alpha demethylase)	erg11 cyp51 SPAC13A11.02c
Q09743	Target of rapamycin complex 2 subunit ste20, TORC2 subunit ste20	ste20 SPBC12C2.02c
Q09748	Dynamin-related protein dnm1, EC 3.6.5.5	dnm1 SPBC12C2.08
Q09750	Paired amphipathic helix protein pst1 (SIN3 homolog 1)	pst1 SPBC12C2.10c SPBC21D10.01c
Q09751	Lactoylglutathione lyase, EC 4.4.1.5 (Aldoketomutase) (Glyoxalase I, Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	glo1 SPBC12C2.12c SPBC21D10.03c
Q09752	Multidrug resistance protein fnx1	fnx1 SPBC12C2.13c SPBC21D10.04c
Q09756	Hexokinase-1, EC 2.7.1.1	hxk1 SPAC24H6.04
Q09763	Rho guanine nucleotide exchange factor gef1	gef1 SPAC24H6.09
Q09772	Meiotic recombination protein rdh54, EC 3.6.4.12 (ATP-dependent helicase rdh54) (Meiotically up-regulated gene 34 protein) (RAD54 protein homolog 2)	rdh54 mug34 tid1 SPAC22F3.03c
Q09778	Tuberous sclerosis 1 protein homolog	tsc1 SPAC22F3.13
Q09790	Diphosphoinositol polyphosphate phosphohydrolase aps1, EC 3.6.1.52 (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase, Ap6A hydrolase) (Diadenosine hexaphosphate hydrolase (ADP-forming), EC 3.6.1.-)	aps1 SPAC13G6.14 SPAC24B11.03
Q09794	Protein ura1 [Includes: Glutamine-dependent carbamoyl-phosphate synthase, EC 6.3.5.5; Aspartate carbamoyltransferase, EC 2.1.3.2 ]	ura1 SPAC22G7.06c
Q09803	Suppressor protein of bem1/bed5 double mutants, EC 3.6.4.6	vps4 SPAC2G11.06
Q09808	SMN complex subunit smn1 (Gemin-1) (Survival motor neuron protein)	smn1 yab8 SPAC2G11.08c
Q09811	ATP-dependent DNA helicase hus2/rqh1, EC 3.6.4.12	rqh1 hus2 rad12 rec9 SPAC2G11.12
Q09814	Trimethylguanosine synthase, EC 2.1.1.- (Cap-specific guanine-N2 methyltransferase) (snRNA/snoRNA cap hypermethylase)	tgs1 SPAC2G11.15c SPAC521.01c
Q09815	Serine/threonine-protein kinase ppk5, EC 2.7.11.1 (Meiotically up-regulated gene 189 protein)	ppk5 mug189 SPAC16C9.07 SPAC2G11.01
Q09822	Cell division control protein 15	cdc15 SPAC20G8.05c
Q09823	Linear element protein rec10 (Meiotic recombination protein rec10)	rec10 SPAC25G10.04c
Q09825	Spindle pole body-associated protein sad1	sad1 SPBC12D12.01 SPBC16H5.01c
Q09826	Protein sds23/moc1 (Multicopy suppressor of overexpressed cyr1 protein 1) (Phosphoprotein at stationary phase 1 protein)	sds23 moc1 psp1 SPBC646.13
Q09838	Transcriptional regulator prz1 (Pbp1-responsive zinc finger protein 1)	prz1 SPAC4G8.13c
Q09843	Replication factor C subunit 2, Replication factor C2 (Activator 1 41 kDa subunit)	rfc2 SPAC23D3.02
Q09849	SWI/SNF and RSC complexes subunit arp42 (Actin-related protein 42) (Chromatin structure-remodeling complex subunit arp42)	arp42 arp4 SPAC23D3.09
Q09850	Ascus wall endo-1,3(4)-beta-glucanase (Endo-1,3(4)-beta-glucanase 2, Endo-1,3-beta-glucanase 2, Endo-1,4-beta-glucanase 2, EC 3.2.1.6) (Laminarinase-2)	eng2 SPAC23D3.10c
Q09851	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase, ADR, EC 1.1.1.101 (1-acyl DHAP reductase) (Acyl/alkyl DHAP reductase) (Acylglycerone-phosphate reductase) (Triacylglycerol lipase ayr1, TAG lipase, EC 3.1.1.3)	ayr1 SPAC23D3.11
Q09864	Heat shock protein 60, mitochondrial, HSP60	hsp60 mcp60 SPAC12G12.04
Q09882	Pre-mRNA-processing protein 45 (Complexed with cdc5 protein 13) (Transcriptional coregulator snw1)	prp45 cwf13 snw1 SPCC188.11 SPCC584.08
Q09883	Septin homolog spn6	spn6 SPCC188.12 SPCC584.09
Q09884	Protein Dicer (Cell cycle control protein dcr1) (RNA interference pathway protein dcr1) [Includes: Endoribonuclease dcr1, EC 3.1.26.-; ATP-dependent helicase dcr1, EC 3.6.4.- ]	dcr1 SPCC188.13c SPCC584.10c
Q09892	Mitogen-activated protein kinase sty1, MAP kinase sty1, EC 2.7.11.24 (MAP kinase spc1)	sty1 hog1 phh1 spc1 SPAC24B11.06c
Q09898	Serine/threonine-protein kinase sid2, EC 2.7.11.1	sid2 SPAC24B11.11c
Q09907	Endonuclease III homolog, EC 3.2.2.-, EC 4.2.99.18 (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase, DNA glycosylase/AP lyase)	nth1 SPAC30D11.07
Q09914	GTP-binding protein rho1	rho1 SPAC1F7.04
Q09917	TRP-like ion channel pkd2 (Polycystic kidney disease-related ion channel 2)	pkd2 SPAC1F7.03
Q09926	Transcription factor pcr1 (Transcription factor mts2)	pcr1 mts2 SPAC21E11.03c
Q09933	Phosphoprotein p93	dis1 SPCC736.14
Q10059	Cell division control protein 12	cdc12 SPAC1F5.04c
Q10074	Vacuolar amino acid transporter 3	avt3 SPAC3H1.09c
Q10099	Nucleoporin seh1 (Nuclear pore protein seh1)	seh1 SPAC15F9.02
Q10103	Chromo domain-containing protein 1	chp1 SPAC18G6.02c
Q10109	Lap-Emerin-Man domain protein 2, LEM domain protein 2	lem2 heh1 SPAC18G6.10
Q10113	Microtubule integrity protein mal3	mal3 SPAC18G6.15
Q10133	GTP-binding protein rho2	rho2 SPAC16.01
Q10134	Iron-sensing transcriptional repressor (Transcription factor gaf2, Gaf-2)	fep1 gaf2 SPAC23E2.01
Q10135	Lysine-specific histone demethylase 2, EC 1.-.-.-	lsd2 saf140 swm2 SPAC23E2.02
Q10137	Sec14 cytosolic factor (Phosphatidylinositol/phosphatidyl-choline transfer protein, PI/PC TP) (Sporulation-specific protein 20)	sec14 spo20 SPAC3H8.10
Q10146	Exosome complex exonuclease rrp6, EC 3.1.13.- (Ribosomal RNA-processing protein 6)	rrp6 SPAC1F3.01 SPAC3H8.11
Q10156	Dual specificity protein kinase lkh1, EC 2.7.12.1	lkh1 kic1 SPAC1D4.11c
Q10159	Adenine DNA glycosylase, EC 3.2.2.31	myh1 myh SPAC26A3.02
Q10163	Small nuclear ribonucleoprotein-associated protein B, snRNP-B (Sm protein B, Sm-B, SmB)	smb1 SPAC26A3.08
Q10164	Probable Rho-type GTPase-activating protein 2	rga2 SPAC26A3.09c
Q10168	Nucleoporin nsp1 (Nuclear pore protein nsp1) (Nucleoskeletal-like protein)	nsp1 SPAC26A3.15c
Q10173	Kinetochore protein nuf2 (NMS complex subunit nuf2)	nuf2 SPAC27F1.04c
Q10178	U2 snRNP component prp10	prp10 sap155 SPAC27F1.09c
Q10179	Putative glycine--tRNA ligase, EC 6.1.1.14 (Diadenosine tetraphosphate synthetase, Ap4A synthetase, EC 2.7.7.-) (Glycyl-tRNA synthetase, GlyRS)	grs1 SPAC3F10.03
Q10185	ATP-binding cassette transporter abc2, ABC transporter abc2, EC 7.-.-.- (ATP-energized glutathione S-conjugate pump abc2) (Glutathione S-conjugate-transporting ATPase abc2)	abc2 SPAC3F10.11c
Q10197	Tubulin-folding cofactor D (Altered polarity protein 1)	alp1 SPBC11C11.04c
Q10198	Kinetochore protein ndc80 (NMS complex subunit ndc80)	ndc80 ndc10 tid3 SPBC11C11.03
Q10199	Septation protein imp2	imp2 SPBC11C11.02
Q10223	F-box protein pof14	pof14 SPAC13D6.01
Q10256	UBA domain-containing protein Mud1, EC 3.4.23.- (DNA-damage-inducible protein DDI1 homolog) (UBA domain-containing protein 1)	mud1 ddi1 ucp1 SPAC56F8.08
Q10258	Methylenetetrahydrofolate reductase 1, EC 1.5.1.20	met9 SPAC56F8.10
Q10268	Membrane-anchored protein 1	mac1 SPAC13G7.04c
Q10274	Telobox protein 1 (Meiotically up-regulated gene 152 protein)	teb1 mug152 spX SPAC13G7.10
Q10279	Uracil permease	fur4 SPAC1399.03
Q10280	Transcription factor gaf1, Gaf-1	gaf1 SPCC1902.01 SPCC417.01c
Q10281	Guanine nucleotide-binding protein subunit beta-like protein (Receptor of activated protein kinase C)	rkp1 cpc2 SPAC6B12.15
Q10282	Guanine nucleotide-binding protein subunit beta	git5 gpb1 pi017 SPBC32H8.07
Q10283	3-hydroxy-3-methylglutaryl-coenzyme A reductase, HMG-CoA reductase, EC 1.1.1.34	hmg1 its12 SPCC162.09c
Q10284	Ribosome-associated molecular chaperone sks2, EC 3.6.4.10 (Heat shock cognate protein hsc1) (Hsp70 chaperone Ssb) (Suppressor of K-252a sensitivity protein 2)	sks2 hsc1 SPBC1709.05
Q10287	1,3-beta-glucan synthase component bgs1, EC 2.4.1.34 (1,3-beta-D-glucan-UDP glucosyltransferase)	bgs1 cps1 drc1 SPBC19G7.05c
Q10289	Fatty acid synthase subunit alpha, EC 2.3.1.86 (p190/210) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase, EC 1.1.1.100 (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase, EC 2.3.1.41 (Beta-ketoacyl synthase) ]	fas2 lsd1 SPAC4A8.11c
Q10292	Meiosis-specific serine/threonine-protein kinase mek1, EC 2.7.11.1	mek1 SPAC14C4.03
Q10295	Poly(A) polymerase pla1, PAP, EC 2.7.7.19 (Polynucleotide adenylyltransferase)	pla1 SPBC646.04
Q10315	Transcription regulator complex subunit bur6	bur6 SPAC17G8.03c
Q10322	Probable E3 ubiquitin-protein ligase dma1, EC 2.3.2.27 (RING-type E3 ubiquitin transferase dma1)	dma1 SPAC17G8.10c
Q10325	Histone acetyltransferase mst2, EC 2.3.1.48	mst2 SPAC17G8.13c
Q10331	Nucleoporin nup107 (Nuclear pore protein nup107)	nup107 SPBC428.01c SPBC582.11c
Q10336	Meiotic coiled-coil protein 6 (Horsetail movement protein hrs1) (Meiotically up-regulated gene 3 protein)	mcp6 hrs1 mug3 SPBC582.06c
Q10341	Serine O-succinyltransferase, SST, EC 2.3.1.-	cys2 SPBC106.17c
Q10343	5'-AMP-activated protein kinase subunit gamma, AMPK gamma, AMPK subunit gamma	cbs2 SPAC1556.08c SPAC1F12.01c
Q10356	Glutathione-independent glyoxalase DJ-1, EC 4.2.1.130 (Heat shock protein 31 homolog 6) (Protein DJ-1 homolog)	hsp3106 spDJ-1 SPAC22E12.03c
Q10364	Serine/threonine-protein kinase sck2, EC 2.7.11.1	sck2 SPAC22E12.14c
Q10407	MAP kinase kinase kinase mkh1, EC 2.7.11.25	mkh1 SPAC1F3.02c
Q10423	Cruciform cutting endonuclease 1, mitochondrial, EC 3.1.21.10 (Protein ydc2)	cce1 ydc2 SPAC25G10.02
Q10425	Eukaryotic translation initiation factor 3 subunit B, eIF3b (Eukaryotic translation initiation factor 3 90 kDa subunit homolog, eIF3 p90) (Translation initiation factor eIF3 p90 subunit homolog) (spPrt1)	SPAC25G10.08
Q10426	Chromatin modification-related protein rik1 (Silencing protein rik1)	rik1 SPCC11E10.08
Q10428	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta 1 isoform (PP2A, B subunit, B' delta 1 isoform)	par1 pbp1 SPCC188.02
Q10429	Condensin complex subunit 3 (CAPG homolog) (p100)	cnd3 SPCC188.03
Q10432	Coiled-coil quantitatively-enriched protein 1 (Structural maintenance of chromosomes protein ccq1, SMC protein ccq1)	ccq1 SPCC188.07
Q10434	F-actin-capping protein subunit alpha	acp1 SPAC12B10.07
Q10452	Protein kinase gsk3, EC 2.7.11.1 (Protein kinase skp1)	gsk3 skp1 SPAC1687.15
Q10480	Nuclease 1, mitochondrial, EC 3.1.30.- (SpNUC1)	pnu1 nuc1 SPAC17C9.08
Q10484	Vesicle-associated membrane protein-associated protein scs22, VAMP-associated protein scs22	scs22 SPAC17C9.12
Q10585	S-phase delaying protein 1 (Protein p14)	spd1 SPAC29B12.03
Q10659	Membrane glycoprotein spo14 (SEC12-like protein) (Sporulation-specific protein 14)	spo14 st11 stl1 SPBC3H7.01 SPBP16F5.01c
Q10951	Protein byr4	byr4 SPAC222.10c
Q10988	UV-damage endonuclease, UVDE, EC 3.-.-.-	uve1 uvde SPBC19C7.09c
Q10990	Cell division cycle protein cdt2	cdt2 SPAC17H9.19c
Q11120	Prolyl 3,4-dihydroxylase ofd1, EC 1.14.11.- (2-oxoglutarate and Fe(II) dioxygenase domain-containing protein 1) (PKHD-type hydroxylase ofd1) (uS12 prolyl 3,4-dihydroxylase)	ofd1 SPBC6B1.08c
Q12126	Serine/threonine-protein kinase crk1, EC 2.7.11.23 (Mitotic catastrophe suppressor 6)	crk1 mcs6 mop1 SPBC19F8.07
Q12701	Serine/threonine-protein kinase ksg1, EC 2.7.11.1 (PDK1-like kinase ksg1)	ksg1 SPCC576.15c
Q12702	Protein phosphatase PP2A regulatory subunit B (Protein phosphatase 2A 55 kDa regulatory subunit, PR55)	pab1 SPAC227.07c
Q12705	Serine/threonine-protein phosphatase 2B catalytic subunit, EC 3.1.3.16	ppb1 SPBC1346.01c SPBP4H10.04
Q12706	Serine/threonine-protein kinase psk1, EC 2.7.11.1 (Ribosomal S6 kinase homolog psk1, S6K homolog psk1)	psk1 SPCC4G3.08
Q1MTQ0	E3 ubiquitin-protein ligase brl1, EC 2.3.2.27 (BRE1-like protein 1) (RING finger protein 2) (RING-type E3 ubiquitin transferase brl1)	brl1 rfp2 SPCC1919.15 SPCC790.01
Q1MTQ1	Kinesin-like protein tea2 (Kinesin-like protein 4) (Tip elongation aberrant protein 2)	tea2 klp4 SPBC1604.20c
Q1MTQ7	Kinesin-like motor protein 9	klp9 SPBC15D4.01c SPBC2D10.21c
