Entry	Protein names	Gene Names
A0A1B6PMU2	Uncharacterized protein	SORBI_3006G195800
A0A1B6PMU7	Glutamate receptor	SORBI_3006G193200
A0A1B6PMV1	Probable purine permease	SORBI_3006G195100
A0A1B6PMW2	Uncharacterized protein	SORBI_3006G212200
A0A1B6PMW7	EGF_CA domain-containing protein	SORBI_3006G211300
A0A1B6PMX6	RING-type domain-containing protein	SORBI_3006G194700
A0A1B6PMY2	Uncharacterized protein	SORBI_3006G199700
A0A1B6PMY4	Phosphoenolpyruvate carboxykinase (ATP), EC 4.1.1.49	SORBI_3006G198400
A0A1B6PMY5	Protein kinase domain-containing protein	SORBI_3006G204900
A0A1B6PMY7	Uncharacterized protein	SORBI_3006G201700
A0A1B6PN16	Uncharacterized protein	SORBI_3006G203300
A0A1B6PN20	26S proteasome non-ATPase regulatory subunit 1 homolog	SORBI_3006G208500
A0A1B6PN21	Glucose-6-phosphate 1-epimerase, EC 5.1.3.15	SORBI_3006G205000
A0A1B6PN65	Uncharacterized protein	SORBI_3006G214700
A0A1B6PN72	Protein kinase domain-containing protein	SORBI_3006G215400
A0A1B6PN86	Uncharacterized protein	SORBI_3006G228833
A0A1B6PN98	Uncharacterized protein	SORBI_3006G221000
A0A1B6PNA0	Autophagy-related protein	SORBI_3006G220900
A0A1B6PNA2	Autophagy-related protein	SORBI_3006G220900
A0A1B6PNC0	ENDO3c domain-containing protein	SORBI_3006G224100
A0A1B6PNC5	Protein SDA1	SORBI_3006G226300
A0A1B6PND4	Kinesin-like protein	SORBI_3006G226200
A0A1B6PNF9	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3006G229600
A0A1B6PNG5	N-acetyltransferase domain-containing protein	SORBI_3006G231600
A0A1B6PNG7	t-SNARE coiled-coil homology domain-containing protein	SORBI_3006G232200
A0A1B6PNK5	Clu domain-containing protein	SORBI_3006G239000
A0A1B6PNK6	CASP-like protein	SORBI_3006G238400
A0A1B6PNM5	Protein kinase domain-containing protein	SORBI_3006G241800
A0A1B6PNP3	Uncharacterized protein	SORBI_3006G244300
A0A1B6PNP6	Vacuolar cation/proton exchanger	SORBI_3006G245100
A0A1B6PNP8	MPN domain-containing protein	SORBI_3006G245700
A0A1B6PNQ0	Protein kinase domain-containing protein	SORBI_3006G246500
A0A1B6PNQ1	MPN domain-containing protein	SORBI_3006G245700
A0A1B6PNQ2	Protein kinase domain-containing protein	SORBI_3006G246400
A0A1B6PNQ3	Ubiquinol oxidase, EC 1.10.3.11	SORBI_3006G258800
A0A1B6PNQ5	Protein kinase domain-containing protein	SORBI_3006G246200
A0A1B6PNR0	Lipoxygenase, EC 1.13.11.-	SORBI_3006G248300
A0A1B6PNR1	Protein kinase domain-containing protein	SORBI_3006G246300
A0A1B6PNR5	Phosphoribosylformylglycinamidine synthase, EC 6.3.5.3 (Formylglycinamide ribonucleotide amidotransferase) (Formylglycinamide ribotide amidotransferase)	SORBI_3006G247900
A0A1B6PNS7	Glutamine synthetase, EC 6.3.1.2	SORBI_3006G249400
A0A1B6PNS9	Inositol-pentakisphosphate 2-kinase, EC 2.7.1.158	SORBI_3006G251500
A0A1B6PNT2	PMR5N domain-containing protein	SORBI_3006G251100
A0A1B6PNT3	Protein pelota homolog, EC 3.1.-.-	SORBI_3006G250300
A0A1B6PNU8	Protein kinase domain-containing protein	SORBI_3006G252700
A0A1B6PNW1	GTP cyclohydrolase 1, EC 3.5.4.16 (GTP cyclohydrolase I)	SORBI_3006G254100
A0A1B6PNW7	GTP cyclohydrolase 1, EC 3.5.4.16 (GTP cyclohydrolase I)	SORBI_3006G254100
A0A1B6PNX4	Auxin response factor	SORBI_3006G255300
A0A1B6PNY0	Cysteine dioxygenase, EC 1.13.11.20	SORBI_3006G258300
A0A1B6PNY4	Ubiquinol oxidase, EC 1.10.3.11	SORBI_3006G258800
A0A1B6PNY9	Acyl-[acyl-carrier-protein] hydrolase, EC 3.1.2.-	SORBI_3006G259300
A0A1B6PP06	Auxin response factor	SORBI_3006G262100
A0A1B6PP12	Uracil-DNA glycosylase, UDG, EC 3.2.2.27	SORBI_3006G263400
A0A1B6PP22	RING-type domain-containing protein	SORBI_3006G265200
A0A1B6PP26	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (Coenzyme Q biosynthesis protein 4 homolog)	SORBI_3006G263900
A0A1B6PP41	Katanin p80 WD40 repeat-containing subunit B1 homolog	SORBI_3006G267500
A0A1B6PP55	Uncharacterized protein	SORBI_3006G269900
A0A1B6PP60	N-acetylglucosaminylphosphatidylinositol deacetylase, EC 3.5.1.89	SORBI_3006G268300
A0A1B6PP62	Protein kinase domain-containing protein	SORBI_3006G269000
A0A1B6PP63	MLO-like protein	MLO SORBI_3006G270300
A0A1B6PP73	AT-hook motif nuclear-localized protein	SORBI_3006G273000
A0A1B6PP79	Cysteine protease, EC 3.4.22.-	SORBI_3006G271200
A0A1B6PP80	Uncharacterized protein	SORBI_3006G272600
A0A1B6PP90	Transcription repressor (Ovate family protein)	SORBI_3006G274000
A0A1B6PP92	Ribosome biogenesis regulatory protein	SORBI_3006G274100
A0A1B6PP94	Inorganic diphosphatase, EC 3.6.1.1	SORBI_3006G276700
A0A1B6PPA0	Protein kinase domain-containing protein	SORBI_3006G278000
A0A1B6PPA5	Uncharacterized protein	SORBI_3006G278700
A0A1B6PPB3	Inorganic diphosphatase, EC 3.6.1.1	SORBI_3006G276700
A0A1B6PPC8	Cytochrome c domain-containing protein	SORBI_3006G282000
A0A1B6PPD4	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	SORBI_3006G282200
A0A1B6PPD8	Signal recognition particle receptor subunit beta	SORBI_3005G001400
A0A1B6PPE1	Uncharacterized protein	SORBI_3006G281400
A0A1B6PPF4	EF-hand domain-containing protein	SORBI_3005G001700
A0A1B6PPF6	Ferritin, EC 1.16.3.1	SORBI_3005G004500
A0A1B6PPF8	Ferritin, EC 1.16.3.1	SORBI_3005G004500
A0A1B6PPG5	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	SORBI_3005G005400
A0A1B6PPH4	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	SORBI_3005G005400
A0A1B6PPI1	Protein kinase domain-containing protein	SORBI_3005G004300
A0A1B6PPJ4	Raptor_N domain-containing protein	SORBI_3005G008800
A0A1B6PPM9	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3005G012200
A0A1B6PPN1	RING-type domain-containing protein	SORBI_3005G015450
A0A1B6PPN2	Cysteine desulfurase, EC 2.8.1.7	SORBI_3005G014700
A0A1B6PPN4	Cysteine desulfurase, EC 2.8.1.7	SORBI_3005G014700
A0A1B6PPQ7	IPPc domain-containing protein	SORBI_3005G020400
A0A1B6PPR6	Non-reducing end alpha-L-arabinofuranosidase, EC 3.2.1.55	SORBI_3005G022500
A0A1B6PPS0	5'-3' exoribonuclease, EC 3.1.13.-	SORBI_3005G022200
A0A1B6PPS5	5'-3' exoribonuclease, EC 3.1.13.-	SORBI_3005G022200
A0A1B6PPS7	Rhamnogalacturonan endolyase, EC 4.2.2.23	SORBI_3005G024000
A0A1B6PPS8	Non-reducing end alpha-L-arabinofuranosidase, EC 3.2.1.55	SORBI_3005G022500
A0A1B6PPV0	Str_synth domain-containing protein	SORBI_3005G029400
A0A1B6PPV1	Calcium-transporting ATPase, EC 7.2.2.10	SORBI_3005G028400
A0A1B6PPV7	DsbD domain-containing protein	SORBI_3005G028900
A0A1B6PPV8	FAD-binding PCMH-type domain-containing protein	SORBI_3005G031000
A0A1B6PPW0	FAD-binding PCMH-type domain-containing protein	SORBI_3005G031000
A0A1B6PPY6	Long-chain-fatty-acid--CoA ligase, EC 6.2.1.3	SORBI_3005G033100
A0A1B6PQ00	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3005G037100
A0A1B6PQ06	RING-type domain-containing protein	SORBI_3005G036400
A0A1B6PQ07	SRP54 domain-containing protein	SORBI_3005G039500
A0A1B6PQ12	Alpha-carbonic anhydrase domain-containing protein	SORBI_3005G039000
A0A1B6PQ17	BZIP domain-containing protein	SORBI_3005G041100
A0A1B6PQ40	Digalactosyldiacylglycerol synthase, EC 2.4.1.241	SORBI_3005G045000
A0A1B6PQ74	Protein kinase domain-containing protein	SORBI_3005G050300
A0A1B6PQ96	Protein kinase domain-containing protein	SORBI_3005G052000
A0A1B6PQC8	Protein kinase domain-containing protein	SORBI_3005G055900
A0A1B6PQD8	Protein kinase domain-containing protein	SORBI_3005G057700
A0A1B6PQE2	Uncharacterized protein	SORBI_3005G059800
A0A1B6PQE3	Uncharacterized protein	SORBI_3005G060200
A0A1B6PQH3	Dirigent protein	SORBI_3005G063600
A0A1B6PQI2	C2 domain-containing protein	SORBI_3005G064100
A0A1B6PQI3	Protein kinase domain-containing protein	SORBI_3005G065000
A0A1B6PQI9	Aldehyde dehydrogenase	SORBI_3005G064800
A0A1B6PQJ0	Protein kinase domain-containing protein	SORBI_3005G063600
A0A1B6PQL9	Uncharacterized protein	SORBI_3005G069700
A0A1B6PQM3	EGF-like domain-containing protein	SORBI_3005G069800
A0A1B6PQQ6	Protein disulfide-isomerase, EC 5.3.4.1	SORBI_3005G074400
A0A1B6PQR1	Protein translocase subunit SecA	SORBI_3005G072100
A0A1B6PQR4	Protein kinase domain-containing protein	SORBI_3005G075400
A0A1B6PQS9	Protein kinase domain-containing protein	SORBI_3005G075200
A0A1B6PQZ8	S4 domain-containing protein	SORBI_3005G084500
A0A1B6PR07	Glutathione transferase, EC 2.5.1.18	SORBI_3005G086100
A0A1B6PR13	Uncharacterized protein	SORBI_3005G086600
A0A1B6PR17	Non-reducing end alpha-L-arabinofuranosidase, EC 3.2.1.55	SORBI_3005G087400
A0A1B6PR18	ZF-HD dimerization-type domain-containing protein	SORBI_3005G086700
A0A1B6PR20	Non-reducing end alpha-L-arabinofuranosidase, EC 3.2.1.55	SORBI_3005G087400
A0A1B6PR29	Non-lysosomal glucosylceramidase, NLGase, EC 3.2.1.45	SORBI_3005G087900
A0A1B6PR30	Non-lysosomal glucosylceramidase, NLGase, EC 3.2.1.45	SORBI_3005G087900
A0A1B6PR39	CCR4-NOT transcription complex subunit 11	SORBI_3005G088900
A0A1B6PR48	Sucrose-phosphate synthase, EC 2.4.1.14	SORBI_3005G089600
A0A1B6PR67	Terpene cyclase/mutase family member, EC 5.4.99.-	SORBI_3005G092500
A0A1B6PR79	Protein kinase domain-containing protein	SORBI_3005G092700
A0A1B6PRC8	Auxin-responsive protein	SORBI_3005G098400
A0A1B6PRF8	Uncharacterized protein	SORBI_3005G103800
A0A1B6PRH1	AP2/ERF domain-containing protein	SORBI_3005G103000
A0A1B6PRI2	Protein kinase domain-containing protein	SORBI_3005G105000
A0A1B6PRI8	Mitogen-activated protein kinase, EC 2.7.11.24	SORBI_3005G106600
A0A1B6PRP0	Adenosylhomocysteinase, EC 3.3.1.1	SORBI_3005G112800
A0A1B6PRR0	Ubiquitin carboxyl-terminal hydrolase, EC 3.4.19.12	SORBI_3005G112300
A0A1B6PRR1	Adenosylhomocysteinase, EC 3.3.1.1	SORBI_3005G112800
A0A1B6PRW0	ABC transporter domain-containing protein	SORBI_3005G117300
A0A1B6PRZ3	Bidirectional sugar transporter SWEET	SORBI_3005G123500
A0A1B6PS10	Uncharacterized protein	SORBI_3005G125400
A0A1B6PS18	Protein kinase domain-containing protein	SORBI_3005G124700
A0A1B6PS39	Protein-serine/threonine phosphatase, EC 3.1.3.16	SORBI_3005G128400
A0A1B6PSI5	Kinesin-like protein	SORBI_3005G144600
A0A1B6PSM5	Aminotran_1_2 domain-containing protein	SORBI_3005G152000
A0A1B6PSM6	Aminotran_1_2 domain-containing protein	SORBI_3005G152000
A0A1B6PSM8	Protein kinase domain-containing protein	SORBI_3005G151000
A0A1B6PSN1	Growth-regulating factor	SORBI_3005G150900
A0A1B6PSN4	Aldehyde oxygenase (deformylating), EC 4.1.99.5	SORBI_3005G151100
A0A1B6PSQ6	Uncharacterized protein	SORBI_3005G155100
A0A1B6PSQ8	Uncharacterized protein	SORBI_3005G155600
A0A1B6PSQ9	Phytosulfokine [Cleaved into: Phytosulfokine-alpha, PSK-alpha, Phytosulfokine-a; Phytosulfokine-beta, PSK-beta, Phytosulfokine-b ]	SORBI_3005G155200
A0A1B6PSR5	Long-chain-fatty-acid--CoA ligase, EC 6.2.1.3	SORBI_3005G156100
A0A1B6PST2	TPX2 domain-containing protein	SORBI_3005G159600
A0A1B6PSU4	Replication factor C subunit 1	SORBI_3005G160100
A0A1B6PSV9	Uncharacterized protein	SORBI_3005G161500
A0A1B6PSW2	Replication factor C subunit 1	SORBI_3005G160100
A0A1B6PT03	Sulfotransferase, EC 2.8.2.-	SORBI_3005G166700
A0A1B6PT04	3-ketoacyl-CoA synthase, EC 2.3.1.-	SORBI_3005G168700
A0A1B6PT06	Protein-serine/threonine phosphatase, EC 3.1.3.16	SORBI_3005G167700
A0A1B6PT17	TPX2 domain-containing protein	SORBI_3005G169700
A0A1B6PT26	Uncharacterized protein	SORBI_3005G169100
A0A1B6PT29	Histone H2A	SORBI_3005G168500
A0A1B6PT78	RNA helicase, EC 3.6.4.13	SORBI_3005G175100
A0A1B6PT89	Mannose-6-phosphate isomerase, EC 5.3.1.8	SORBI_3005G176100
A0A1B6PT90	MADS-box domain-containing protein	SORBI_3005G179900
A0A1B6PT95	MADS-box domain-containing protein	SORBI_3005G180000
A0A1B6PTJ4	Uncharacterized protein	SORBI_3005G195800
A0A1B6PTK0	Splicing factor U2af large subunit (U2 auxiliary factor 65 kDa subunit) (U2 small nuclear ribonucleoprotein auxiliary factor large subunit (U2 snRNP auxiliary factor large subunit))	SORBI_3005G195800
A0A1B6PTK2	Splicing factor U2af large subunit (U2 auxiliary factor 65 kDa subunit) (U2 small nuclear ribonucleoprotein auxiliary factor large subunit (U2 snRNP auxiliary factor large subunit))	SORBI_3005G195800
A0A1B6PTL0	GTPase Der (GTP-binding protein EngA)	SORBI_3005G197300
A0A1B6PTM4	Aminotran_1_2 domain-containing protein	SORBI_3005G200300
A0A1B6PTM5	Dirigent protein	SORBI_3005G200600
A0A1B6PTM8	Homeobox domain-containing protein	SORBI_3005G200800
A0A1B6PTP1	Aminotran_1_2 domain-containing protein	SORBI_3005G200300
A0A1B6PTP2	Dirigent protein	SORBI_3005G200700
A0A1B6PTQ3	Protein kinase domain-containing protein	SORBI_3005G205100
A0A1B6PTU7	Uncharacterized protein	SORBI_3005G209600
A0A1B6PTV6	DNA-directed RNA polymerase subunit	SORBI_3005G211700
A0A1B6PTZ0	Sulfotransferase, EC 2.8.2.-	LGS1 SORBI_3005G213600
A0A1B6PU06	Uncharacterized protein	SORBI_3005G217000
A0A1B6PU13	Uncharacterized protein	SORBI_3005G220300
A0A1B6PU17	Protein kinase domain-containing protein	SORBI_3005G219600
A0A1B6PU39	Uncharacterized protein	SORBI_3005G222700
A0A1B6PU61	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3005G227300
A0A1B6PU65	40S ribosomal protein SA	SORBI_3005G229300
A0A1B6PU66	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3005G227600
A0A1B6PU71	Uncharacterized protein	SORBI_3005G229500
A0A1B6PU88	Uncharacterized protein	SORBI_3005G230000
A0A1B6Q0M0	Uncharacterized protein	SORBI_3003G005200
A0A1B6Q0N7	BHLH domain-containing protein	SORBI_3003G007700
A0A1B6Q0N8	VHS domain-containing protein	SORBI_3003G006300
A0A1B6Q0Q9	Uncharacterized protein	SORBI_3003G010800
A0A1B6Q0R1	Reticulon-like protein	SORBI_3003G011100
A0A1B6Q0R4	Reticulon-like protein	SORBI_3003G011100
A0A1B6Q0R8	Uncharacterized protein	SORBI_3003G010800
A0A1B6Q0S0	Aspartate--tRNA ligase, EC 6.1.1.12	SORBI_3003G012200
A0A1B6Q0S2	Uncharacterized protein	SORBI_3003G012300
A0A1B6Q0S3	Aspartate--tRNA ligase, EC 6.1.1.12	SORBI_3003G012200
A0A1B6Q0S6	Protein FAR1-RELATED SEQUENCE	SORBI_3003G007000
A0A1B6Q0T1	GDT1 family protein	SORBI_3003G014100
A0A1B6Q0T2	Protein kinase domain-containing protein	SORBI_3003G007500
A0A1B6Q0V1	Uncharacterized protein	SORBI_3003G010200
A0A1B6Q0V4	CTP synthase, EC 6.3.4.2 (UTP--ammonia ligase)	SORBI_3003G017300
A0A1B6Q0V5	Uncharacterized protein	SORBI_3003G017100
A0A1B6Q0W6	Aspartate--tRNA ligase, EC 6.1.1.12	SORBI_3003G012200
A0A1B6Q0W7	PMR5N domain-containing protein	SORBI_3003G020600
A0A1B6Q0X1	Protein kinase domain-containing protein	SORBI_3003G013000
A0A1B6Q0X3	PMR5N domain-containing protein	SORBI_3003G020600
A0A1B6Q0X4	Protein SCAR (Protein WAVE)	SORBI_3003G023400
A0A1B6Q0Y1	Uncharacterized protein	SORBI_3003G022000
A0A1B6Q0Y2	RECA_2 domain-containing protein	SORBI_3003G023200
A0A1B6Q0Y5	Endoglucanase, EC 3.2.1.4	SORBI_3003G015800
A0A1B6Q0Z0	Protein SCAR (Protein WAVE)	SORBI_3003G023400
A0A1B6Q0Z7	Protein SCAR (Protein WAVE)	SORBI_3003G023400
A0A1B6Q109	Uncharacterized protein	SORBI_3003G021500
A0A1B6Q114	Uncharacterized protein	SORBI_3003G030500
A0A1B6Q117	Coatomer subunit alpha	SORBI_3003G029600
A0A1B6Q120	Protein SCAR (Protein WAVE)	SORBI_3003G023400
A0A1B6Q144	Cysteine dioxygenase, EC 1.13.11.20	SORBI_3003G037600
A0A1B6Q148	Cytokinin dehydrogenase, EC 1.5.99.12	SORBI_3003G036700
A0A1B6Q149	C3H1-type domain-containing protein	SORBI_3003G034400
A0A1B6Q150	Cysteine dioxygenase, EC 1.13.11.20	SORBI_3003G037600
A0A1B6Q155	Profilin	SORBI_3003G035200
A0A1B6Q178	DNA_MISMATCH_REPAIR_2 domain-containing protein	SORBI_3003G041700
A0A1B6Q185	Uncharacterized protein	SORBI_3003G033000
A0A1B6Q186	Transcription repressor (Ovate family protein)	SORBI_3003G041600
A0A1B6Q194	Auxin-responsive protein	SORBI_3003G044900
A0A1B6Q198	RING-type domain-containing protein	SORBI_3003G044700
A0A1B6Q199	Auxin-responsive protein	SORBI_3003G044900
A0A1B6Q1A3	Kinesin-like protein	SORBI_3003G043900
A0A1B6Q1A4	AAA domain-containing protein	SORBI_3003G046200
A0A1B6Q1A9	Aminotran_1_2 domain-containing protein	SORBI_3003G045600
A0A1B6Q1B5	UBC core domain-containing protein	SORBI_3003G039200
A0A1B6Q1C4	Glutaredoxin domain-containing protein	SORBI_3003G048600
A0A1B6Q1C6	Uncharacterized protein	SORBI_3003G047900
A0A1B6Q1D5	Uncharacterized protein	SORBI_3003G049500
A0A1B6Q1E1	Kinesin-like protein	SORBI_3003G043900
A0A1B6Q1E7	TPT domain-containing protein	SORBI_3003G050800
A0A1B6Q1F1	Phospholipase D, EC 3.1.4.4	SORBI_3003G050400
A0A1B6Q1F5	O-fucosyltransferase family protein	SORBI_3003G053700
A0A1B6Q1G1	Alliinase_C domain-containing protein	SORBI_3003G052700
A0A1B6Q1H7	Procollagen-proline 4-dioxygenase, EC 1.14.11.2	SORBI_3003G049100
A0A1B6Q1I2	RING-type domain-containing protein	SORBI_3003G053900
A0A1B6Q1I4	TPT domain-containing protein	SORBI_3003G055500
A0A1B6Q1J4	BP28CT domain-containing protein	SORBI_3003G059400
A0A1B6Q1K6	Protein phosphatase, EC 3.1.3.16	SORBI_3003G058700
A0A1B6Q1L2	DNA-directed RNA polymerase III subunit	SORBI_3003G051800
A0A1B6Q1M8	RST domain-containing protein	SORBI_3003G056100
A0A1B6Q1N8	Uncharacterized protein	SORBI_3003G060300
A0A1B6Q1P6	Protein kinase domain-containing protein	SORBI_3003G064500
A0A1B6Q1P7	Protein kinase domain-containing protein	SORBI_3003G067600
A0A1B6Q1R2	Protein kinase domain-containing protein	SORBI_3003G068100
A0A1B6Q1T4	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3003G072100
A0A1B6Q1T5	Uncharacterized protein	SORBI_3003G070900
A0A1B6Q1U5	Phosphatidate cytidylyltransferase, EC 2.7.7.41	SORBI_3003G073800
A0A1B6Q1U6	Phosphatidate cytidylyltransferase, EC 2.7.7.41	SORBI_3003G073800
A0A1B6Q1X8	acidPPc domain-containing protein	SORBI_3003G078700
A0A1B6Q1Y0	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G079600
A0A1B6Q1Y3	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G079900
A0A1B6Q1Y4	Uncharacterized protein	SORBI_3003G070900
A0A1B6Q1Y6	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G079900
A0A1B6Q1Z3	Protein kinase domain-containing protein	SORBI_3003G081100
A0A1B6Q1Z7	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G080700
A0A1B6Q220	ZT_dimer domain-containing protein	SORBI_3003G086300
A0A1B6Q226	MFS domain-containing protein	SORBI_3003G084000
A0A1B6Q229	Aspergillus nuclease S(1), EC 3.1.30.1	SORBI_3003G087200
A0A1B6Q231	Aspergillus nuclease S(1), EC 3.1.30.1	SORBI_3003G087200
A0A1B6Q237	Aspergillus nuclease S(1), EC 3.1.30.1	SORBI_3003G087200
A0A1B6Q241	Mannose-6-phosphate isomerase, EC 5.3.1.8	SORBI_3003G087900
A0A1B6Q250	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G089900
A0A1B6Q251	Uncharacterized protein	SORBI_3003G087000
A0A1B6Q255	Receptor-like serine/threonine-protein kinase, EC 2.7.11.1	SORBI_3003G080600
A0A1B6Q260	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G090200
A0A1B6Q261	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G091001
A0A1B6Q262	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G090000
A0A1B6Q267	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G092500
A0A1B6Q269	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G091300
A0A1B6Q274	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G092500
A0A1B6Q277	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G090100
A0A1B6Q280	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G092600
A0A1B6Q289	ZT_dimer domain-containing protein	SORBI_3003G086300
A0A1B6Q2A2	tRNA(His) guanylyltransferase, EC 2.7.7.79	SORBI_3003G094900
A0A1B6Q2A9	RNA helicase, EC 3.6.4.13	SORBI_3003G095900
A0A1B6Q2B4	Fructose-bisphosphate aldolase, EC 4.1.2.13	SORBI_3003G096000
A0A1B6Q2B8	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G097200
A0A1B6Q2C2	Uncharacterized protein	SORBI_3003G094600
A0A1B6Q2C9	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G097100
A0A1B6Q2E3	RING-type E3 ubiquitin transferase, EC 2.3.2.27	SORBI_3003G092300
A0A1B6Q2E7	Protein kinase domain-containing protein	SORBI_3003G100700
A0A1B6Q2F7	BHLH domain-containing protein	SORBI_3003G102300
A0A1B6Q2G2	Exostosin domain-containing protein	SORBI_3003G102700
A0A1B6Q2G6	1-deoxy-D-xylulose-5-phosphate reductoisomerase, EC 1.1.1.267	SORBI_3003G103300
A0A1B6Q2G9	Peroxisomal membrane protein PEX14 (Peroxin-14)	SORBI_3003G103200
A0A1B6Q2H9	RING-type domain-containing protein	SORBI_3003G105900
A0A1B6Q2I0	RING-type domain-containing protein	SORBI_3003G105900
A0A1B6Q2I1	Uncharacterized protein	SORBI_3003G095400
A0A1B6Q2I4	BHLH domain-containing protein	SORBI_3003G105200
A0A1B6Q2I5	EXPERA domain-containing protein	SORBI_3003G106400
A0A1B6Q2I7	Uncharacterized protein	SORBI_3003G107900
A0A1B6Q2I8	1-deoxy-D-xylulose-5-phosphate reductoisomerase, EC 1.1.1.267	SORBI_3003G103300
A0A1B6Q2J1	Protein kinase domain-containing protein	SORBI_3003G107000
A0A1B6Q2J5	EXPERA domain-containing protein	SORBI_3003G106600
A0A1B6Q2L3	Peptidase_M48 domain-containing protein	SORBI_3003G108900
A0A1B6Q2M1	Uncharacterized protein	SORBI_3003G112600
A0A1B6Q2M6	Importin subunit alpha	SORBI_3003G115100
A0A1B6Q2M8	Importin subunit alpha	SORBI_3003G115100
A0A1B6Q2N0	Cupin type-1 domain-containing protein	SORBI_3003G112200
A0A1B6Q2N1	PlsC domain-containing protein	SORBI_3003G114200
A0A1B6Q2N2	Exostosin domain-containing protein	SORBI_3003G102700
A0A1B6Q2N3	Expansin	SORBI_3003G111800
A0A1B6Q2N8	GPI ethanolamine phosphate transferase 3	SORBI_3003G114400
A0A1B6Q2T1	Protein kinase domain-containing protein	SORBI_3003G125500
A0A1B6Q2V0	UBC core domain-containing protein	SORBI_3003G127600
A0A1B6Q2V2	Hydroxymethylglutaryl-CoA lyase, mitochondrial, EC 4.1.3.4 (3-hydroxy-3-methylglutarate-CoA lyase)	SORBI_3003G126500
A0A1B6Q2V8	Flavin-containing monooxygenase, EC 1.-.-.-	SORBI_3003G128700
A0A1B6Q2W9	S-acyltransferase, EC 2.3.1.225 (Palmitoyltransferase)	SORBI_3003G132400
A0A1B6Q2X0	Glucosidase 2 subunit beta	SORBI_3003G130900
A0A1B6Q2X3	Phospholipid-transporting ATPase, EC 7.6.2.1	SORBI_3003G131200
A0A1B6Q2X9	Tubulin beta chain	SORBI_3003G135400
A0A1B6Q307	Coatomer subunit beta (Beta-coat protein)	SORBI_3003G134800
A0A1B6Q354	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G141500
A0A1B6Q360	Uncharacterized protein	SORBI_3003G142400
A0A1B6Q371	Pectinesterase domain-containing protein	SORBI_3003G143600
A0A1B6Q390	Phospholipase, EC 3.1.4.4	SORBI_3003G147000
A0A1B6Q391	Phospholipase, EC 3.1.4.4	SORBI_3003G147000
A0A1B6Q392	SBP-type domain-containing protein	SORBI_3003G139900
A0A1B6Q395	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	SORBI_3003G149300
A0A1B6Q397	Uncharacterized protein	SORBI_3003G146600
A0A1B6Q3A2	Non-specific serine/threonine protein kinase, EC 2.7.11.1	SORBI_3003G141500
A0A1B6Q3A5	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	SORBI_3003G149300
A0A1B6Q3C0	Pectin acetylesterase, EC 3.1.1.-	SORBI_3003G150600
A0A1B6Q3C2	ATP citrate synthase, EC 2.3.3.8	SORBI_3003G143700
A0A1B6Q3C5	Pectin acetylesterase, EC 3.1.1.-	SORBI_3003G150600
A0A1B6Q3C7	Golgi apparatus membrane protein TVP23	SORBI_3003G153700
A0A1B6Q3D8	Uncharacterized protein	SORBI_3003G155300
A0A1B6Q3G0	Exocyst subunit Exo70 family protein	SORBI_3003G155600
A0A1B6Q3G1	Uncharacterized protein	SORBI_3003G158300
A0A1B6Q3H2	WD40 repeat-containing protein SMU1	SORBI_3003G151200
A0A1B6Q3H4	Poly [ADP-ribose] polymerase, PARP, EC 2.4.2.-	SORBI_3003G158900
A0A1B6Q3H8	Uncharacterized protein	SORBI_3003G158300
A0A1B6Q3I8	LRRNT_2 domain-containing protein	SORBI_3003G162600
A0A1B6Q3I9	Uncharacterized protein	SORBI_3003G160200
A0A1B6Q3J7	J domain-containing protein	SORBI_3003G155800
