Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q8H2D5	Q04049	AF-Q8H2D5-F1-model_v3	AF-Q04049-F1-model_v3	4.4e-19	89.4	7.43e-09	912.40	1.325E-29	1278	platinum
Q8L638	P50076	AF-Q8L638-F1-model_v3	AF-P50076-F1-model_v3	9.5e-21	93.2	2.22e-16	1007.76	9.495E-21	1209	platinum
Q8L6Y1	P38237	AF-Q8L6Y1-F1-model_v3	AF-P38237-F1-model_v3	8.0e-76	260.0	8.69e-11	1392.55	2.833E-59	2531	platinum
Q8L6Z4	P38120	AF-Q8L6Z4-F1-model_v3	AF-P38120-F1-model_v3	9.3e-28	109.4	1.82e-05	501.18	1.992E-19	746	platinum
Q8L6Z7	P39875	AF-Q8L6Z7-F1-model_v3	AF-P39875-F1-model_v3	1.4e-60	214.9	1.51e-08	1221.62	5.996E-36	1591	platinum
Q8L733	P47158	AF-Q8L733-F1-model_v3	AF-P47158-F1-model_v3	1.6e-11	63.5	1.24e-09	541.80	1.488E-25	1004	platinum
Q8L7M0	P16661	AF-Q8L7M0-F1-model_v3	AF-P16661-F1-model_v3	9.1e-66	216.5	0.00e+00	1007.50	1.500E-36	1579	platinum
Q8L7M4	P53331	AF-Q8L7M4-F1-model_v3	AF-P53331-F1-model_v3	4.1e-48	174.1	4.99e-12	998.26	2.110E-38	1632	platinum
Q8L7N2	P89886	AF-Q8L7N2-F1-model_v3	AF-P89886-F1-model_v3	2.3e-47	151.0	0.00e+00	494.69	2.794E-26	958	platinum
Q8L7U0	P40579	AF-Q8L7U0-F1-model_v3	AF-P40579-F1-model_v3	1.1e-15	73.6	NA	NA	NA	NA	silver
Q8L7Z3	P36152	AF-Q8L7Z3-F1-model_v3	AF-P36152-F1-model_v3	7.3e-16	74.3	1.29e-02	257.57	NA	NA	gold
Q8LAA0	Q08237	AF-Q8LAA0-F1-model_v3	AF-Q08237-F1-model_v3	1.2e-49	163.7	2.94e-08	509.08	4.662E-25	964	platinum
Q8LAF3	Q12344	AF-Q8LAF3-F1-model_v3	AF-Q12344-F1-model_v3	1.1e-39	147.5	NA	NA	NA	NA	silver
Q8LAI1	P23900	AF-Q8LAI1-F1-model_v3	AF-P23900-F1-model_v3	1.3e-12	65.5	NA	NA	NA	NA	silver
Q8LAM0	P38187	AF-Q8LAM0-F1-model_v3	AF-P38187-F1-model_v3	5.9e-66	220.3	NA	NA	NA	NA	silver
Q8LAS8	P40363	AF-Q8LAS8-F1-model_v3	AF-P40363-F1-model_v3	2.3e-67	209.9	0.00e+00	687.00	1.146E-35	1427	platinum
Q8LAX0	Q12525	AF-Q8LAX0-F1-model_v3	AF-Q12525-F1-model_v3	1.3e-31	119.4	NA	NA	8.119E-22	975	gold
Q8LCC7	P39990	AF-Q8LCC7-F1-model_v3	AF-P39990-F1-model_v3	8.5e-63	186.0	0.00e+00	359.42	6.295E-22	816	platinum
Q8LCU7	P38071	AF-Q8LCU7-F1-model_v3	AF-P38071-F1-model_v3	1.9e-47	163.7	0.00e+00	752.67	1.107E-34	1364	platinum
Q8LD27	P38624	AF-Q8LD27-F1-model_v3	AF-P38624-F1-model_v3	1.5e-64	198.0	0.00e+00	584.38	2.086E-28	1160	platinum
Q8LDQ4	Q04372	AF-Q8LDQ4-F1-model_v3	AF-Q04372-F1-model_v3	1.1e-05	45.1	9.29e-07	561.81	4.884E-10	538	platinum
Q8LEE8	P32875	AF-Q8LEE8-F1-model_v3	AF-P32875-F1-model_v3	2.6e-124	363.6	2.02e-13	919.00	4.755E-45	1810	platinum
Q8LEF3	P36053	AF-Q8LEF3-F1-model_v3	AF-P36053-F1-model_v3	2.0e-24	89.0	1.03e-05	226.91	2.565E-09	384	platinum
Q8LEV7	P53315	AF-Q8LEV7-F1-model_v3	AF-P53315-F1-model_v3	6.6e-21	86.7	NA	NA	NA	NA	silver
Q8LEZ8	P35181	AF-Q8LEZ8-F1-model_v3	AF-P35181-F1-model_v3	9.3e-49	152.9	NA	NA	3.185E-21	834	gold
Q8LF48	P27796	AF-Q8LF48-F1-model_v3	AF-P27796-F1-model_v3	9.9e-114	338.6	0.00e+00	1024.55	2.893E-49	2064	platinum
Q8LFZ9	P38281	AF-Q8LFZ9-F1-model_v3	AF-P38281-F1-model_v3	4.8e-16	76.6	NA	NA	NA	NA	silver
Q8LGI8	Q06504	AF-Q8LGI8-F1-model_v3	AF-Q06504-F1-model_v3	2.3e-43	141.0	0.00e+00	414.91	6.049E-21	831	platinum
Q8LGU6	P38042	AF-Q8LGU6-F1-model_v3	AF-P38042-F1-model_v3	1.4e-28	120.2	1.49e-11	1455.05	4.551E-29	1741	platinum
Q8LKS5	P39518	AF-Q8LKS5-F1-model_v3	AF-P39518-F1-model_v3	9.3e-96	310.5	NA	NA	1.144E-61	2583	gold
Q8LLD4	P32864	AF-Q8LLD4-F1-model_v3	AF-P32864-F1-model_v3	3.1e-36	141.0	0.00e+00	959.44	8.413E-36	1556	platinum
Q8LPF0	P23255	AF-Q8LPF0-F1-model_v3	AF-P23255-F1-model_v3	3.6e-48	186.8	3.42e-11	1840.90	3.634E-47	2648	platinum
Q8LPJ4	Q03195	AF-Q8LPJ4-F1-model_v3	AF-Q03195-F1-model_v3	3.7e-307	844.0	0.00e+00	1694.50	0.000E+00	4406	platinum
Q8LPN3	P37254	AF-Q8LPN3-F1-model_v3	AF-P37254-F1-model_v3	4.5e-66	235.0	1.40e-14	1418.89	5.205E-59	2650	platinum
Q8LRK9	P46677	AF-Q8LRK9-F1-model_v3	AF-P46677-F1-model_v3	5.9e-28	121.3	3.03e-03	1120.01	1.376E-30	1420	platinum
Q8RUF8	P49954	AF-Q8RUF8-F1-model_v3	AF-P49954-F1-model_v3	9.0e-88	265.0	0.00e+00	759.93	1.589E-38	1545	platinum
Q8RUH0	Q06217	AF-Q8RUH0-F1-model_v3	AF-Q06217-F1-model_v3	7.9e-32	106.3	0.00e+00	260.74	1.337E-12	571	platinum
Q8RUS5	Q12142	AF-Q8RUS5-F1-model_v3	AF-Q12142-F1-model_v3	2.5e-67	240.7	9.14e-07	1387.33	NA	NA	gold
Q8RWS4	P38333	AF-Q8RWS4-F1-model_v3	AF-P38333-F1-model_v3	2.0e-72	234.2	4.26e-11	899.72	2.147E-23	1331	platinum
Q8RWT8	P38705	AF-Q8RWT8-F1-model_v3	AF-P38705-F1-model_v3	2.8e-76	245.4	0.00e+00	1083.84	2.261E-43	1842	platinum
Q8RWV0	P23254	AF-Q8RWV0-F1-model_v3	AF-P23254-F1-model_v3	2.5e-225	644.4	0.00e+00	1846.64	7.338E-83	3864	platinum
Q8RWV5	P53829	AF-Q8RWV5-F1-model_v3	AF-P53829-F1-model_v3	6.7e-99	294.3	0.00e+00	775.15	6.789E-23	1320	platinum
Q8RWV9	Q07458	AF-Q8RWV9-F1-model_v3	AF-Q07458-F1-model_v3	6.0e-05	43.9	7.98e-02	316.48	NA	NA	gold
Q8RWW3	P40487	AF-Q8RWW3-F1-model_v3	AF-P40487-F1-model_v3	2.5e-113	338.2	0.00e+00	1002.10	1.450E-49	1910	platinum
Q8RX88	P47154	AF-Q8RX88-F1-model_v3	AF-P47154-F1-model_v3	1.9e-106	320.5	0.00e+00	1186.44	6.218E-36	1807	platinum
Q8RXC4	Q08924	AF-Q8RXC4-F1-model_v3	AF-Q08924-F1-model_v3	3.6e-18	88.6	0.00e+00	1983.55	4.131E-49	2509	platinum
Q8RXE9	P04803	AF-Q8RXE9-F1-model_v3	AF-P04803-F1-model_v3	5.6e-64	208.0	0.00e+00	856.34	2.371E-29	1331	platinum
Q8RXK8	P48526	AF-Q8RXK8-F1-model_v3	AF-P48526-F1-model_v3	7.1e-207	620.9	0.00e+00	2201.36	7.590E-83	4174	platinum
Q8RXN5	Q08960	AF-Q8RXN5-F1-model_v3	AF-Q08960-F1-model_v3	1.9e-144	438.0	2.55e-13	1328.59	7.795E-64	2626	platinum
Q8RXN6	P49704	AF-Q8RXN6-F1-model_v3	AF-P49704-F1-model_v3	5.7e-36	137.5	9.44e-14	898.64	8.745E-20	1102	platinum
Q8RXP6	P42840	AF-Q8RXP6-F1-model_v3	AF-P42840-F1-model_v3	1.9e-46	156.4	0.00e+00	694.32	4.700E-28	1104	platinum
Q8RXS6	P53115	AF-Q8RXS6-F1-model_v3	AF-P53115-F1-model_v3	1.4e-200	631.3	2.56e-12	2330.80	NA	NA	gold
Q8RY11	Q07825	AF-Q8RY11-F1-model_v3	AF-Q07825-F1-model_v3	6.7e-133	408.3	0.00e+00	1568.26	1.751E-71	3018	platinum
Q8RY12	P35178	AF-Q8RY12-F1-model_v3	AF-P35178-F1-model_v3	3.5e-10	58.9	NA	NA	NA	NA	silver
Q8RY16	P33760	AF-Q8RY16-F1-model_v3	AF-P33760-F1-model_v3	4.7e-124	399.8	0.00e+00	1663.18	3.243E-66	2880	platinum
Q8RY22	P53920	AF-Q8RY22-F1-model_v3	AF-P53920-F1-model_v3	1.2e-111	369.4	0.00e+00	2298.99	3.616E-95	4406	platinum
Q8RY80	P53154	AF-Q8RY80-F1-model_v3	AF-P53154-F1-model_v3	1.3e-77	252.7	0.00e+00	1293.17	5.489E-30	1687	platinum
Q8RYE9	Q12486	AF-Q8RYE9-F1-model_v3	AF-Q12486-F1-model_v3	2.4e-31	113.2	2.44e-11	467.78	9.135E-20	776	platinum
Q8S4Y1	P41338	AF-Q8S4Y1-F1-model_v3	AF-P41338-F1-model_v3	1.3e-140	404.8	0.00e+00	1138.03	2.188E-62	2403	platinum
Q8S895	P40892	AF-Q8S895-F1-model_v3	AF-P40892-F1-model_v3	3.1e-09	53.9	3.77e-04	305.60	NA	NA	gold
Q8VXX4	P38251	AF-Q8VXX4-F1-model_v3	AF-P38251-F1-model_v3	1.5e-81	250.8	0.00e+00	937.27	9.419E-36	1654	platinum
Q8VXY4	Q12199	AF-Q8VXY4-F1-model_v3	AF-Q12199-F1-model_v3	3.2e-32	120.2	0.00e+00	570.78	2.531E-22	1010	platinum
Q8VY06	P32898	AF-Q8VY06-F1-model_v3	AF-P32898-F1-model_v3	1.6e-116	382.1	0.00e+00	2275.60	1.264E-71	3652	platinum
Q8VY62	P40481	AF-Q8VY62-F1-model_v3	AF-P40481-F1-model_v3	8.3e-13	65.9	9.63e-09	430.29	1.919E-16	673	platinum
Q8VYB2	P18562	AF-Q8VYB2-F1-model_v3	AF-P18562-F1-model_v3	6.7e-71	222.2	NA	NA	NA	NA	silver
Q8VYI3	Q02207	AF-Q8VYI3-F1-model_v3	AF-Q02207-F1-model_v3	1.0e-38	143.3	NA	NA	2.852E-32	1304	gold
Q8VYJ7	P33416	AF-Q8VYJ7-F1-model_v3	AF-P33416-F1-model_v3	3.3e-248	716.1	NA	NA	NA	NA	silver
Q8VYZ5	P25635	AF-Q8VYZ5-F1-model_v3	AF-P25635-F1-model_v3	1.0e-206	611.3	0.00e+00	2261.42	9.743E-95	4674	platinum
Q8VZB2	P40857	AF-Q8VZB2-F1-model_v3	AF-P40857-F1-model_v3	1.2e-31	113.2	0.00e+00	529.09	2.660E-11	614	platinum
Q8VZM1	P12945	AF-Q8VZM1-F1-model_v3	AF-P12945-F1-model_v3	2.9e-98	325.1	0.00e+00	1807.73	4.107E-32	2129	platinum
Q8VZR6	P30605	AF-Q8VZR6-F1-model_v3	AF-P30605-F1-model_v3	1.7e-77	252.3	NA	NA	NA	NA	silver
Q8VZU1	Q3E785	AF-Q8VZU1-F1-model_v3	AF-Q3E785-F1-model_v3	2.3e-10	50.1	3.14e-14	213.58	4.144E-05	249	platinum
Q8W032	P09119	AF-Q8W032-F1-model_v3	AF-P09119-F1-model_v3	5.2e-39	146.7	9.55e-12	975.36	4.703E-26	1263	platinum
Q8W1X2	P53727	AF-Q8W1X2-F1-model_v3	AF-P53727-F1-model_v3	2.4e-50	167.5	0.00e+00	676.42	5.833E-29	1189	platinum
Q8W3L1	P48360	AF-Q8W3L1-F1-model_v3	AF-P48360-F1-model_v3	1.3e-60	204.5	0.00e+00	1023.46	5.759E-43	1746	platinum
Q8W464	O14464	AF-Q8W464-F1-model_v3	AF-O14464-F1-model_v3	7.7e-12	54.7	1.26e-06	95.88	2.750E-04	194	platinum
Q8W497	P25270	AF-Q8W497-F1-model_v3	AF-P25270-F1-model_v3	1.9e-24	104.0	1.13e-08	668.45	1.480E-27	1101	platinum
Q8W4C1	Q06543	AF-Q8W4C1-F1-model_v3	AF-Q06543-F1-model_v3	1.0e-90	268.1	0.00e+00	662.58	2.003E-28	1241	platinum
Q8W4D8	Q07930	AF-Q8W4D8-F1-model_v3	AF-Q07930-F1-model_v3	1.8e-11	60.5	NA	NA	NA	NA	silver
Q8W4F3	P13188	AF-Q8W4F3-F1-model_v3	AF-P13188-F1-model_v3	2.6e-173	517.7	0.00e+00	1922.61	3.004E-81	3546	platinum
Q8W4M7	P06839	AF-Q8W4M7-F1-model_v3	AF-P06839-F1-model_v3	2.2e-268	758.4	0.00e+00	2063.86	9.024E-87	4116	platinum
Q8W586	P47122	AF-Q8W586-F1-model_v3	AF-P47122-F1-model_v3	3.3e-103	308.1	0.00e+00	838.05	6.809E-37	1569	platinum
Q8W5R2	Q12204	AF-Q8W5R2-F1-model_v3	AF-Q12204-F1-model_v3	7.7e-17	83.2	2.24e-04	560.05	1.141E-26	1146	platinum
Q8W5R5	P28743	AF-Q8W5R5-F1-model_v3	AF-P28743-F1-model_v3	1.7e-59	215.7	NA	NA	NA	NA	silver
Q8W5S1	P37366	AF-Q8W5S1-F1-model_v3	AF-P37366-F1-model_v3	2.0e-28	111.7	0.00e+00	696.05	9.323E-15	815	platinum
Q93VJ2	P32361	AF-Q93VJ2-F1-model_v3	AF-P32361-F1-model_v3	2.7e-85	293.9	8.91e-06	1433.70	9.896E-48	2153	platinum
Q93VK1	P33750	AF-Q93VK1-F1-model_v3	AF-P33750-F1-model_v3	3.4e-132	388.7	0.00e+00	1201.14	4.994E-55	2355	platinum
Q93VQ0	Q03308	AF-Q93VQ0-F1-model_v3	AF-Q03308-F1-model_v3	5.7e-44	169.1	0.00e+00	1798.27	1.293E-38	2254	platinum
Q93VR9	P53011	AF-Q93VR9-F1-model_v3	AF-P53011-F1-model_v3	3.9e-25	101.7	0.00e+00	683.39	NA	NA	gold
Q93VS8	P32337	AF-Q93VS8-F1-model_v3	AF-P32337-F1-model_v3	1.5e-133	431.4	0.00e+00	2743.11	1.350E-49	3372	platinum
Q93XM7	P32331	AF-Q93XM7-F1-model_v3	AF-P32331-F1-model_v3	7.7e-50	165.6	NA	NA	5.495E-19	1103	gold
Q93XX8	Q6Q547	AF-Q93XX8-F1-model_v3	AF-Q6Q547-F1-model_v3	2.4e-21	76.3	3.09e-11	158.31	1.746E-07	298	platinum
Q93Y35	Q06103	AF-Q93Y35-F1-model_v3	AF-Q06103-F1-model_v3	3.7e-80	250.8	0.00e+00	1065.54	1.330E-25	1439	platinum
Q93Y37	P32906	AF-Q93Y37-F1-model_v3	AF-P32906-F1-model_v3	4.6e-108	334.7	0.00e+00	1238.89	5.703E-43	2107	platinum
Q93Y39	P38112	AF-Q93Y39-F1-model_v3	AF-P38112-F1-model_v3	1.9e-68	240.0	NA	NA	1.900E-42	1808	gold
Q93YP7	P32378	AF-Q93YP7-F1-model_v3	AF-P32378-F1-model_v3	8.1e-69	220.3	0.00e+00	848.68	4.066E-22	1290	platinum
Q93YQ1	P38873	AF-Q93YQ1-F1-model_v3	AF-P38873-F1-model_v3	1.4e-170	548.1	0.00e+00	2249.74	7.025E-77	4517	platinum
Q93YS7	Q06078	AF-Q93YS7-F1-model_v3	AF-Q06078-F1-model_v3	7.9e-126	401.4	0.00e+00	2041.87	3.455E-80	3790	platinum
Q93YU6	P38793	AF-Q93YU6-F1-model_v3	AF-P38793-F1-model_v3	2.7e-68	224.6	2.00e-15	911.56	6.100E-41	1647	platinum
Q93ZA9	P47153	AF-Q93ZA9-F1-model_v3	AF-P47153-F1-model_v3	6.2e-08	50.4	NA	NA	6.620E-08	479	gold
Q93ZG7	P20449	AF-Q93ZG7-F1-model_v3	AF-P20449-F1-model_v3	1.5e-96	298.5	0.00e+00	1084.28	3.479E-44	1753	platinum
Q93ZR1	Q02908	AF-Q93ZR1-F1-model_v3	AF-Q02908-F1-model_v3	3.7e-284	781.9	0.00e+00	1584.88	5.663E-85	3634	platinum
Q93ZX1	P40348	AF-Q93ZX1-F1-model_v3	AF-P40348-F1-model_v3	3.9e-107	315.5	0.00e+00	912.71	5.691E-35	1714	platinum
Q940P8	P39076	AF-Q940P8-F1-model_v3	AF-P39076-F1-model_v3	1.4e-228	638.3	0.00e+00	1530.31	1.095E-66	3280	platinum
Q940Z2	P53946	AF-Q940Z2-F1-model_v3	AF-P53946-F1-model_v3	1.3e-76	260.0	8.99e-15	1505.06	9.845E-46	2121	platinum
Q941I6	P14242	AF-Q941I6-F1-model_v3	AF-P14242-F1-model_v3	2.2e-127	404.1	5.98e-12	1752.50	3.992E-64	2870	platinum
Q944A6	P12904	AF-Q944A6-F1-model_v3	AF-P12904-F1-model_v3	1.2e-25	105.1	0.00e+00	678.69	5.071E-25	1010	platinum
Q944L8	P38197	AF-Q944L8-F1-model_v3	AF-P38197-F1-model_v3	1.2e-42	144.1	0.00e+00	566.00	1.843E-21	911	platinum
Q948J9	Q06005	AF-Q948J9-F1-model_v3	AF-Q06005-F1-model_v3	3.9e-24	97.4	2.87e-11	515.45	2.524E-22	881	platinum
Q949M9	Q12154	AF-Q949M9-F1-model_v3	AF-Q12154-F1-model_v3	4.7e-91	275.0	0.00e+00	764.11	1.379E-36	1443	platinum
Q949R9	P53157	AF-Q949R9-F1-model_v3	AF-P53157-F1-model_v3	7.6e-24	86.7	NA	NA	NA	NA	silver
Q949U5	P38875	AF-Q949U5-F1-model_v3	AF-P38875-F1-model_v3	4.2e-60	209.9	0.00e+00	1084.94	2.796E-48	2090	platinum
Q949W8	P42826	AF-Q949W8-F1-model_v3	AF-P42826-F1-model_v3	3.0e-95	300.8	0.00e+00	1299.09	2.831E-54	2354	platinum
Q94A09	P49957	AF-Q94A09-F1-model_v3	AF-P49957-F1-model_v3	8.7e-42	146.7	3.94e-07	524.44	2.260E-26	1032	platinum
Q94A15	P30777	AF-Q94A15-F1-model_v3	AF-P30777-F1-model_v3	6.7e-60	207.2	0.00e+00	1141.88	1.801E-28	1635	platinum
Q94A21	Q02725	AF-Q94A21-F1-model_v3	AF-Q02725-F1-model_v3	7.2e-06	45.4	NA	NA	NA	NA	silver
Q94A68	Q06494	AF-Q94A68-F1-model_v3	AF-Q06494-F1-model_v3	3.9e-11	61.6	NA	NA	NA	NA	silver
Q94A82	P53164	AF-Q94A82-F1-model_v3	AF-P53164-F1-model_v3	6.0e-27	109.4	9.12e-13	483.21	6.054E-21	886	platinum
Q94AF2	P36059	AF-Q94AF2-F1-model_v3	AF-P36059-F1-model_v3	2.7e-53	177.6	0.00e+00	706.89	2.432E-27	1271	platinum
Q94AG6	P38921	AF-Q94AG6-F1-model_v3	AF-P38921-F1-model_v3	4.8e-49	163.7	NA	NA	2.578E-16	964	gold
Q94AI4	P25583	AF-Q94AI4-F1-model_v3	AF-P25583-F1-model_v3	5.3e-23	99.0	1.28e-04	405.61	NA	NA	gold
Q94AM9	P53297	AF-Q94AM9-F1-model_v3	AF-P53297-F1-model_v3	2.1e-23	102.8	8.43e-03	635.23	4.186E-21	838	platinum
Q94AP0	P32375	AF-Q94AP0-F1-model_v3	AF-P32375-F1-model_v3	4.0e-100	307.4	0.00e+00	1159.00	2.830E-53	2113	platinum
Q94AX4	P32891	AF-Q94AX4-F1-model_v3	AF-P32891-F1-model_v3	6.8e-112	344.0	0.00e+00	1302.42	2.865E-52	2287	platinum
Q94BX4	P32363	AF-Q94BX4-F1-model_v3	AF-P32363-F1-model_v3	1.3e-134	393.3	0.00e+00	1184.86	7.871E-59	2443	platinum
Q94C11	P53866	AF-Q94C11-F1-model_v3	AF-P53866-F1-model_v3	6.8e-05	43.1	NA	NA	NA	NA	silver
Q94CD5	P38862	AF-Q94CD5-F1-model_v3	AF-P38862-F1-model_v3	1.1e-137	416.4	0.00e+00	1387.37	1.040E-64	2725	platinum
Q94CL6	P23503	AF-Q94CL6-F1-model_v3	AF-P23503-F1-model_v3	1.3e-50	177.6	9.41e-13	846.60	1.426E-29	1320	platinum
Q94F26	P38796	AF-Q94F26-F1-model_v3	AF-P38796-F1-model_v3	3.9e-38	138.7	1.11e-16	750.78	2.146E-30	1230	platinum
Q94FB9	P41909	AF-Q94FB9-F1-model_v3	AF-P41909-F1-model_v3	1.0e-67	244.6	NA	NA	NA	NA	silver
Q94FN2	P46675	AF-Q94FN2-F1-model_v3	AF-P46675-F1-model_v3	3.7e-28	121.7	NA	NA	1.936E-18	1241	gold
Q94IB8	P25045	AF-Q94IB8-F1-model_v3	AF-P25045-F1-model_v3	6.3e-78	251.9	0.00e+00	1168.26	8.576E-45	1965	platinum
Q94JV5	P47016	AF-Q94JV5-F1-model_v3	AF-P47016-F1-model_v3	6.5e-54	176.4	NA	NA	8.381E-32	1230	gold
Q94JW0	P47120	AF-Q94JW0-F1-model_v3	AF-P47120-F1-model_v3	6.9e-45	153.7	0.00e+00	759.35	2.127E-20	1151	platinum
Q94K01	P24309	AF-Q94K01-F1-model_v3	AF-P24309-F1-model_v3	6.9e-73	232.3	2.22e-16	718.91	2.393E-38	1512	platinum
Q94K05	P47079	AF-Q94K05-F1-model_v3	AF-P47079-F1-model_v3	1.1e-149	439.9	0.00e+00	1440.79	1.413E-55	2750	platinum
Q94K14	P53323	AF-Q94K14-F1-model_v3	AF-P53323-F1-model_v3	5.3e-31	112.8	0.00e+00	513.98	2.021E-18	800	platinum
Q94K73	P08425	AF-Q94K73-F1-model_v3	AF-P08425-F1-model_v3	6.4e-101	307.0	0.00e+00	959.04	2.015E-46	2000	platinum
Q94KJ7	P20795	AF-Q94KJ7-F1-model_v3	AF-P20795-F1-model_v3	2.2e-28	118.2	0.00e+00	1105.58	3.531E-27	1243	platinum
Q96250	P38077	AF-Q96250-F1-model_v3	AF-P38077-F1-model_v3	4.4e-41	143.7	0.00e+00	730.32	1.317E-22	999	platinum
Q96327	Q03862	AF-Q96327-F1-model_v3	AF-Q03862-F1-model_v3	3.3e-16	78.2	NA	NA	NA	NA	silver
Q96528	P15202	AF-Q96528-F1-model_v3	AF-P15202-F1-model_v3	4.4e-107	326.6	0.00e+00	1236.64	5.932E-51	2269	platinum
Q96529	P80210	AF-Q96529-F1-model_v3	AF-P80210-F1-model_v3	4.3e-150	433.7	0.00e+00	1151.31	3.164E-63	2492	platinum
Q96533	P32771	AF-Q96533-F1-model_v3	AF-P32771-F1-model_v3	1.4e-167	471.9	0.00e+00	1093.93	3.380E-63	2451	platinum
Q9AR19	Q03330	AF-Q9AR19-F1-model_v3	AF-Q03330-F1-model_v3	9.1e-107	325.9	1.20e-12	1020.29	1.748E-38	1723	platinum
Q9ASR1	P32324	AF-Q9ASR1-F1-model_v3	AF-P32324-F1-model_v3	0.0e+00	1057.4	0.00e+00	2441.68	0.000E+00	5912	platinum
Q9ASS2	P53191	AF-Q9ASS2-F1-model_v3	AF-P53191-F1-model_v3	1.2e-09	58.9	NA	NA	2.668E-08	400	gold
Q9ASU6	Q07381	AF-Q9ASU6-F1-model_v3	AF-Q07381-F1-model_v3	9.2e-72	248.8	1.64e-13	1488.58	5.187E-59	2601	platinum
Q9ASU7	Q12153	AF-Q9ASU7-F1-model_v3	AF-Q12153-F1-model_v3	1.4e-49	170.2	2.73e-10	719.52	3.619E-31	1268	platinum
Q9ASW4	P34761	AF-Q9ASW4-F1-model_v3	AF-P34761-F1-model_v3	2.6e-16	77.8	NA	NA	NA	NA	silver
Q9ATY5	P07276	AF-Q9ATY5-F1-model_v3	AF-P07276-F1-model_v3	3.0e-61	227.3	2.24e-04	1376.99	4.637E-38	1675	platinum
Q9C509	Q05567	AF-Q9C509-F1-model_v3	AF-Q05567-F1-model_v3	1.1e-120	365.9	0.00e+00	1365.28	2.776E-52	2330	platinum
Q9C551	P20447	AF-Q9C551-F1-model_v3	AF-P20447-F1-model_v3	4.3e-134	397.9	NA	NA	7.191E-55	2159	gold
Q9C566	P53691	AF-Q9C566-F1-model_v3	AF-P53691-F1-model_v3	9.3e-89	270.0	0.00e+00	921.94	1.706E-39	1729	platinum
Q9C578	Q08096	AF-Q9C578-F1-model_v3	AF-Q08096-F1-model_v3	1.1e-60	198.0	0.00e+00	948.86	1.706E-46	1771	platinum
Q9C587	P38630	AF-Q9C587-F1-model_v3	AF-P38630-F1-model_v3	2.0e-95	318.9	2.31e-08	1470.68	3.376E-41	2023	platinum
Q9C5K6	P31115	AF-Q9C5K6-F1-model_v3	AF-P31115-F1-model_v3	7.7e-57	192.2	3.33e-16	886.39	2.659E-38	1525	platinum
Q9C5N3	Q12461	AF-Q9C5N3-F1-model_v3	AF-Q12461-F1-model_v3	8.8e-83	255.4	0.00e+00	789.99	7.302E-26	1292	platinum
Q9C5R8	P34760	AF-Q9C5R8-F1-model_v3	AF-P34760-F1-model_v3	6.7e-61	189.5	0.00e+00	536.63	7.340E-30	1161	platinum
Q9C5S1	P38590	AF-Q9C5S1-F1-model_v3	AF-P38590-F1-model_v3	9.7e-08	53.1	1.72e-01	518.21	NA	NA	gold
Q9C5U8	P00815	AF-Q9C5U8-F1-model_v3	AF-P00815-F1-model_v3	2.8e-135	407.1	0.00e+00	1162.42	1.869E-58	2436	platinum
Q9C6I6	Q12480	AF-Q9C6I6-F1-model_v3	AF-Q12480-F1-model_v3	4.6e-77	239.2	0.00e+00	839.50	1.252E-37	1540	platinum
Q9C6I8	Q02892	AF-Q9C6I8-F1-model_v3	AF-Q02892-F1-model_v3	2.9e-186	540.8	0.00e+00	1502.64	1.017E-57	2612	platinum
Q9C6L2	P53843	AF-Q9C6L2-F1-model_v3	AF-P53843-F1-model_v3	6.9e-18	80.5	1.11e-08	530.94	1.529E-12	667	platinum
Q9C6T1	P24521	AF-Q9C6T1-F1-model_v3	AF-P24521-F1-model_v3	2.7e-44	160.2	0.00e+00	940.04	1.579E-33	1642	platinum
Q9C6U7	Q08213	AF-Q9C6U7-F1-model_v3	AF-Q08213-F1-model_v3	5.4e-05	42.0	NA	NA	NA	NA	silver
Q9C713	Q05506	AF-Q9C713-F1-model_v3	AF-Q05506-F1-model_v3	1.0e-61	213.0	NA	NA	1.760E-35	1886	gold
Q9C723	P38795	AF-Q9C723-F1-model_v3	AF-P38795-F1-model_v3	9.7e-278	778.5	0.00e+00	2016.17	2.745E-99	4293	platinum
Q9C744	Q08951	AF-Q9C744-F1-model_v3	AF-Q08951-F1-model_v3	1.1e-75	263.8	7.11e-08	1761.83	NA	NA	gold
Q9C774	Q08723	AF-Q9C774-F1-model_v3	AF-Q08723-F1-model_v3	4.3e-95	283.1	0.00e+00	782.15	4.352E-33	1272	platinum
Q9C813	Q04217	AF-Q9C813-F1-model_v3	AF-Q04217-F1-model_v3	3.8e-157	502.3	2.34e-06	1918.42	7.082E-72	3351	platinum
Q9C8G5	Q03516	AF-Q9C8G5-F1-model_v3	AF-Q03516-F1-model_v3	2.5e-29	122.9	0.00e+00	1618.34	1.494E-29	1673	platinum
Q9C911	P53863	AF-Q9C911-F1-model_v3	AF-P53863-F1-model_v3	5.0e-37	144.1	1.64e-06	899.66	1.138E-21	1029	platinum
Q9C923	P53742	AF-Q9C923-F1-model_v3	AF-P53742-F1-model_v3	1.4e-152	445.3	6.74e-14	1057.22	6.271E-52	2205	platinum
