Uniprot_arabadopsis	Uniprot_arabadopsis	AlphaFold_arabadopsis	AlphaFold_arabadopsis	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
O80832	Q9M2D2	AF-O80832-F1-model_v3	AF-Q9M2D2-F1-model_v3	1.6e-215	597.0	0.00e+00	1139.38	2.805E-43	2338	platinum
O80854	Q0WPS2	AF-O80854-F1-model_v3	AF-Q0WPS2-F1-model_v3	1.9e-63	199.9	0.00e+00	623.09	8.548E-17	875	platinum
O80856	Q9SJW6	AF-O80856-F1-model_v3	AF-Q9SJW6-F1-model_v3	2.4e-277	750.7	0.00e+00	977.19	8.950E-69	3139	platinum
O80858	Q9SHJ7	AF-O80858-F1-model_v3	AF-Q9SHJ7-F1-model_v3	7.1e-32	110.5	3.70e-04	224.27	NA	NA	gold
O80861	Q9LMH9	AF-O80861-F1-model_v3	AF-Q9LMH9-F1-model_v3	4.6e-10	57.8	4.95e-04	438.91	2.170E-05	223	platinum
O80934	Q94EG6	AF-O80934-F1-model_v3	AF-Q94EG6-F1-model_v3	4.2e-142	401.4	0.00e+00	741.50	8.923E-48	1880	platinum
O80988	Q94B78	AF-O80988-F1-model_v3	AF-Q94B78-F1-model_v3	0.0e+00	1891.3	0.00e+00	2996.60	0.000E+00	8505	platinum
O81005	Q9SZG3	AF-O81005-F1-model_v3	AF-Q9SZG3-F1-model_v3	8.94e-02	103.36	8.94e-02	103.36	9.929E-05	209	platinum
O81015	Q9FMQ0	AF-O81015-F1-model_v3	AF-Q9FMQ0-F1-model_v3	5.8e-115	357.1	1.33e-02	765.57	8.264E-33	1256	platinum
O81071	Q6NKV4	AF-O81071-F1-model_v3	AF-Q6NKV4-F1-model_v3	3.4e-66	196.4	0.00e+00	341.31	7.942E-14	698	platinum
O81097	Q9M1A8	AF-O81097-F1-model_v3	AF-Q9M1A8-F1-model_v3	3.1e-103	291.2	0.00e+00	431.86	2.546E-29	1296	platinum
O81315	Q9FDZ8	AF-O81315-F1-model_v3	AF-Q9FDZ8-F1-model_v3	9.9e-44	148.3	1.92e-03	268.43	6.990E-10	402	platinum
O81469	Q9LP92	AF-O81469-F1-model_v3	AF-Q9LP92-F1-model_v3	1.4e-185	533.5	2.63e-02	594.22	8.479E-39	1403	platinum
O81483	Q9S7S3	AF-O81483-F1-model_v3	AF-Q9S7S3-F1-model_v3	2.2e-38	129.4	1.09e-02	161.10	2.974E-09	337	platinum
O81761	Q9SYZ5	AF-O81761-F1-model_v3	AF-Q9SYZ5-F1-model_v3	1.1e-78	243.0	4.49e-10	746.65	1.644E-37	1748	platinum
O81793	O81801	AF-O81793-F1-model_v3	AF-O81801-F1-model_v3	6.1e-37	131.7	6.09e-06	489.11	3.796E-16	606	platinum
O81806	Q9SS33	AF-O81806-F1-model_v3	AF-Q9SS33-F1-model_v3	2.7e-61	190.7	2.91e-14	484.87	2.554E-21	818	platinum
O81838	Q9FL72	AF-O81838-F1-model_v3	AF-Q9FL72-F1-model_v3	7.5e-170	470.7	0.00e+00	797.00	4.527E-54	2150	platinum
O81876	Q8GXN3	AF-O81876-F1-model_v3	AF-Q8GXN3-F1-model_v3	7.1e-281	767.3	0.00e+00	1304.85	3.063E-79	3357	platinum
O81916	Q8GUH8	AF-O81916-F1-model_v3	AF-Q8GUH8-F1-model_v3	1.2e-195	550.8	0.00e+00	1073.83	3.630E-62	2608	platinum
O82172	Q6NNH5	AF-O82172-F1-model_v3	AF-Q6NNH5-F1-model_v3	1.5e-49	159.5	4.94e-03	234.28	NA	NA	gold
O82174	Q8L7W4	AF-O82174-F1-model_v3	AF-Q8L7W4-F1-model_v3	8.0e-87	275.4	7.75e-14	1067.25	7.953E-54	2319	platinum
O82204	Q9M0E2	AF-O82204-F1-model_v3	AF-Q9M0E2-F1-model_v3	2.4e-85	245.7	0.00e+00	407.16	5.429E-25	1010	platinum
O82222	Q8LEC2	AF-O82222-F1-model_v3	AF-Q8LEC2-F1-model_v3	2.7e-92	265.8	6.88e-15	443.66	8.091E-21	860	platinum
O82230	Q9M098	AF-O82230-F1-model_v3	AF-Q9M098-F1-model_v3	1.1e-88	257.3	6.42e-13	433.76	2.562E-22	882	platinum
O82234	Q94B52	AF-O82234-F1-model_v3	AF-Q94B52-F1-model_v3	1.6e-121	349.7	5.37e-12	711.98	4.093E-40	1572	platinum
O82238	Q9LZI6	AF-O82238-F1-model_v3	AF-Q9LZI6-F1-model_v3	2.6e-59	176.8	5.75e-14	233.06	1.661E-10	438	platinum
O82251	Q9FM67	AF-O82251-F1-model_v3	AF-Q9FM67-F1-model_v3	4.8e-41	138.3	1.60e-13	514.12	4.455E-12	628	platinum
O82264	Q9LYC2	AF-O82264-F1-model_v3	AF-Q9LYC2-F1-model_v3	3.1e-254	695.3	0.00e+00	1164.17	3.741E-81	3260	platinum
O82275	Q1G309	AF-O82275-F1-model_v3	AF-Q1G309-F1-model_v3	8.6e-20	74.7	0.00e+00	214.73	5.588E-07	289	platinum
O82357	Q9M315	AF-O82357-F1-model_v3	AF-Q9M315-F1-model_v3	3.7e-219	601.3	0.00e+00	931.26	3.352E-61	2436	platinum
O82567	O82568	AF-O82567-F1-model_v3	AF-O82568-F1-model_v3	1.6e-260	709.1	0.00e+00	1150.66	3.413E-50	2793	platinum
O82804	Q5Q0C8	AF-O82804-F1-model_v3	AF-Q5Q0C8-F1-model_v3	2.2e-16	82.4	5.70e-02	556.35	1.895E-11	435	platinum
P0C043	Q56XR6	AF-P0C043-F1-model_v3	AF-Q56XR6-F1-model_v3	2.8e-64	214.5	0.00e+00	1325.05	8.277E-42	2473	platinum
P0C7R4	Q9CAA5	AF-P0C7R4-F1-model_v3	AF-Q9CAA5-F1-model_v3	0.0e+00	925.6	0.00e+00	1703.04	1.660E-57	3593	platinum
P0DI19	Q0WMV8	AF-P0DI19-F1-model_v3	AF-Q0WMV8-F1-model_v3	2.5e-85	243.0	0.00e+00	311.97	1.139E-24	908	platinum
P0DN99	Q3EBM6	AF-P0DN99-F1-model_v3	AF-Q3EBM6-F1-model_v3	2.2e-31	105.1	8.34e-04	152.17	2.441E-06	226	platinum
P10896	Q9AST9	AF-P10896-F1-model_v3	AF-Q9AST9-F1-model_v3	7.7e-102	311.2	1.82e-12	853.58	1.338E-37	1615	platinum
P11490	P42699	AF-P11490-F1-model_v3	AF-P42699-F1-model_v3	3.1e-80	235.0	1.59e-13	437.69	4.894E-24	993	platinum
P14891	P43256	AF-P14891-F1-model_v3	AF-P43256-F1-model_v3	2.7e-263	731.9	0.00e+00	1454.61	1.317E-76	3402	platinum
P17094	P22738	AF-P17094-F1-model_v3	AF-P22738-F1-model_v3	3.5e-253	690.6	0.00e+00	1151.29	7.782E-73	3154	platinum
P18612	P31169	AF-P18612-F1-model_v3	AF-P31169-F1-model_v3	5.6e-35	112.5	1.68e-10	191.83	3.905E-06	208	platinum
P25860	Q38805	AF-P25860-F1-model_v3	AF-Q38805-F1-model_v3	2.9e-34	111.7	2.43e-04	143.88	1.011E-10	336	platinum
P25863	P30185	AF-P25863-F1-model_v3	AF-P30185-F1-model_v3	3.4e-10	54.7	7.70e-02	123.02	9.213E-07	278	platinum
P31265	Q9M9V9	AF-P31265-F1-model_v3	AF-Q9M9V9-F1-model_v3	1.6e-79	232.6	0.00e+00	387.00	1.413E-23	1001	platinum
P34789	Q9SR73	AF-P34789-F1-model_v3	AF-Q9SR73-F1-model_v3	2.6e-39	123.2	0.00e+00	167.99	9.883E-12	513	platinum
P34795	Q8H103	AF-P34795-F1-model_v3	AF-Q8H103-F1-model_v3	2.2e-43	163.3	0.00e+00	1043.89	1.191E-33	1600	platinum
P34893	Q8LDC9	AF-P34893-F1-model_v3	AF-Q8LDC9-F1-model_v3	7.0e-50	152.5	0.00e+00	286.56	8.447E-16	710	platinum
P42770	P48641	AF-P42770-F1-model_v3	AF-P48641-F1-model_v3	1.9e-166	482.3	0.00e+00	1358.28	5.070E-69	2859	platinum
P42793	Q6NMS1	AF-P42793-F1-model_v3	AF-Q6NMS1-F1-model_v3	9.6e-126	351.3	3.60e-14	379.60	1.994E-29	1135	platinum
P46637	Q9ZPF5	AF-P46637-F1-model_v3	AF-Q9ZPF5-F1-model_v3	1.8e-213	586.3	0.00e+00	951.70	5.343E-64	2665	platinum
P47925	Q9M0J1	AF-P47925-F1-model_v3	AF-Q9M0J1-F1-model_v3	1.1e-21	83.2	7.47e-02	98.73	NA	NA	gold
P49201	Q9SF35	AF-P49201-F1-model_v3	AF-Q9SF35-F1-model_v3	1.1e-94	269.2	0.00e+00	407.94	4.126E-28	1119	platinum
P49211	Q9FHG2	AF-P49211-F1-model_v3	AF-Q9FHG2-F1-model_v3	7.3e-89	253.8	0.00e+00	383.92	1.860E-27	991	platinum
P49227	Q8LBI1	AF-P49227-F1-model_v3	AF-Q8LBI1-F1-model_v3	1.2e-204	560.5	0.00e+00	886.45	1.106E-55	2260	platinum
P49572	Q9LUB2	AF-P49572-F1-model_v3	AF-Q9LUB2-F1-model_v3	5.1e-167	472.6	0.00e+00	960.37	2.419E-54	2213	platinum
P49592	Q944I5	AF-P49592-F1-model_v3	AF-Q944I5-F1-model_v3	2.1e-97	277.7	0.00e+00	430.32	1.336E-23	885	platinum
P49691	Q9SF40	AF-P49691-F1-model_v3	AF-Q9SF40-F1-model_v3	2.3e-278	755.7	0.00e+00	1197.19	2.603E-80	3013	platinum
P51412	Q8L9A0	AF-P51412-F1-model_v3	AF-Q8L9A0-F1-model_v3	9.0e-28	105.9	3.93e-07	455.64	8.420E-14	666	platinum
P51413	Q93VI3	AF-P51413-F1-model_v3	AF-Q93VI3-F1-model_v3	1.0e-120	337.8	0.00e+00	501.91	1.191E-35	1395	platinum
P51414	Q9FJX2	AF-P51414-F1-model_v3	AF-Q9FJX2-F1-model_v3	1.8e-84	243.8	0.00e+00	431.69	4.379E-28	1045	platinum
P51424	Q8L8W6	AF-P51424-F1-model_v3	AF-Q8L8W6-F1-model_v3	3.3e-32	104.4	0.00e+00	143.98	2.451E-08	325	platinum
P51427	Q9ZUT9	AF-P51427-F1-model_v3	AF-Q9ZUT9-F1-model_v3	4.6e-137	381.7	0.00e+00	599.48	7.220E-35	1574	platinum
P56756	Q42577	AF-P56756-F1-model_v3	AF-Q42577-F1-model_v3	1.0e-49	161.4	4.84e-14	434.41	8.574E-23	842	platinum
P56766	P56767	AF-P56766-F1-model_v3	AF-P56767-F1-model_v3	2.2e-215	622.9	0.00e+00	1672.21	3.579E-50	2813	platinum
P56783	Q8RXP7	AF-P56783-F1-model_v3	AF-Q8RXP7-F1-model_v3	1.1e-14	72.0	3.33e-15	576.53	4.462E-07	380	platinum
P56820	Q9FKV6	AF-P56820-F1-model_v3	AF-Q9FKV6-F1-model_v3	0.0e+00	1015.0	0.00e+00	1574.44	1.751E-98	4099	platinum
P57751	Q9M9P3	AF-P57751-F1-model_v3	AF-Q9M9P3-F1-model_v3	0.0e+00	875.2	0.00e+00	1388.40	2.753E-89	3759	platinum
P58728	Q9LW64	AF-P58728-F1-model_v3	AF-Q9LW64-F1-model_v3	6.9e-61	179.5	0.00e+00	239.98	1.839E-14	594	platinum
P59223	P59224	AF-P59223-F1-model_v3	AF-P59224-F1-model_v3	3.3e-105	296.6	0.00e+00	431.63	7.765E-23	1037	platinum
P60112	Q304C3	AF-P60112-F1-model_v3	AF-Q304C3-F1-model_v3	4.4e-45	139.4	0.00e+00	239.82	2.822E-09	422	platinum
P62117	Q8W464	AF-P62117-F1-model_v3	AF-Q8W464-F1-model_v3	2.6e-13	57.4	5.20e-08	94.88	4.169E-05	227	platinum
P68209	Q8LAD2	AF-P68209-F1-model_v3	AF-Q8LAD2-F1-model_v3	1.4e-220	604.4	0.00e+00	977.06	3.517E-67	2590	platinum
P82726	Q9T0E3	AF-P82726-F1-model_v3	AF-Q9T0E3-F1-model_v3	2.5e-30	103.2	4.70e-11	209.68	1.860E-10	438	platinum
P82793	Q2V2S9	AF-P82793-F1-model_v3	AF-Q2V2S9-F1-model_v3	4.7e-29	97.8	1.21e-06	126.04	2.497E-09	366	platinum
P82869	Q9SSA5	AF-P82869-F1-model_v3	AF-Q9SSA5-F1-model_v3	5.3e-36	137.9	1.24e-11	862.86	6.885E-31	1351	platinum
P92524	Q6IDD0	AF-P92524-F1-model_v3	AF-Q6IDD0-F1-model_v3	1.7e-04	37.7	5.27e-01	59.74	NA	NA	gold
P92529	Q27GM2	AF-P92529-F1-model_v3	AF-Q27GM2-F1-model_v3	3.1e-155	429.5	3.06e-06	449.28	1.387E-24	1076	platinum
P92983	Q6NKX1	AF-P92983-F1-model_v3	AF-Q6NKX1-F1-model_v3	2.2e-271	745.0	0.00e+00	1343.02	1.260E-62	3216	platinum
P93019	Q9SGN8	AF-P93019-F1-model_v3	AF-Q9SGN8-F1-model_v3	3.3e-48	162.5	5.77e-03	348.55	1.160E-12	475	platinum
P93048	Q9SAH1	AF-P93048-F1-model_v3	AF-Q9SAH1-F1-model_v3	1.0e-29	100.5	5.97e-08	173.90	2.990E-08	288	platinum
P93735	Q94K66	AF-P93735-F1-model_v3	AF-Q94K66-F1-model_v3	1.5e-90	263.1	2.65e-09	442.54	8.152E-21	802	platinum
P93746	Q42377	AF-P93746-F1-model_v3	AF-Q42377-F1-model_v3	8.6e-45	138.7	3.32e-08	203.34	1.947E-11	454	platinum
P93758	Q93YN8	AF-P93758-F1-model_v3	AF-Q93YN8-F1-model_v3	1.0e-49	165.6	5.57e-07	540.21	9.856E-23	773	platinum
P94063	Q9SWE5	AF-P94063-F1-model_v3	AF-Q9SWE5-F1-model_v3	6.2e-134	373.6	0.00e+00	575.29	4.824E-41	1542	platinum
Q02973	Q07187	AF-Q02973-F1-model_v3	AF-Q07187-F1-model_v3	9.2e-24	87.8	1.53e-07	184.43	9.754E-08	352	platinum
Q09152	Q43315	AF-Q09152-F1-model_v3	AF-Q43315-F1-model_v3	3.5e-233	637.9	0.00e+00	1005.73	4.506E-41	2348	platinum
Q0IGM8	Q9M207	AF-Q0IGM8-F1-model_v3	AF-Q9M207-F1-model_v3	1.4e-36	121.3	2.63e-05	210.34	5.581E-11	410	platinum
Q0WM46	Q9FH24	AF-Q0WM46-F1-model_v3	AF-Q9FH24-F1-model_v3	2.3e-73	233.0	1.16e-04	703.39	NA	NA	gold
Q0WML1	Q9FJD4	AF-Q0WML1-F1-model_v3	AF-Q9FJD4-F1-model_v3	3.2e-271	766.5	0.00e+00	1822.12	1.915E-49	3139	platinum
Q0WN19	Q67XU1	AF-Q0WN19-F1-model_v3	AF-Q67XU1-F1-model_v3	2.1e-49	152.5	2.03e-03	163.36	6.256E-10	369	platinum
Q0WNE5	Q9M8Y9	AF-Q0WNE5-F1-model_v3	AF-Q9M8Y9-F1-model_v3	5.9e-115	325.5	0.00e+00	560.02	1.557E-29	1374	platinum
Q0WNN6	Q8L9J9	AF-Q0WNN6-F1-model_v3	AF-Q8L9J9-F1-model_v3	1.1e-88	265.0	0.00e+00	681.22	1.914E-32	1386	platinum
Q0WP36	Q9SL95	AF-Q0WP36-F1-model_v3	AF-Q9SL95-F1-model_v3	1.4e-144	421.0	7.97e-14	1176.70	3.169E-36	1978	platinum
Q0WPN7	Q9M2Y6	AF-Q0WPN7-F1-model_v3	AF-Q9M2Y6-F1-model_v3	2.4e-165	457.6	0.00e+00	689.88	1.814E-47	1784	platinum
Q0WQ76	Q84JY3	AF-Q0WQ76-F1-model_v3	AF-Q84JY3-F1-model_v3	1.1e-62	199.5	5.04e-04	357.61	4.804E-14	687	platinum
Q0WQG8	Q9XIP7	AF-Q0WQG8-F1-model_v3	AF-Q9XIP7-F1-model_v3	2.0e-296	806.6	0.00e+00	1382.33	9.248E-54	2900	platinum
Q0WQJ1	Q8LFJ2	AF-Q0WQJ1-F1-model_v3	AF-Q8LFJ2-F1-model_v3	2.7e-53	167.9	1.43e-02	194.20	NA	NA	gold
Q0WT24	Q9C8N5	AF-Q0WT24-F1-model_v3	AF-Q9C8N5-F1-model_v3	9.0e-74	237.3	2.19e-06	671.92	5.793E-27	1088	platinum
Q0WTB4	Q9FJM0	AF-Q0WTB4-F1-model_v3	AF-Q9FJM0-F1-model_v3	8.4e-42	158.7	4.31e-06	822.09	4.642E-30	1204	platinum
Q0WTS1	Q9SL96	AF-Q0WTS1-F1-model_v3	AF-Q9SL96-F1-model_v3	4.8e-65	207.2	2.05e-07	659.21	2.093E-30	1097	platinum
Q0WUC5	Q8L718	AF-Q0WUC5-F1-model_v3	AF-Q8L718-F1-model_v3	6.4e-150	441.0	6.66e-16	1166.34	5.140E-35	1963	platinum
Q0WVH0	Q9ZPV5	AF-Q0WVH0-F1-model_v3	AF-Q9ZPV5-F1-model_v3	1.0e-93	303.9	1.11e-16	1366.21	8.094E-29	1750	platinum
Q0WVH7	Q9M082	AF-Q0WVH7-F1-model_v3	AF-Q9M082-F1-model_v3	2.5e-306	855.1	4.44e-14	1620.01	6.257E-58	3277	platinum
Q0WWE3	Q9SJV7	AF-Q0WWE3-F1-model_v3	AF-Q9SJV7-F1-model_v3	4.3e-39	122.9	3.00e-15	167.77	2.840E-07	347	platinum
Q147F2	Q8H1E1	AF-Q147F2-F1-model_v3	AF-Q8H1E1-F1-model_v3	6.3e-133	391.7	3.98e-12	1035.02	7.186E-36	1554	platinum
Q147F4	Q9FMT4	AF-Q147F4-F1-model_v3	AF-Q9FMT4-F1-model_v3	1.1e-232	647.5	0.00e+00	1145.77	4.311E-62	2509	platinum
Q1EBS5	Q9XI42	AF-Q1EBS5-F1-model_v3	AF-Q9XI42-F1-model_v3	1.5e-29	98.6	3.85e-09	161.81	9.312E-07	240	platinum
Q1ECL9	Q5BPW2	AF-Q1ECL9-F1-model_v3	AF-Q5BPW2-F1-model_v3	2.7e-45	151.8	9.21e-03	251.27	NA	NA	gold
Q1ECS0	Q9T0H2	AF-Q1ECS0-F1-model_v3	AF-Q9T0H2-F1-model_v3	9.8e-11	51.6	2.76e-01	56.16	NA	NA	gold
Q1G3Q1	Q9FFL4	AF-Q1G3Q1-F1-model_v3	AF-Q9FFL4-F1-model_v3	5.8e-34	121.3	1.98e-01	157.72	NA	NA	gold
Q1G3S0	Q5Q0G4	AF-Q1G3S0-F1-model_v3	AF-Q5Q0G4-F1-model_v3	2.5e-22	81.3	1.81e-05	155.46	NA	NA	gold
Q1G3T6	Q3E7C8	AF-Q1G3T6-F1-model_v3	AF-Q3E7C8-F1-model_v3	4.4e-15	62.8	1.85e-02	91.28	NA	NA	gold
Q1G3T8	Q84K42	AF-Q1G3T8-F1-model_v3	AF-Q84K42-F1-model_v3	3.4e-19	75.1	1.16e-05	190.43	3.779E-04	177	platinum
Q1G3U8	Q8VYI5	AF-Q1G3U8-F1-model_v3	AF-Q8VYI5-F1-model_v3	3.2e-32	108.2	1.45e-04	186.16	3.309E-08	295	platinum
Q1G3W7	Q84RF2	AF-Q1G3W7-F1-model_v3	AF-Q84RF2-F1-model_v3	2.3e-47	152.5	3.83e-07	344.56	3.147E-09	394	platinum
Q1G3X0	Q9LVH1	AF-Q1G3X0-F1-model_v3	AF-Q9LVH1-F1-model_v3	6.4e-28	102.1	6.86e-04	174.12	5.642E-07	262	platinum
Q1H5C9	Q8H0Y1	AF-Q1H5C9-F1-model_v3	AF-Q8H0Y1-F1-model_v3	1.1e-122	345.9	0.00e+00	594.84	1.439E-31	1578	platinum
Q1JPP8	Q9LNX4	AF-Q1JPP8-F1-model_v3	AF-Q9LNX4-F1-model_v3	5.7e-09	47.4	2.83e-04	146.41	NA	NA	gold
Q1PDT6	Q680D9	AF-Q1PDT6-F1-model_v3	AF-Q680D9-F1-model_v3	2.2e-137	388.7	1.20e-14	666.27	1.918E-42	1774	platinum
Q1PDW9	Q9S799	AF-Q1PDW9-F1-model_v3	AF-Q9S799-F1-model_v3	7.3e-53	162.5	2.42e-07	292.40	1.389E-14	534	platinum
Q1PF33	Q5XF06	AF-Q1PF33-F1-model_v3	AF-Q5XF06-F1-model_v3	4.7e-239	661.8	1.97e-10	1074.32	1.401E-55	2194	platinum
Q2HIG7	Q9FKU4	AF-Q2HIG7-F1-model_v3	AF-Q9FKU4-F1-model_v3	8.2e-125	352.4	1.05e-10	495.91	2.264E-22	983	platinum
Q2HIQ2	Q38842	AF-Q2HIQ2-F1-model_v3	AF-Q38842-F1-model_v3	8.0e-42	131.0	0.00e+00	215.88	6.607E-12	433	platinum
Q2HIQ5	Q8LDQ8	AF-Q2HIQ5-F1-model_v3	AF-Q8LDQ8-F1-model_v3	4.4e-16	65.5	1.22e-02	98.27	NA	NA	gold
Q2V2Y3	Q8GXV6	AF-Q2V2Y3-F1-model_v3	AF-Q8GXV6-F1-model_v3	9.3e-33	108.2	4.29e-06	177.79	4.150E-08	360	platinum
Q2V2Y6	Q3EBU2	AF-Q2V2Y6-F1-model_v3	AF-Q3EBU2-F1-model_v3	1.2e-39	125.6	2.90e-11	232.52	1.537E-11	454	platinum
Q2V310	Q4VP04	AF-Q2V310-F1-model_v3	AF-Q4VP04-F1-model_v3	2.4e-46	142.1	1.55e-06	176.21	1.945E-10	409	platinum
Q2V3E8	Q5BPG1	AF-Q2V3E8-F1-model_v3	AF-Q5BPG1-F1-model_v3	6.9e-31	109.4	5.48e-02	132.26	NA	NA	gold
Q2V4D9	Q2V4E0	AF-Q2V4D9-F1-model_v3	AF-Q2V4E0-F1-model_v3	3.7e-35	115.2	9.08e-06	178.54	5.711E-08	321	platinum
Q2V4F6	Q2V4F7	AF-Q2V4F6-F1-model_v3	AF-Q2V4F7-F1-model_v3	1.1e-30	101.3	1.04e-05	118.60	2.644E-08	278	platinum
Q2V4N4	Q2V4N5	AF-Q2V4N4-F1-model_v3	AF-Q2V4N5-F1-model_v3	3.7e-08	45.4	3.02e-04	125.11	NA	NA	gold
Q38821	Q39247	AF-Q38821-F1-model_v3	AF-Q39247-F1-model_v3	1.8e-296	810.1	0.00e+00	1202.82	1.036E-81	3614	platinum
Q38861	Q9FUG4	AF-Q38861-F1-model_v3	AF-Q9FUG4-F1-model_v3	0.0e+00	1459.1	0.00e+00	2062.68	0.000E+00	5846	platinum
Q39066	Q8W483	AF-Q39066-F1-model_v3	AF-Q8W483-F1-model_v3	4.4e-07	43.1	5.94e-03	107.24	NA	NA	gold
Q39096	Q94AR4	AF-Q39096-F1-model_v3	AF-Q94AR4-F1-model_v3	1.1e-16	72.0	1.74e-02	190.02	3.676E-05	226	platinum
Q39195	Q9SYE2	AF-Q39195-F1-model_v3	AF-Q9SYE2-F1-model_v3	3.5e-37	120.9	8.80e-08	226.36	3.072E-11	404	platinum
Q39208	Q9M883	AF-Q39208-F1-model_v3	AF-Q9M883-F1-model_v3	2.6e-170	471.9	0.00e+00	785.08	3.711E-38	1781	platinum
Q39230	Q8RWT8	AF-Q39230-F1-model_v3	AF-Q8RWT8-F1-model_v3	1.4e-71	234.6	0.00e+00	1041.97	3.393E-39	1682	platinum
Q3E6S9	Q9M1R1	AF-Q3E6S9-F1-model_v3	AF-Q9M1R1-F1-model_v3	8.2e-196	551.6	0.00e+00	1226.83	5.857E-66	2766	platinum
Q3E870	Q9C5E8	AF-Q3E870-F1-model_v3	AF-Q9C5E8-F1-model_v3	2.3e-41	131.0	4.96e-10	243.76	1.341E-09	333	platinum
Q3E902	Q9M337	AF-Q3E902-F1-model_v3	AF-Q9M337-F1-model_v3	5.0e-54	161.8	0.00e+00	233.06	3.795E-15	582	platinum
Q3E983	Q9FMI8	AF-Q3E983-F1-model_v3	AF-Q9FMI8-F1-model_v3	2.6e-67	218.4	3.66e-15	762.94	3.604E-23	1252	platinum
Q3E9U9	Q3ECR8	AF-Q3E9U9-F1-model_v3	AF-Q3ECR8-F1-model_v3	4.1e-36	117.5	4.87e-03	117.76	NA	NA	gold
Q3EBF7	Q9ZRP7	AF-Q3EBF7-F1-model_v3	AF-Q9ZRP7-F1-model_v3	8.1e-289	785.8	0.00e+00	1341.59	4.154E-63	3308	platinum
Q3EBI2	Q8S2W4	AF-Q3EBI2-F1-model_v3	AF-Q8S2W4-F1-model_v3	9.6e-25	86.3	6.25e-07	143.40	NA	NA	gold
Q3EBL9	Q9SCP9	AF-Q3EBL9-F1-model_v3	AF-Q9SCP9-F1-model_v3	6.5e-124	349.4	0.00e+00	621.62	9.209E-28	1068	platinum
Q3EBY6	Q8L7E9	AF-Q3EBY6-F1-model_v3	AF-Q8L7E9-F1-model_v3	1.8e-202	564.7	1.67e-15	937.89	6.464E-34	1951	platinum
Q3EC35	Q9FRI9	AF-Q3EC35-F1-model_v3	AF-Q9FRI9-F1-model_v3	4.6e-12	59.3	5.75e-01	70.47	NA	NA	gold
Q3ECI7	Q9ASY8	AF-Q3ECI7-F1-model_v3	AF-Q9ASY8-F1-model_v3	1.9e-26	91.7	7.37e-07	185.95	3.998E-08	298	platinum
Q3ECP0	Q9M322	AF-Q3ECP0-F1-model_v3	AF-Q9M322-F1-model_v3	0.0e+00	1002.3	0.00e+00	1661.23	2.705E-85	3677	platinum
Q3ECT7	Q9SVV4	AF-Q3ECT7-F1-model_v3	AF-Q9SVV4-F1-model_v3	3.6e-39	125.6	1.98e-05	197.24	4.025E-11	375	platinum
Q3MKM6	Q9M0V4	AF-Q3MKM6-F1-model_v3	AF-Q9M0V4-F1-model_v3	2.1e-167	481.5	0.00e+00	1278.38	3.519E-68	2910	platinum
Q3YL57	Q9LKW9	AF-Q3YL57-F1-model_v3	AF-Q9LKW9-F1-model_v3	0.0e+00	1102.0	0.00e+00	2066.45	7.428E-66	4221	platinum
Q42262	Q9CAV0	AF-Q42262-F1-model_v3	AF-Q9CAV0-F1-model_v3	2.6e-177	488.0	0.00e+00	756.20	2.173E-52	2055	platinum
Q42338	Q9LJ47	AF-Q42338-F1-model_v3	AF-Q9LJ47-F1-model_v3	1.5e-26	92.8	5.05e-12	233.59	4.393E-07	302	platinum
Q42533	Q9LLC1	AF-Q42533-F1-model_v3	AF-Q9LLC1-F1-model_v3	7.0e-51	167.5	1.51e-07	533.29	2.298E-22	937	platinum
Q42539	Q64J17	AF-Q42539-F1-model_v3	AF-Q64J17-F1-model_v3	2.4e-113	326.6	0.00e+00	624.15	1.082E-38	1580	platinum
Q43291	Q9FDZ9	AF-Q43291-F1-model_v3	AF-Q9FDZ9-F1-model_v3	4.6e-116	325.1	0.00e+00	479.89	1.806E-28	1124	platinum
Q4PSS8	Q9MA36	AF-Q4PSS8-F1-model_v3	AF-Q9MA36-F1-model_v3	2.6e-139	407.9	1.80e-04	797.28	1.234E-28	1054	platinum
Q4TU14	Q9ZT42	AF-Q4TU14-F1-model_v3	AF-Q9ZT42-F1-model_v3	4.6e-45	158.7	2.32e-04	505.23	1.018E-16	627	platinum
Q4V3E2	Q94C32	AF-Q4V3E2-F1-model_v3	AF-Q94C32-F1-model_v3	5.6e-98	292.0	5.82e-13	711.90	1.531E-33	1377	platinum
Q500V2	Q5PP23	AF-Q500V2-F1-model_v3	AF-Q5PP23-F1-model_v3	0.0e+00	951.8	0.00e+00	1498.32	1.389E-81	3766	platinum
Q500Z2	Q93VV0	AF-Q500Z2-F1-model_v3	AF-Q93VV0-F1-model_v3	9.7e-82	246.5	0.00e+00	650.95	9.070E-26	1179	platinum
Q500Z7	Q8RXY6	AF-Q500Z7-F1-model_v3	AF-Q8RXY6-F1-model_v3	1.3e-175	484.6	0.00e+00	707.19	2.137E-44	1891	platinum
Q52K82	Q9LRN6	AF-Q52K82-F1-model_v3	AF-Q9LRN6-F1-model_v3	1.9e-54	174.1	0.00e+00	483.38	2.036E-14	741	platinum
Q52K95	Q9FZ54	AF-Q52K95-F1-model_v3	AF-Q9FZ54-F1-model_v3	1.8e-07	45.1	1.07e-02	115.87	NA	NA	gold
