Uniprot_arabadopsis	Uniprot_pombe	AlphaFold_arabadopsis	AlphaFold_pombe	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q84MD8	O74866	AF-Q84MD8-F1-model_v3	AF-O74866-F1-model_v3	1.2e-42	144.4	NA	NA	NA	NA	silver
Q84R09	O14199	AF-Q84R09-F1-model_v3	AF-O14199-F1-model_v3	1.6e-38	131.0	0.00e+00	524.43	9.148E-19	738	platinum
Q84TF0	Q10494	AF-Q84TF0-F1-model_v3	AF-Q10494-F1-model_v3	3.4e-76	234.2	NA	NA	NA	NA	silver
Q84TG1	Q09775	AF-Q84TG1-F1-model_v3	AF-Q09775-F1-model_v3	9.7e-112	339.0	0.00e+00	1138.57	1.324E-51	2036	platinum
Q84TI2	P15567	AF-Q84TI2-F1-model_v3	AF-P15567-F1-model_v3	2.6e-188	541.2	0.00e+00	1515.76	3.610E-79	3208	platinum
Q84TI6	O13958	AF-Q84TI6-F1-model_v3	AF-O13958-F1-model_v3	3.5e-86	266.9	NA	NA	7.830E-35	1511	gold
Q84TI7	P47946	AF-Q84TI7-F1-model_v3	AF-P47946-F1-model_v3	5.7e-28	115.9	4.51e-09	859.10	NA	NA	gold
Q84V22	O14333	AF-Q84V22-F1-model_v3	AF-O14333-F1-model_v3	5.9e-70	226.5	8.47e-11	780.59	3.644E-31	1319	platinum
Q84VW0	Q9UR05	AF-Q84VW0-F1-model_v3	AF-Q9UR05-F1-model_v3	5.0e-37	119.0	0.00e+00	239.75	1.623E-13	528	platinum
Q84VX4	O94235	AF-Q84VX4-F1-model_v3	AF-O94235-F1-model_v3	1.5e-71	245.4	1.21e-06	1176.17	1.886E-33	1461	platinum
Q84WJ2	O74761	AF-Q84WJ2-F1-model_v3	AF-O74761-F1-model_v3	2.4e-97	298.1	0.00e+00	1037.76	4.421E-30	1698	platinum
Q84WK5	Q10446	AF-Q84WK5-F1-model_v3	AF-Q10446-F1-model_v3	1.2e-34	122.1	0.00e+00	516.42	3.754E-13	676	platinum
Q84WL9	Q9Y7L6	AF-Q84WL9-F1-model_v3	AF-Q9Y7L6-F1-model_v3	1.1e-57	174.1	NA	NA	1.632E-20	847	gold
Q84WU1	Q9UTN3	AF-Q84WU1-F1-model_v3	AF-Q9UTN3-F1-model_v3	3.6e-57	200.3	4.70e-08	962.20	4.323E-26	1293	platinum
Q84WV1	O74341	AF-Q84WV1-F1-model_v3	AF-O74341-F1-model_v3	4.7e-228	637.9	0.00e+00	1526.86	1.771E-68	3394	platinum
Q84WW3	O74429	AF-Q84WW3-F1-model_v3	AF-O74429-F1-model_v3	1.7e-139	440.7	1.67e-15	1720.18	7.710E-68	3287	platinum
Q84XU2	O43049	AF-Q84XU2-F1-model_v3	AF-O43049-F1-model_v3	1.5e-134	397.1	0.00e+00	1274.32	3.275E-56	2652	platinum
Q8GUN8	O36015	AF-Q8GUN8-F1-model_v3	AF-O36015-F1-model_v3	1.6e-113	327.8	0.00e+00	710.58	9.093E-42	1568	platinum
Q8GUP1	O14233	AF-Q8GUP1-F1-model_v3	AF-O14233-F1-model_v3	6.3e-84	279.3	1.64e-13	1448.29	1.877E-30	1796	platinum
Q8GW19	O94448	AF-Q8GW19-F1-model_v3	AF-O94448-F1-model_v3	9.1e-26	101.3	0.00e+00	572.74	1.374E-11	696	platinum
Q8GW44	Q9US60	AF-Q8GW44-F1-model_v3	AF-Q9US60-F1-model_v3	5.9e-82	261.5	NA	NA	NA	NA	silver
Q8GWB3	Q9UTD3	AF-Q8GWB3-F1-model_v3	AF-Q9UTD3-F1-model_v3	1.6e-20	85.9	2.42e-13	545.20	4.365E-10	584	platinum
Q8GWB7	O43062	AF-Q8GWB7-F1-model_v3	AF-O43062-F1-model_v3	1.4e-06	48.1	NA	NA	NA	NA	silver
Q8GWE1	Q10171	AF-Q8GWE1-F1-model_v3	AF-Q10171-F1-model_v3	2.6e-33	117.9	NA	NA	NA	NA	silver
Q8GWT4	P78963	AF-Q8GWT4-F1-model_v3	AF-P78963-F1-model_v3	4.9e-114	353.6	0.00e+00	1441.27	1.657E-64	2654	platinum
Q8GWY0	Q9UUN3	AF-Q8GWY0-F1-model_v3	AF-Q9UUN3-F1-model_v3	1.4e-05	41.2	4.54e-05	157.08	NA	NA	gold
Q8GXB7	Q96WV1	AF-Q8GXB7-F1-model_v3	AF-Q96WV1-F1-model_v3	2.6e-84	250.8	0.00e+00	644.61	2.253E-36	1341	platinum
Q8GXL7	Q9USM3	AF-Q8GXL7-F1-model_v3	AF-Q9USM3-F1-model_v3	4.0e-07	48.5	NA	NA	NA	NA	silver
Q8GXN9	Q9HE07	AF-Q8GXN9-F1-model_v3	AF-Q9HE07-F1-model_v3	5.3e-21	95.5	2.60e-01	432.83	NA	NA	gold
Q8GY84	Q9P6N8	AF-Q8GY84-F1-model_v3	AF-Q9P6N8-F1-model_v3	1.5e-163	467.6	0.00e+00	1171.17	1.387E-54	2291	platinum
Q8GYA6	Q9US13	AF-Q8GYA6-F1-model_v3	AF-Q9US13-F1-model_v3	4.8e-56	186.4	0.00e+00	1050.95	6.264E-25	1378	platinum
Q8GYD2	Q09739	AF-Q8GYD2-F1-model_v3	AF-Q09739-F1-model_v3	6.7e-33	116.3	8.88e-16	528.55	2.259E-14	564	platinum
Q8GYI6	Q9USP5	AF-Q8GYI6-F1-model_v3	AF-Q9USP5-F1-model_v3	2.5e-102	305.8	8.66e-15	907.10	3.659E-44	1748	platinum
Q8GZ75	O74955	AF-Q8GZ75-F1-model_v3	AF-O74955-F1-model_v3	1.3e-23	94.0	NA	NA	1.569E-09	531	gold
Q8H0U4	O14089	AF-Q8H0U4-F1-model_v3	AF-O14089-F1-model_v3	1.6e-180	542.7	0.00e+00	2276.66	1.332E-47	3255	platinum
Q8H0V6	O59672	AF-Q8H0V6-F1-model_v3	AF-O59672-F1-model_v3	1.7e-163	486.9	0.00e+00	1767.46	3.269E-69	3018	platinum
Q8H107	O94681	AF-Q8H107-F1-model_v3	AF-O94681-F1-model_v3	1.1e-99	304.3	1.67e-15	1018.55	2.479E-52	2023	platinum
Q8H110	Q7LKZ5	AF-Q8H110-F1-model_v3	AF-Q7LKZ5-F1-model_v3	4.6e-38	135.2	1.55e-09	556.17	3.010E-20	782	platinum
Q8H126	O13890	AF-Q8H126-F1-model_v3	AF-O13890-F1-model_v3	3.4e-93	296.6	0.00e+00	1166.93	1.297E-41	2088	platinum
Q8H173	Q9Y7L8	AF-Q8H173-F1-model_v3	AF-Q9Y7L8-F1-model_v3	4.9e-84	251.9	3.33e-16	691.11	NA	NA	gold
Q8H184	Q10354	AF-Q8H184-F1-model_v3	AF-Q10354-F1-model_v3	1.6e-50	172.6	2.66e-15	848.04	4.935E-15	868	platinum
Q8H1E7	O74974	AF-Q8H1E7-F1-model_v3	AF-O74974-F1-model_v3	5.5e-105	333.6	0.00e+00	1280.90	2.524E-53	2236	platinum
Q8H1G4	Q9URY7	AF-Q8H1G4-F1-model_v3	AF-Q9URY7-F1-model_v3	6.7e-150	430.6	0.00e+00	1061.11	2.080E-61	2435	platinum
Q8H1Q2	O94442	AF-Q8H1Q2-F1-model_v3	AF-O94442-F1-model_v3	2.9e-127	365.5	0.00e+00	870.45	5.533E-42	1667	platinum
Q8H1R1	Q9Y7K4	AF-Q8H1R1-F1-model_v3	AF-Q9Y7K4-F1-model_v3	5.6e-05	42.0	NA	NA	NA	NA	silver
Q8H1U5	Q874R3	AF-Q8H1U5-F1-model_v3	AF-Q874R3-F1-model_v3	7.2e-82	275.4	0.00e+00	1594.82	5.997E-35	1940	platinum
Q8H2D5	O42917	AF-Q8H2D5-F1-model_v3	AF-O42917-F1-model_v3	1.6e-40	156.8	1.19e-07	1141.38	NA	NA	gold
Q8L3X9	O94297	AF-Q8L3X9-F1-model_v3	AF-O94297-F1-model_v3	2.6e-135	394.4	0.00e+00	1085.80	2.432E-60	2292	platinum
Q8L4A7	O94579	AF-Q8L4A7-F1-model_v3	AF-O94579-F1-model_v3	8.5e-97	280.8	NA	NA	1.152E-36	1455	gold
Q8L5R3	Q10197	AF-Q8L5R3-F1-model_v3	AF-Q10197-F1-model_v3	7.3e-56	209.9	0.00e+00	2446.94	2.442E-35	2459	platinum
Q8L5Y9	O74962	AF-Q8L5Y9-F1-model_v3	AF-O74962-F1-model_v3	4.0e-94	300.4	1.11e-16	884.13	2.136E-40	1819	platinum
Q8L601	O13935	AF-Q8L601-F1-model_v3	AF-O13935-F1-model_v3	1.7e-116	366.3	NA	NA	1.129E-58	2479	gold
Q8L607	O74776	AF-Q8L607-F1-model_v3	AF-O74776-F1-model_v3	7.0e-27	107.1	NA	NA	5.013E-14	664	gold
Q8L611	O13637	AF-Q8L611-F1-model_v3	AF-O13637-F1-model_v3	3.6e-65	238.8	1.89e-09	2042.00	NA	NA	gold
Q8L638	Q10254	AF-Q8L638-F1-model_v3	AF-Q10254-F1-model_v3	1.2e-49	174.5	0.00e+00	1111.87	4.103E-24	1392	platinum
Q8L6Y1	Q11119	AF-Q8L6Y1-F1-model_v3	AF-Q11119-F1-model_v3	6.1e-133	411.8	2.44e-15	1584.06	7.184E-73	3098	platinum
Q8L6Z7	P53695	AF-Q8L6Z7-F1-model_v3	AF-P53695-F1-model_v3	7.2e-69	234.6	5.02e-09	1171.75	2.663E-39	1733	platinum
Q8L725	O59758	AF-Q8L725-F1-model_v3	AF-O59758-F1-model_v3	1.7e-37	139.4	2.23e-12	825.98	1.324E-20	1023	platinum
Q8L7K4	Q9UTL6	AF-Q8L7K4-F1-model_v3	AF-Q9UTL6-F1-model_v3	1.5e-16	73.9	3.12e-08	412.50	1.137E-08	459	platinum
Q8L7M0	O13933	AF-Q8L7M0-F1-model_v3	AF-O13933-F1-model_v3	1.3e-87	272.3	0.00e+00	1017.14	3.771E-40	1728	platinum
Q8L7M4	O94443	AF-Q8L7M4-F1-model_v3	AF-O94443-F1-model_v3	5.6e-61	210.7	3.60e-07	1064.67	3.355E-42	1787	platinum
Q8L7M7	O94464	AF-Q8L7M7-F1-model_v3	AF-O94464-F1-model_v3	1.4e-10	62.4	7.39e-03	674.13	NA	NA	gold
Q8L7N2	P87313	AF-Q8L7N2-F1-model_v3	AF-P87313-F1-model_v3	1.8e-55	171.4	0.00e+00	515.91	3.296E-28	1024	platinum
Q8L7U4	Q11118	AF-Q8L7U4-F1-model_v3	AF-Q11118-F1-model_v3	2.3e-17	75.1	6.01e-07	323.44	5.823E-12	546	platinum
Q8L7W3	Q9USH5	AF-Q8L7W3-F1-model_v3	AF-Q9USH5-F1-model_v3	3.3e-32	125.2	5.49e-05	568.57	3.721E-13	528	platinum
Q8L866	Q9P7F2	AF-Q8L866-F1-model_v3	AF-Q9P7F2-F1-model_v3	1.2e-115	364.0	0.00e+00	1625.87	6.270E-66	3078	platinum
Q8L940	O14027	AF-Q8L940-F1-model_v3	AF-O14027-F1-model_v3	2.2e-149	419.1	0.00e+00	831.24	1.797E-51	2082	platinum
Q8L968	Q9UU89	AF-Q8L968-F1-model_v3	AF-Q9UU89-F1-model_v3	9.6e-56	173.3	0.00e+00	516.54	1.162E-24	959	platinum
Q8L9L9	Q9P7Q8	AF-Q8L9L9-F1-model_v3	AF-Q9P7Q8-F1-model_v3	2.7e-74	230.7	0.00e+00	922.88	2.209E-21	1298	platinum
Q8L9R0	Q10348	AF-Q8L9R0-F1-model_v3	AF-Q10348-F1-model_v3	3.1e-42	143.3	0.00e+00	591.18	7.820E-25	977	platinum
Q8LAA0	O94375	AF-Q8LAA0-F1-model_v3	AF-O94375-F1-model_v3	4.0e-48	158.7	7.56e-11	526.03	9.264E-25	952	platinum
Q8LAD0	Q9UTE4	AF-Q8LAD0-F1-model_v3	AF-Q9UTE4-F1-model_v3	2.4e-40	137.1	0.00e+00	491.23	2.061E-23	900	platinum
Q8LB54	Q9UUD2	AF-Q8LB54-F1-model_v3	AF-Q9UUD2-F1-model_v3	9.7e-51	166.4	0.00e+00	564.49	7.279E-24	1005	platinum
Q8LBZ7	P21911	AF-Q8LBZ7-F1-model_v3	AF-P21911-F1-model_v3	2.0e-118	338.6	0.00e+00	754.06	4.522E-39	1668	platinum
Q8LCC7	O74690	AF-Q8LCC7-F1-model_v3	AF-O74690-F1-model_v3	8.4e-66	193.4	0.00e+00	359.69	4.573E-23	855	platinum
Q8LCU7	Q10488	AF-Q8LCU7-F1-model_v3	AF-Q10488-F1-model_v3	6.7e-66	211.5	0.00e+00	831.55	1.213E-39	1551	platinum
Q8LD27	O43063	AF-Q8LD27-F1-model_v3	AF-O43063-F1-model_v3	8.0e-73	219.2	0.00e+00	594.59	6.440E-32	1296	platinum
Q8LEK2	Q9Y7K7	AF-Q8LEK2-F1-model_v3	AF-Q9Y7K7-F1-model_v3	2.8e-34	118.6	0.00e+00	498.64	7.537E-15	654	platinum
Q8LEM8	P59289	AF-Q8LEM8-F1-model_v3	AF-P59289-F1-model_v3	6.7e-38	120.2	NA	NA	NA	NA	silver
Q8LF41	O74366	AF-Q8LF41-F1-model_v3	AF-O74366-F1-model_v3	1.1e-44	151.8	0.00e+00	661.79	2.591E-27	1073	platinum
Q8LGE3	O94241	AF-Q8LGE3-F1-model_v3	AF-O94241-F1-model_v3	7.1e-70	224.2	0.00e+00	908.09	8.925E-40	1705	platinum
Q8LGF7	Q9P6I1	AF-Q8LGF7-F1-model_v3	AF-Q9P6I1-F1-model_v3	1.7e-47	149.4	NA	NA	6.496E-18	698	gold
Q8LGH4	O14122	AF-Q8LGH4-F1-model_v3	AF-O14122-F1-model_v3	8.7e-130	402.1	0.00e+00	1914.54	3.410E-46	2573	platinum
Q8LGI8	O74457	AF-Q8LGI8-F1-model_v3	AF-O74457-F1-model_v3	3.6e-53	165.2	0.00e+00	464.76	2.213E-23	921	platinum
Q8LGU6	P10505	AF-Q8LGU6-F1-model_v3	AF-P10505-F1-model_v3	6.5e-72	245.4	1.19e-13	1417.86	1.810E-31	1877	platinum
Q8LPF0	P87121	AF-Q8LPF0-F1-model_v3	AF-P87121-F1-model_v3	3.6e-68	249.6	3.81e-13	1998.37	1.215E-51	2891	platinum
Q8LPJ4	O60102	AF-Q8LPJ4-F1-model_v3	AF-O60102-F1-model_v3	8.1e-287	791.6	0.00e+00	1685.79	2.831E-100	4177	platinum
Q8LPJ5	O14254	AF-Q8LPJ5-F1-model_v3	AF-O14254-F1-model_v3	9.6e-200	559.7	0.00e+00	1254.98	7.492E-63	2773	platinum
Q8LPN3	O94277	AF-Q8LPN3-F1-model_v3	AF-O94277-F1-model_v3	1.4e-62	223.4	1.22e-15	1433.57	4.123E-62	2785	platinum
Q8LPQ5	O14099	AF-Q8LPQ5-F1-model_v3	AF-O14099-F1-model_v3	6.8e-67	230.3	1.28e-06	890.51	3.761E-24	1447	platinum
Q8RUF8	Q10166	AF-Q8RUF8-F1-model_v3	AF-Q10166-F1-model_v3	2.3e-102	303.1	0.00e+00	842.98	3.668E-42	1685	platinum
Q8RUH0	O14036	AF-Q8RUH0-F1-model_v3	AF-O14036-F1-model_v3	6.8e-42	131.7	5.22e-15	273.24	1.013E-14	657	platinum
Q8RUS5	O74312	AF-Q8RUS5-F1-model_v3	AF-O74312-F1-model_v3	2.6e-71	246.9	2.70e-11	1274.98	1.155E-27	1507	platinum
Q8RWH3	Q9P6P3	AF-Q8RWH3-F1-model_v3	AF-Q9P6P3-F1-model_v3	6.1e-139	424.1	3.49e-11	1171.13	4.573E-53	2336	platinum
Q8RWS4	O60071	AF-Q8RWS4-F1-model_v3	AF-O60071-F1-model_v3	5.5e-90	278.5	5.61e-14	867.11	1.686E-24	1389	platinum
Q8RWT5	O74928	AF-Q8RWT5-F1-model_v3	AF-O74928-F1-model_v3	3.3e-63	216.5	0.00e+00	1126.60	2.467E-48	2042	platinum
Q8RWT8	Q9UTB2	AF-Q8RWT8-F1-model_v3	AF-Q9UTB2-F1-model_v3	5.8e-88	276.6	0.00e+00	1193.08	2.025E-48	2049	platinum
Q8RWV5	Q92368	AF-Q8RWV5-F1-model_v3	AF-Q92368-F1-model_v3	2.7e-113	327.4	0.00e+00	801.73	1.017E-24	1418	platinum
Q8RWV9	O94707	AF-Q8RWV9-F1-model_v3	AF-O94707-F1-model_v3	1.5e-06	48.9	6.54e-03	482.39	2.375E-09	430	platinum
Q8RWW3	O59713	AF-Q8RWW3-F1-model_v3	AF-O59713-F1-model_v3	2.0e-124	366.7	0.00e+00	1004.73	2.893E-55	2123	platinum
Q8RX88	Q10071	AF-Q8RX88-F1-model_v3	AF-Q10071-F1-model_v3	2.3e-99	302.8	0.00e+00	1175.22	1.048E-34	1746	platinum
Q8RXC4	Q9USZ0	AF-Q8RXC4-F1-model_v3	AF-Q9USZ0-F1-model_v3	2.1e-20	95.5	0.00e+00	1975.21	1.613E-53	2727	platinum
Q8RXE9	O42875	AF-Q8RXE9-F1-model_v3	AF-O42875-F1-model_v3	2.8e-64	208.0	0.00e+00	889.42	6.173E-32	1442	platinum
Q8RXK8	Q9USL3	AF-Q8RXK8-F1-model_v3	AF-Q9USL3-F1-model_v3	2.7e-213	636.3	0.00e+00	2286.81	5.367E-83	4180	platinum
Q8RXN5	O59761	AF-Q8RXN5-F1-model_v3	AF-O59761-F1-model_v3	1.3e-155	462.6	0.00e+00	1466.26	6.369E-66	2709	platinum
Q8RXN6	O42904	AF-Q8RXN6-F1-model_v3	AF-O42904-F1-model_v3	6.8e-96	297.4	3.18e-10	986.28	7.944E-31	1678	platinum
Q8RXP6	P54069	AF-Q8RXP6-F1-model_v3	AF-P54069-F1-model_v3	8.1e-58	186.0	0.00e+00	702.13	3.286E-30	1184	platinum
Q8RXS6	O14148	AF-Q8RXS6-F1-model_v3	AF-O14148-F1-model_v3	1.9e-223	694.9	3.41e-10	2431.08	NA	NA	gold
Q8RY11	Q09795	AF-Q8RY11-F1-model_v3	AF-Q09795-F1-model_v3	3.2e-181	527.3	0.00e+00	1649.25	8.287E-82	3445	platinum
Q8RY12	Q9Y7M6	AF-Q8RY12-F1-model_v3	AF-Q9Y7M6-F1-model_v3	1.4e-25	102.4	NA	NA	2.614E-09	573	gold
Q8RY16	O13764	AF-Q8RY16-F1-model_v3	AF-O13764-F1-model_v3	1.1e-109	359.0	4.44e-16	1553.50	1.529E-62	2722	platinum
Q8RY80	Q09758	AF-Q8RY80-F1-model_v3	AF-Q09758-F1-model_v3	1.1e-90	287.3	0.00e+00	1314.06	5.328E-32	1794	platinum
Q8S396	O13726	AF-Q8S396-F1-model_v3	AF-O13726-F1-model_v3	3.1e-73	240.7	0.00e+00	1233.19	2.942E-27	1650	platinum
Q8S8E7	Q9USR6	AF-Q8S8E7-F1-model_v3	AF-Q9USR6-F1-model_v3	1.4e-24	94.4	0.00e+00	426.56	2.134E-19	793	platinum
Q8VXU9	Q9UT94	AF-Q8VXU9-F1-model_v3	AF-Q9UT94-F1-model_v3	2.4e-30	111.7	0.00e+00	487.29	2.626E-21	849	platinum
Q8VXX4	O94697	AF-Q8VXX4-F1-model_v3	AF-O94697-F1-model_v3	1.2e-101	302.0	0.00e+00	958.23	1.809E-38	1774	platinum
Q8VXY4	Q9USK5	AF-Q8VXY4-F1-model_v3	AF-Q9USK5-F1-model_v3	1.5e-20	86.3	3.39e-13	516.97	2.584E-19	880	platinum
Q8VY00	Q10752	AF-Q8VY00-F1-model_v3	AF-Q10752-F1-model_v3	0.0e+00	972.2	0.00e+00	2586.09	0.000E+00	5277	platinum
Q8VY15	Q8WZK0	AF-Q8VY15-F1-model_v3	AF-Q8WZK0-F1-model_v3	3.6e-10	61.2	3.24e-02	720.48	3.284E-14	650	platinum
Q8VY62	Q9UTQ8	AF-Q8VY62-F1-model_v3	AF-Q9UTQ8-F1-model_v3	1.7e-23	95.9	2.23e-09	434.90	7.219E-17	688	platinum
Q8VYB1	Q9USH1	AF-Q8VYB1-F1-model_v3	AF-Q9USH1-F1-model_v3	2.5e-31	109.0	7.41e-08	314.57	1.485E-08	426	platinum
Q8VYE2	O13636	AF-Q8VYE2-F1-model_v3	AF-O13636-F1-model_v3	2.0e-41	149.1	3.20e-11	726.88	2.618E-23	958	platinum
Q8VYI0	O74483	AF-Q8VYI0-F1-model_v3	AF-O74483-F1-model_v3	2.2e-26	91.3	0.00e+00	263.35	8.628E-12	548	platinum
Q8VYI1	O94298	AF-Q8VYI1-F1-model_v3	AF-O94298-F1-model_v3	1.5e-72	221.9	0.00e+00	621.04	6.130E-24	1127	platinum
Q8VYP0	O42899	AF-Q8VYP0-F1-model_v3	AF-O42899-F1-model_v3	1.6e-55	179.9	4.10e-08	593.43	4.198E-25	995	platinum
Q8VYP6	Q9UU96	AF-Q8VYP6-F1-model_v3	AF-Q9UU96-F1-model_v3	7.1e-28	112.8	2.39e-14	665.42	9.403E-24	957	platinum
Q8VYS2	Q10155	AF-Q8VYS2-F1-model_v3	AF-Q10155-F1-model_v3	5.3e-49	184.5	2.15e-10	1382.77	3.639E-56	2395	platinum
Q8VYZ5	Q9C1X1	AF-Q8VYZ5-F1-model_v3	AF-Q9C1X1-F1-model_v3	5.6e-210	617.1	0.00e+00	2246.51	1.101E-97	4816	platinum
Q8VZ37	Q09905	AF-Q8VZ37-F1-model_v3	AF-Q09905-F1-model_v3	8.4e-44	140.6	NA	NA	4.212E-19	767	gold
Q8VZ75	O14274	AF-Q8VZ75-F1-model_v3	AF-O14274-F1-model_v3	3.2e-34	115.2	0.00e+00	410.10	1.001E-20	798	platinum
Q8VZH2	Q9USX1	AF-Q8VZH2-F1-model_v3	AF-Q9USX1-F1-model_v3	4.8e-174	524.6	0.00e+00	2223.63	6.733E-72	4053	platinum
Q8VZK2	O42929	AF-Q8VZK2-F1-model_v3	AF-O42929-F1-model_v3	2.7e-37	125.9	3.65e-09	379.75	3.196E-18	723	platinum
Q8VZL6	O14308	AF-Q8VZL6-F1-model_v3	AF-O14308-F1-model_v3	2.9e-38	141.7	3.19e-07	694.26	1.218E-20	876	platinum
Q8VZM1	O74985	AF-Q8VZM1-F1-model_v3	AF-O74985-F1-model_v3	5.5e-148	452.6	0.00e+00	1901.04	1.586E-38	2536	platinum
Q8VZP1	O59760	AF-Q8VZP1-F1-model_v3	AF-O59760-F1-model_v3	3.2e-40	136.3	NA	NA	NA	NA	silver
Q8VZU1	Q9US02	AF-Q8VZU1-F1-model_v3	AF-Q9US02-F1-model_v3	7.5e-10	48.5	2.75e-13	211.69	3.877E-04	210	platinum
Q8W032	P41411	AF-Q8W032-F1-model_v3	AF-P41411-F1-model_v3	8.0e-44	161.0	7.40e-10	1072.02	1.998E-32	1556	platinum
Q8W035	O74742	AF-Q8W035-F1-model_v3	AF-O74742-F1-model_v3	2.2e-70	230.7	0.00e+00	999.88	4.017E-40	1744	platinum
Q8W1X2	O14242	AF-Q8W1X2-F1-model_v3	AF-O14242-F1-model_v3	3.2e-60	192.6	0.00e+00	742.18	3.463E-33	1354	platinum
Q8W207	Q9HFR0	AF-Q8W207-F1-model_v3	AF-Q9HFR0-F1-model_v3	2.2e-128	376.3	0.00e+00	1123.31	4.076E-32	1790	platinum
Q8W3L1	O59710	AF-Q8W3L1-F1-model_v3	AF-O59710-F1-model_v3	1.2e-92	287.3	0.00e+00	1119.58	2.131E-52	2117	platinum
Q8W489	Q10445	AF-Q8W489-F1-model_v3	AF-Q10445-F1-model_v3	4.3e-27	115.2	1.28e-10	1179.03	7.282E-35	1493	platinum
Q8W497	O94631	AF-Q8W497-F1-model_v3	AF-O94631-F1-model_v3	9.7e-37	136.7	4.36e-12	604.93	1.869E-27	1096	platinum
Q8W4C1	O14443	AF-Q8W4C1-F1-model_v3	AF-O14443-F1-model_v3	7.0e-88	260.8	0.00e+00	696.80	7.747E-29	1257	platinum
Q8W4D0	O74942	AF-Q8W4D0-F1-model_v3	AF-O74942-F1-model_v3	9.4e-139	416.0	0.00e+00	1449.58	1.818E-68	2950	platinum
Q8W4F3	Q9Y7Y8	AF-Q8W4F3-F1-model_v3	AF-Q9Y7Y8-F1-model_v3	2.7e-181	538.1	0.00e+00	1902.33	5.932E-82	3575	platinum
Q8W4K1	Q9UTA5	AF-Q8W4K1-F1-model_v3	AF-Q9UTA5-F1-model_v3	1.7e-33	127.1	NA	NA	NA	NA	silver
Q8W4M7	P26659	AF-Q8W4M7-F1-model_v3	AF-P26659-F1-model_v3	4.6e-285	800.4	0.00e+00	2121.91	1.264E-89	4248	platinum
Q8W566	Q08I43	AF-Q8W566-F1-model_v3	AF-Q08I43-F1-model_v3	2.9e-14	70.1	1.86e-08	477.66	3.967E-12	527	platinum
Q8W586	O42906	AF-Q8W586-F1-model_v3	AF-O42906-F1-model_v3	8.5e-103	306.2	0.00e+00	855.34	1.120E-37	1600	platinum
Q93VF4	O14240	AF-Q93VF4-F1-model_v3	AF-O14240-F1-model_v3	2.8e-12	58.5	9.57e-07	208.87	1.639E-06	288	platinum
Q93VK1	O74340	AF-Q93VK1-F1-model_v3	AF-O74340-F1-model_v3	3.9e-82	258.1	0.00e+00	1213.13	2.814E-56	2406	platinum
Q93VQ0	Q9UT38	AF-Q93VQ0-F1-model_v3	AF-Q9UT38-F1-model_v3	5.5e-112	360.1	0.00e+00	2169.80	1.387E-55	3211	platinum
Q93VS8	O74476	AF-Q93VS8-F1-model_v3	AF-O74476-F1-model_v3	4.1e-155	488.8	0.00e+00	2817.24	1.292E-55	3769	platinum
Q93W54	P87014	AF-Q93W54-F1-model_v3	AF-P87014-F1-model_v3	5.7e-38	129.0	0.00e+00	481.18	7.274E-13	698	platinum
Q93WX6	O74542	AF-Q93WX6-F1-model_v3	AF-O74542-F1-model_v3	7.1e-23	97.8	NA	NA	NA	NA	silver
Q93XM7	Q10248	AF-Q93XM7-F1-model_v3	AF-Q10248-F1-model_v3	6.4e-47	157.5	0.00e+00	736.15	1.679E-18	1075	platinum
Q93XX8	Q9P7M5	AF-Q93XX8-F1-model_v3	AF-Q9P7M5-F1-model_v3	2.4e-23	81.3	0.00e+00	167.64	2.447E-09	360	platinum
Q93Y22	O74496	AF-Q93Y22-F1-model_v3	AF-O74496-F1-model_v3	3.1e-43	151.8	NA	NA	NA	NA	silver
Q93Y35	Q10335	AF-Q93Y35-F1-model_v3	AF-Q10335-F1-model_v3	1.7e-98	297.0	0.00e+00	1062.76	6.973E-29	1613	platinum
Q93Y37	Q9P7C3	AF-Q93Y37-F1-model_v3	AF-Q9P7C3-F1-model_v3	2.4e-118	360.1	0.00e+00	1233.79	4.228E-45	2207	platinum
Q93Y39	O74393	AF-Q93Y39-F1-model_v3	AF-O74393-F1-model_v3	4.5e-88	290.4	3.89e-12	1268.69	3.668E-45	1919	platinum
Q93YP4	O74423	AF-Q93YP4-F1-model_v3	AF-O74423-F1-model_v3	3.7e-29	122.5	NA	NA	NA	NA	silver
Q93YP7	Q10252	AF-Q93YP7-F1-model_v3	AF-Q10252-F1-model_v3	2.1e-77	241.9	0.00e+00	894.35	1.046E-23	1376	platinum
Q93YQ1	P87141	AF-Q93YQ1-F1-model_v3	AF-P87141-F1-model_v3	3.9e-270	803.1	0.00e+00	2704.24	9.651E-88	5143	platinum
Q93YS7	O14053	AF-Q93YS7-F1-model_v3	AF-O14053-F1-model_v3	5.9e-184	552.0	0.00e+00	2182.57	3.868E-89	4205	platinum
Q93Z82	O13752	AF-Q93Z82-F1-model_v3	AF-O13752-F1-model_v3	2.5e-07	48.5	4.44e-16	615.71	7.878E-09	524	platinum
Q93ZG7	Q09747	AF-Q93ZG7-F1-model_v3	AF-Q09747-F1-model_v3	8.8e-96	297.0	0.00e+00	1103.20	3.687E-46	1828	platinum
Q93ZM6	Q9P6I8	AF-Q93ZM6-F1-model_v3	AF-Q9P6I8-F1-model_v3	1.7e-26	108.2	NA	NA	NA	NA	silver
