Uniprot_arabadopsis	Uniprot_sorghum	AlphaFold_arabadopsis	AlphaFold_sorghum	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
F4K329	C5WZ60	AF-F4K329-F1-model_v3	AF-C5WZ60-F1-model_v3	3.5e-52	168.7	2.88e-08	517.09	2.881E-15	797	platinum
F4K330	C5WRQ8	AF-F4K330-F1-model_v3	AF-C5WRQ8-F1-model_v3	2.2e-80	240.0	0.00e+00	566.71	NA	NA	gold
F4K390	A0A194YQ19	AF-F4K390-F1-model_v3	AF-A0A194YQ19-F1-model_v3	4.6e-98	306.2	1.82e-09	957.43	1.508E-31	1587	platinum
F4K3A9	A0A1B6Q2M0	AF-F4K3A9-F1-model_v3	AF-A0A1B6Q2M0-F1-model_v3	1.8e-298	825.5	0.00e+00	1456.12	3.310E-79	3499	platinum
F4K3G5	A0A1W0W485	AF-F4K3G5-F1-model_v3	AF-A0A1W0W485-F1-model_v3	8.7e-216	660.2	7.25e-10	2079.39	7.817E-81	3483	platinum
F4K410	A0A194YPA2	AF-F4K410-F1-model_v3	AF-A0A194YPA2-F1-model_v3	0.0e+00	989.6	0.00e+00	1869.74	0.000E+00	4867	platinum
F4K425	A0A1B6QFY5	AF-F4K425-F1-model_v3	AF-A0A1B6QFY5-F1-model_v3	1.0e-171	497.7	0.00e+00	1352.43	3.851E-41	2285	platinum
F4K452	C5Z5K1	AF-F4K452-F1-model_v3	AF-C5Z5K1-F1-model_v3	1.3e-151	434.5	0.00e+00	1032.87	9.920E-55	2327	platinum
F4K459	A0A1B6P7U3	AF-F4K459-F1-model_v3	AF-A0A1B6P7U3-F1-model_v3	6.7e-16	66.6	1.73e-04	173.91	NA	NA	gold
F4K460	C5XF03	AF-F4K460-F1-model_v3	AF-C5XF03-F1-model_v3	4.4e-178	521.5	0.00e+00	1410.40	1.183E-64	2799	platinum
F4K4C5	A0A1B6P846	AF-F4K4C5-F1-model_v3	AF-A0A1B6P846-F1-model_v3	2.9e-192	570.1	NA	NA	NA	NA	silver
F4K4D6	A0A1Z5R220	AF-F4K4D6-F1-model_v3	AF-A0A1Z5R220-F1-model_v3	2.7e-66	243.0	1.66e-03	1330.51	2.220E-39	1642	platinum
F4K4E3	C5XFV4	AF-F4K4E3-F1-model_v3	AF-C5XFV4-F1-model_v3	2.1e-67	200.3	3.19e-11	272.47	1.832E-17	759	platinum
F4K4L7	A0A1Z5S8U8	AF-F4K4L7-F1-model_v3	AF-A0A1Z5S8U8-F1-model_v3	1.3e-114	370.9	7.92e-04	1290.76	NA	NA	gold
F4K4N0	A0A1Z5RFM5	AF-F4K4N0-F1-model_v3	AF-A0A1Z5RFM5-F1-model_v3	1.2e-54	191.8	0.00e+00	952.58	1.997E-34	1593	platinum
F4K4R6	A0A1W0W576	AF-F4K4R6-F1-model_v3	AF-A0A1W0W576-F1-model_v3	8.2e-223	656.8	0.00e+00	2171.89	5.502E-98	4921	platinum
F4K4X2	A0A1B6Q681	AF-F4K4X2-F1-model_v3	AF-A0A1B6Q681-F1-model_v3	5.6e-37	123.6	3.59e-06	250.15	1.269E-10	411	platinum
F4K5I0	C5YBC3	AF-F4K5I0-F1-model_v3	AF-C5YBC3-F1-model_v3	4.4e-274	774.2	0.00e+00	2049.79	2.618E-67	3993	platinum
F4K5K4	C5Z794	AF-F4K5K4-F1-model_v3	AF-C5Z794-F1-model_v3	1.6e-198	561.6	NA	NA	NA	NA	silver
F4K5K6	C5XI97	AF-F4K5K6-F1-model_v3	AF-C5XI97-F1-model_v3	5.5e-218	659.1	1.87e-06	1856.12	9.601E-88	3718	platinum
F4K5L5	C5YM43	AF-F4K5L5-F1-model_v3	AF-C5YM43-F1-model_v3	1.4e-181	518.8	0.00e+00	1153.11	2.929E-63	2552	platinum
F4K5P6	C5XWG6	AF-F4K5P6-F1-model_v3	AF-C5XWG6-F1-model_v3	1.4e-78	241.9	1.22e-15	668.78	7.387E-32	1208	platinum
F4K5Q4	C5YPL5	AF-F4K5Q4-F1-model_v3	AF-C5YPL5-F1-model_v3	3.0e-21	86.3	6.44e-02	167.86	NA	NA	gold
F4K5Y5	A0A1Z5S3T7	AF-F4K5Y5-F1-model_v3	AF-A0A1Z5S3T7-F1-model_v3	4.0e-163	520.0	7.71e-04	1685.36	2.103E-43	1755	platinum
F4K657	C5XX31	AF-F4K657-F1-model_v3	AF-C5XX31-F1-model_v3	1.7e-26	95.9	2.22e-16	358.82	NA	NA	gold
F4K658	C5XVF9	AF-F4K658-F1-model_v3	AF-C5XVF9-F1-model_v3	1.1e-292	806.2	0.00e+00	1587.58	1.981E-92	3939	platinum
F4K687	C5XVU3	AF-F4K687-F1-model_v3	AF-C5XVU3-F1-model_v3	1.2e-109	315.8	0.00e+00	665.73	5.993E-39	1507	platinum
F4K6W1	C5WXK7	AF-F4K6W1-F1-model_v3	AF-C5WXK7-F1-model_v3	2.3e-209	589.3	NA	NA	1.056E-74	2979	gold
F4K6X0	C5X1T9	AF-F4K6X0-F1-model_v3	AF-C5X1T9-F1-model_v3	3.5e-35	118.2	9.01e-07	267.27	6.327E-13	583	platinum
F4K6Y8	C5YQR0	AF-F4K6Y8-F1-model_v3	AF-C5YQR0-F1-model_v3	4.3e-96	289.3	NA	NA	NA	NA	silver
F4K6Z5	C5Z513	AF-F4K6Z5-F1-model_v3	AF-C5Z513-F1-model_v3	1.9e-271	753.4	0.00e+00	1634.99	9.810E-95	4147	platinum
F4K773	C5X918	AF-F4K773-F1-model_v3	AF-C5X918-F1-model_v3	1.3e-27	102.8	NA	NA	6.178E-08	292	gold
F4K790	A0A194YIC0	AF-F4K790-F1-model_v3	AF-A0A194YIC0-F1-model_v3	0.0e+00	945.3	0.00e+00	2525.96	1.637E-69	4650	platinum
F4K7J0	A0A194YI96	AF-F4K7J0-F1-model_v3	AF-A0A194YI96-F1-model_v3	1.2e-97	288.9	0.00e+00	734.23	6.530E-39	1554	platinum
F4K7T1	A0A194YNM7	AF-F4K7T1-F1-model_v3	AF-A0A194YNM7-F1-model_v3	1.7e-117	368.2	1.79e-03	1014.73	NA	NA	gold
F4K813	C5YA08	AF-F4K813-F1-model_v3	AF-C5YA08-F1-model_v3	2.3e-97	292.0	NA	NA	NA	NA	silver
F4K836	C5X8K1	AF-F4K836-F1-model_v3	AF-C5X8K1-F1-model_v3	2.0e-184	531.6	0.00e+00	1448.07	5.845E-40	2399	platinum
F4K856	A0A1B6QFB4	AF-F4K856-F1-model_v3	AF-A0A1B6QFB4-F1-model_v3	0.0e+00	1015.4	0.00e+00	2646.80	0.000E+00	5611	platinum
F4K8L2	C5Z806	AF-F4K8L2-F1-model_v3	AF-C5Z806-F1-model_v3	2.0e-191	539.3	NA	NA	4.944E-53	2361	gold
F4K8X8	C5Z4B9	AF-F4K8X8-F1-model_v3	AF-C5Z4B9-F1-model_v3	6.2e-206	592.4	1.63e-12	1386.72	NA	NA	gold
F4K933	C5XD27	AF-F4K933-F1-model_v3	AF-C5XD27-F1-model_v3	1.1e-62	213.4	3.77e-05	628.51	NA	NA	gold
F4K940	A0A1B6PAG9	AF-F4K940-F1-model_v3	AF-A0A1B6PAG9-F1-model_v3	1.4e-15	80.1	3.01e-02	592.84	3.810E-12	542	platinum
F4K956	A0A1Z5R3P4	AF-F4K956-F1-model_v3	AF-A0A1Z5R3P4-F1-model_v3	4.4e-10	61.2	7.52e-02	427.14	2.747E-06	265	platinum
F4K975	A0A194YGL3	AF-F4K975-F1-model_v3	AF-A0A194YGL3-F1-model_v3	1.6e-110	319.3	0.00e+00	682.37	1.564E-34	1409	platinum
F4K9G7	A0A1B6P8Y5	AF-F4K9G7-F1-model_v3	AF-A0A1B6P8Y5-F1-model_v3	1.9e-160	451.8	0.00e+00	898.80	1.084E-50	2048	platinum
F4K9U7	C5X1S4	AF-F4K9U7-F1-model_v3	AF-C5X1S4-F1-model_v3	9.8e-63	202.6	1.86e-06	606.88	9.523E-17	671	platinum
F4K9W2	C5YY25	AF-F4K9W2-F1-model_v3	AF-C5YY25-F1-model_v3	1.3e-96	335.1	2.34e-04	1562.88	2.191E-38	1656	platinum
F4KA67	A0A1Z5RC97	AF-F4KA67-F1-model_v3	AF-A0A1Z5RC97-F1-model_v3	2.9e-135	387.9	0.00e+00	875.80	1.925E-49	1942	platinum
F4KAB8	C5YV76	AF-F4KAB8-F1-model_v3	AF-C5YV76-F1-model_v3	0.0e+00	1159.8	0.00e+00	2136.98	0.000E+00	5307	platinum
F4KAF2	C5YDT7	AF-F4KAF2-F1-model_v3	AF-C5YDT7-F1-model_v3	4.8e-231	667.2	4.94e-10	1756.15	6.610E-80	3347	platinum
F4KAG0	A0A1Z5SA39	AF-F4KAG0-F1-model_v3	AF-A0A1Z5SA39-F1-model_v3	3.7e-77	245.4	2.17e-10	957.34	7.912E-22	695	platinum
F4KAI4	A0A1W0VY72	AF-F4KAI4-F1-model_v3	AF-A0A1W0VY72-F1-model_v3	3.5e-10	63.2	NA	NA	3.850E-08	333	gold
F4KAK0	C5Z8V5	AF-F4KAK0-F1-model_v3	AF-C5Z8V5-F1-model_v3	1.8e-49	153.3	1.11e-16	310.99	2.187E-20	760	platinum
F4KAK5	A0A1W0W1I8	AF-F4KAK5-F1-model_v3	AF-A0A1W0W1I8-F1-model_v3	9.4e-294	812.0	0.00e+00	1537.01	2.175E-84	3719	platinum
F4KAQ2	A0A1Z5RI98	AF-F4KAQ2-F1-model_v3	AF-A0A1Z5RI98-F1-model_v3	1.1e-32	115.2	1.78e-05	279.45	NA	NA	gold
F4KB54	C5XUS6	AF-F4KB54-F1-model_v3	AF-C5XUS6-F1-model_v3	2.8e-173	510.4	0.00e+00	1578.64	2.945E-61	2923	platinum
F4KBF3	A0A1B6QCA1	AF-F4KBF3-F1-model_v3	AF-A0A1B6QCA1-F1-model_v3	0.0e+00	911.4	0.00e+00	2030.04	0.000E+00	4882	platinum
F4KBJ3	C5YY52	AF-F4KBJ3-F1-model_v3	AF-C5YY52-F1-model_v3	5.8e-151	431.0	0.00e+00	914.93	7.974E-50	2083	platinum
F4KC30	A0A1W0W6J4	AF-F4KC30-F1-model_v3	AF-A0A1W0W6J4-F1-model_v3	1.4e-168	477.2	0.00e+00	933.75	1.885E-49	2446	platinum
F4KC40	A0A1B6PLU5	AF-F4KC40-F1-model_v3	AF-A0A1B6PLU5-F1-model_v3	1.8e-48	169.9	1.44e-08	722.29	1.907E-30	1369	platinum
F4KC77	C5YX46	AF-F4KC77-F1-model_v3	AF-C5YX46-F1-model_v3	3.8e-32	118.2	6.48e-11	551.37	7.548E-18	788	platinum
F4KCF2	C5XPZ4	AF-F4KCF2-F1-model_v3	AF-C5XPZ4-F1-model_v3	1.2e-154	436.4	0.00e+00	934.24	9.081E-52	2212	platinum
F4KCL7	A0A194YR74	AF-F4KCL7-F1-model_v3	AF-A0A194YR74-F1-model_v3	7.6e-205	586.3	0.00e+00	1532.52	4.714E-63	3295	platinum
F4KCR0	C5WY65	AF-F4KCR0-F1-model_v3	AF-C5WY65-F1-model_v3	0.0e+00	1221.1	0.00e+00	2998.83	0.000E+00	7077	platinum
F4KCY1	C5XZD1	AF-F4KCY1-F1-model_v3	AF-C5XZD1-F1-model_v3	5.6e-63	193.7	5.53e-08	401.73	1.557E-17	649	platinum
F4KD38	A0A194YHZ1	AF-F4KD38-F1-model_v3	AF-A0A194YHZ1-F1-model_v3	0.0e+00	1577.8	0.00e+00	3239.75	0.000E+00	8225	platinum
F4KD57	C5YXH4	AF-F4KD57-F1-model_v3	AF-C5YXH4-F1-model_v3	4.2e-91	289.7	3.45e-05	852.70	1.490E-29	1087	platinum
F4KD71	C5Z7F1	AF-F4KD71-F1-model_v3	AF-C5Z7F1-F1-model_v3	0.0e+00	1026.9	0.00e+00	2015.79	4.100E-78	4550	platinum
F4KDA5	C5Z8A9	AF-F4KDA5-F1-model_v3	AF-C5Z8A9-F1-model_v3	2.3e-307	854.0	0.00e+00	1929.30	3.275E-75	4181	platinum
F4KDA6	C5XT56	AF-F4KDA6-F1-model_v3	AF-C5XT56-F1-model_v3	2.0e-32	114.8	6.94e-07	336.91	1.384E-09	371	platinum
F4KDC4	C5X000	AF-F4KDC4-F1-model_v3	AF-C5X000-F1-model_v3	7.0e-04	40.8	3.14e-02	262.60	NA	NA	gold
F4KDF5	A0A1B6PIJ6	AF-F4KDF5-F1-model_v3	AF-A0A1B6PIJ6-F1-model_v3	3.5e-68	220.3	1.33e-13	782.01	6.112E-23	1246	platinum
F4KDH9	C6JSN7	AF-F4KDH9-F1-model_v3	AF-C6JSN7-F1-model_v3	3.3e-13	71.6	NA	NA	NA	NA	silver
F4KDI6	A0A194YPM2	AF-F4KDI6-F1-model_v3	AF-A0A194YPM2-F1-model_v3	0.0e+00	1148.3	0.00e+00	2427.73	0.000E+00	5404	platinum
F4KDK1	A0A194YHP6	AF-F4KDK1-F1-model_v3	AF-A0A194YHP6-F1-model_v3	5.7e-115	334.7	0.00e+00	830.47	4.003E-47	1879	platinum
F4KDK4	A0A1Z5RNS6	AF-F4KDK4-F1-model_v3	AF-A0A1Z5RNS6-F1-model_v3	1.9e-40	141.7	NA	NA	1.379E-10	620	gold
F4KE50	A0A1Z5SAN3	AF-F4KE50-F1-model_v3	AF-A0A1Z5SAN3-F1-model_v3	1.4e-88	291.2	7.90e-05	928.20	NA	NA	gold
F4KE59	C5Z2S1	AF-F4KE59-F1-model_v3	AF-C5Z2S1-F1-model_v3	4.6e-55	210.7	5.76e-04	1623.84	9.849E-42	1658	platinum
F4KE63	A0A1B6Q966	AF-F4KE63-F1-model_v3	AF-A0A1B6Q966-F1-model_v3	0.0e+00	1502.6	0.00e+00	2750.13	0.000E+00	6613	platinum
F4KEC6	A0A1B6P9X0	AF-F4KEC6-F1-model_v3	AF-A0A1B6P9X0-F1-model_v3	2.1e-67	236.9	3.13e-08	1244.17	NA	NA	gold
F4KEM4	C5XNK4	AF-F4KEM4-F1-model_v3	AF-C5XNK4-F1-model_v3	7.2e-147	420.6	0.00e+00	864.17	1.835E-48	2137	platinum
F4KEN0	A0A1B6PBN2	AF-F4KEN0-F1-model_v3	AF-A0A1B6PBN2-F1-model_v3	7.0e-151	434.5	0.00e+00	1055.67	1.347E-44	2077	platinum
F4KEU4	A0A1W0W4G2	AF-F4KEU4-F1-model_v3	AF-A0A1W0W4G2-F1-model_v3	1.5e-44	142.9	9.49e-11	259.44	7.847E-10	494	platinum
F4KEY9	A0A1B6P7U8	AF-F4KEY9-F1-model_v3	AF-A0A1B6P7U8-F1-model_v3	0.0e+00	989.2	0.00e+00	2621.72	1.017E-68	4545	platinum
F4KF16	C5YTA4	AF-F4KF16-F1-model_v3	AF-C5YTA4-F1-model_v3	2.9e-217	609.8	NA	NA	1.677E-67	2957	gold
F4KF65	C5XP88	AF-F4KF65-F1-model_v3	AF-C5XP88-F1-model_v3	5.8e-193	550.8	0.00e+00	1364.19	6.299E-42	2561	platinum
F4KFC7	C5YSB0	AF-F4KFC7-F1-model_v3	AF-C5YSB0-F1-model_v3	9.4e-54	180.6	1.48e-05	627.46	5.087E-21	853	platinum
F4KFG2	C5WUP8	AF-F4KFG2-F1-model_v3	AF-C5WUP8-F1-model_v3	3.5e-119	342.0	7.56e-12	605.48	1.928E-39	1494	platinum
F4KFT6	A0A1B6PDS9	AF-F4KFT6-F1-model_v3	AF-A0A1B6PDS9-F1-model_v3	1.8e-07	53.5	NA	NA	NA	NA	silver
F4KFT7	A0A1Z5RBA6	AF-F4KFT7-F1-model_v3	AF-A0A1Z5RBA6-F1-model_v3	2.4e-235	664.8	0.00e+00	1464.92	1.362E-58	3074	platinum
F4KFV7	A0A1B6PLC4	AF-F4KFV7-F1-model_v3	AF-A0A1B6PLC4-F1-model_v3	4.4e-304	849.7	0.00e+00	1795.99	2.878E-83	4009	platinum
F4KFX1	C5XKB1	AF-F4KFX1-F1-model_v3	AF-C5XKB1-F1-model_v3	1.3e-252	708.0	5.26e-13	1371.88	6.954E-77	3025	platinum
F4KG63	A0A194YT31	AF-F4KG63-F1-model_v3	AF-A0A194YT31-F1-model_v3	2.5e-184	528.5	0.00e+00	1390.79	6.140E-52	2655	platinum
F4KG91	C5Y086	AF-F4KG91-F1-model_v3	AF-C5Y086-F1-model_v3	1.1e-275	771.9	5.77e-15	1526.92	9.900E-63	3404	platinum
F4KGE8	C5WU51	AF-F4KGE8-F1-model_v3	AF-C5WU51-F1-model_v3	3.3e-106	327.4	4.02e-07	972.62	1.870E-33	1688	platinum
F4KGN4	C5YF16	AF-F4KGN4-F1-model_v3	AF-C5YF16-F1-model_v3	2.2e-50	169.9	5.40e-07	584.28	NA	NA	gold
F4KGT2	C5Y9N9	AF-F4KGT2-F1-model_v3	AF-C5Y9N9-F1-model_v3	2.0e-130	382.5	0.00e+00	949.79	1.796E-32	1771	platinum
F4KGY0	A0A1B6Q2N8	AF-F4KGY0-F1-model_v3	AF-A0A1B6Q2N8-F1-model_v3	5.3e-305	867.5	0.00e+00	2285.54	7.541E-74	4212	platinum
F4KH28	C5YAM3	AF-F4KH28-F1-model_v3	AF-C5YAM3-F1-model_v3	1.0e-172	493.0	0.00e+00	1217.98	2.477E-67	2751	platinum
F4KH31	C5X116	AF-F4KH31-F1-model_v3	AF-C5X116-F1-model_v3	1.4e-157	473.8	NA	NA	NA	NA	silver
F4KH86	C5YC40	AF-F4KH86-F1-model_v3	AF-C5YC40-F1-model_v3	1.4e-108	325.5	2.38e-09	734.15	6.055E-44	1737	platinum
F4KHA1	C6JRH9	AF-F4KHA1-F1-model_v3	AF-C6JRH9-F1-model_v3	1.3e-10	60.8	2.83e-01	187.75	NA	NA	gold
F4KHA2	C5YLL9	AF-F4KHA2-F1-model_v3	AF-C5YLL9-F1-model_v3	1.2e-40	161.8	NA	NA	NA	NA	silver
F4KHG6	A0A1W0VYR8	AF-F4KHG6-F1-model_v3	AF-A0A1W0VYR8-F1-model_v3	3.0e-182	515.4	0.00e+00	1087.11	3.558E-61	2539	platinum
F4KHG8	A0A1B6PHM9	AF-F4KHG8-F1-model_v3	AF-A0A1B6PHM9-F1-model_v3	1.1e-147	470.7	1.50e-07	1903.76	1.217E-43	2637	platinum
F4KHI7	A0A1B6QR84	AF-F4KHI7-F1-model_v3	AF-A0A1B6QR84-F1-model_v3	1.3e-82	257.7	6.61e-14	841.44	1.181E-33	1363	platinum
F4KHM4	A0A1B6QE50	AF-F4KHM4-F1-model_v3	AF-A0A1B6QE50-F1-model_v3	3.2e-190	551.2	6.51e-09	1266.00	5.646E-70	3015	platinum
F4KHP4	A0A1B6Q0S8	AF-F4KHP4-F1-model_v3	AF-A0A1B6Q0S8-F1-model_v3	4.0e-84	291.6	8.46e-10	1474.39	NA	NA	gold
F4KI39	C5Z0B3	AF-F4KI39-F1-model_v3	AF-C5Z0B3-F1-model_v3	9.1e-24	88.6	3.63e-04	207.96	8.761E-07	266	platinum
F4KII1	A0A194YNL0	AF-F4KII1-F1-model_v3	AF-A0A194YNL0-F1-model_v3	3.7e-204	577.8	0.00e+00	1371.67	4.921E-67	2895	platinum
F4KIJ2	A0A194YLA9	AF-F4KIJ2-F1-model_v3	AF-A0A194YLA9-F1-model_v3	0.0e+00	1191.4	0.00e+00	2409.69	0.000E+00	5549	platinum
F4KIL1	A0A1B6QB01	AF-F4KIL1-F1-model_v3	AF-A0A1B6QB01-F1-model_v3	1.2e-305	852.8	0.00e+00	1809.19	1.147E-69	3760	platinum
F4KJ55	A0A1B6P657	AF-F4KJ55-F1-model_v3	AF-A0A1B6P657-F1-model_v3	4.7e-98	290.0	3.51e-12	657.39	1.079E-33	1439	platinum
I3XHK1	A0A1B6PQF5	AF-I3XHK1-F1-model_v3	AF-A0A1B6PQF5-F1-model_v3	5.5e-238	719.5	4.05e-06	2219.53	1.515E-84	3578	platinum
O03982	A0A1Z5S8K6	AF-O03982-F1-model_v3	AF-A0A1Z5S8K6-F1-model_v3	9.3e-29	105.1	1.06e-06	372.91	9.315E-14	554	platinum
O04005	C5X3B9	AF-O04005-F1-model_v3	AF-C5X3B9-F1-model_v3	2.7e-112	320.5	0.00e+00	616.82	5.963E-38	1486	platinum
O04034	C5YRN4	AF-O04034-F1-model_v3	AF-C5YRN4-F1-model_v3	7.2e-176	505.8	0.00e+00	1299.29	3.517E-42	2275	platinum
O04083	C5XBM4	AF-O04083-F1-model_v3	AF-C5XBM4-F1-model_v3	4.1e-141	402.5	0.00e+00	866.97	3.281E-53	2056	platinum
O04147	C5Z196	AF-O04147-F1-model_v3	AF-C5Z196-F1-model_v3	9.7e-57	178.3	0.00e+00	502.48	2.813E-22	901	platinum
O04173	C5XD11	AF-O04173-F1-model_v3	AF-C5XD11-F1-model_v3	8.1e-68	201.8	4.37e-10	305.97	1.044E-16	649	platinum
O04193	C5WQ45	AF-O04193-F1-model_v3	AF-C5WQ45-F1-model_v3	5.9e-104	297.7	NA	NA	2.009E-30	1121	gold
O04196	A0A1B6PJ17	AF-O04196-F1-model_v3	AF-A0A1B6PJ17-F1-model_v3	0.0e+00	1131.3	0.00e+00	2160.31	0.000E+00	5533	platinum
O04197	C5YYV2	AF-O04197-F1-model_v3	AF-C5YYV2-F1-model_v3	3.2e-242	680.2	0.00e+00	1591.26	1.525E-77	3475	platinum
O04198	C5X6I8	AF-O04198-F1-model_v3	AF-C5X6I8-F1-model_v3	2.6e-94	303.9	7.58e-05	1010.87	5.660E-35	1496	platinum
O04200	C5WQ52	AF-O04200-F1-model_v3	AF-C5WQ52-F1-model_v3	9.2e-153	432.6	0.00e+00	892.88	1.977E-31	1756	platinum
O04202	A0A1B6P9J7	AF-O04202-F1-model_v3	AF-A0A1B6P9J7-F1-model_v3	8.0e-147	413.7	0.00e+00	812.54	4.909E-44	1674	platinum
O04212	A0A1B6QIQ3	AF-O04212-F1-model_v3	AF-A0A1B6QIQ3-F1-model_v3	4.4e-252	700.3	0.00e+00	1486.65	2.242E-64	3137	platinum
O04249	C5XCT7	AF-O04249-F1-model_v3	AF-C5XCT7-F1-model_v3	1.5e-290	796.2	0.00e+00	1458.48	2.462E-58	3297	platinum
O04265	A0A1B6QC94	AF-O04265-F1-model_v3	AF-A0A1B6QC94-F1-model_v3	2.0e-194	538.5	0.00e+00	885.58	3.438E-53	2273	platinum
O04350	C5XVW0	AF-O04350-F1-model_v3	AF-C5XVW0-F1-model_v3	2.7e-45	142.5	0.00e+00	309.72	3.811E-12	552	platinum
O04379	A0A1Z5RF01	AF-O04379-F1-model_v3	AF-A0A1Z5RF01-F1-model_v3	0.0e+00	1478.0	0.00e+00	2825.29	0.000E+00	7164	platinum
O04420	A0A1B6Q755	AF-O04420-F1-model_v3	AF-A0A1B6Q755-F1-model_v3	6.5e-143	405.2	0.00e+00	841.99	1.650E-44	1946	platinum
O04421	A0A1Z5RF49	AF-O04421-F1-model_v3	AF-A0A1Z5RF49-F1-model_v3	6.4e-45	144.8	1.00e-10	315.65	6.766E-15	591	platinum
O04450	C5X7Z0	AF-O04450-F1-model_v3	AF-C5X7Z0-F1-model_v3	0.0e+00	950.7	0.00e+00	1569.75	2.570E-87	4222	platinum
O04482	A0A194YT80	AF-O04482-F1-model_v3	AF-A0A194YT80-F1-model_v3	2.1e-173	484.2	0.00e+00	922.46	1.201E-46	2024	platinum
O04486	C5YY06	AF-O04486-F1-model_v3	AF-C5YY06-F1-model_v3	3.1e-118	335.5	NA	NA	NA	NA	silver
O04492	A0A1B6PAS0	AF-O04492-F1-model_v3	AF-A0A1B6PAS0-F1-model_v3	2.4e-66	218.0	NA	NA	6.795E-21	962	gold
O04504	A0A1B6Q1A1	AF-O04504-F1-model_v3	AF-A0A1B6Q1A1-F1-model_v3	4.9e-11	64.7	NA	NA	NA	NA	silver
O04547	C5XCJ6	AF-O04547-F1-model_v3	AF-C5XCJ6-F1-model_v3	1.7e-04	38.1	4.26e-02	105.00	NA	NA	gold
O04589	A0A1B6QI30	AF-O04589-F1-model_v3	AF-A0A1B6QI30-F1-model_v3	1.7e-93	276.9	3.53e-09	587.11	5.034E-24	1238	platinum
O04590	A0A194YI52	AF-O04590-F1-model_v3	AF-A0A194YI52-F1-model_v3	9.7e-66	232.6	NA	NA	3.139E-46	2920	gold
O04603	A0A1B6QQU9	AF-O04603-F1-model_v3	AF-A0A1B6QQU9-F1-model_v3	2.8e-95	281.6	8.88e-16	658.65	1.075E-35	1391	platinum
O04616	A0A1Z5RPI7	AF-O04616-F1-model_v3	AF-A0A1Z5RPI7-F1-model_v3	1.1e-56	175.3	6.20e-09	373.25	5.791E-14	506	platinum
O04619	C5YWK0	AF-O04619-F1-model_v3	AF-C5YWK0-F1-model_v3	3.5e-205	566.6	0.00e+00	939.87	4.510E-37	2093	platinum
O04630	C5WQD6	AF-O04630-F1-model_v3	AF-C5WQD6-F1-model_v3	0.0e+00	989.6	0.00e+00	2050.35	0.000E+00	4978	platinum
O04646	A0A1W0VV16	AF-O04646-F1-model_v3	AF-A0A1W0VV16-F1-model_v3	3.7e-59	185.3	2.44e-06	381.76	1.024E-17	688	platinum
O04647	A0A1W0VR10	AF-O04647-F1-model_v3	AF-A0A1W0VR10-F1-model_v3	2.0e-67	240.4	NA	NA	6.037E-39	2603	gold
O04663	C5WZC3	AF-O04663-F1-model_v3	AF-C5WZC3-F1-model_v3	3.3e-87	255.8	1.11e-16	485.41	2.709E-28	1182	platinum
O04712	C5WMI2	AF-O04712-F1-model_v3	AF-C5WMI2-F1-model_v3	2.2e-19	82.4	NA	NA	2.073E-12	486	gold
O04714	C5Z611	AF-O04714-F1-model_v3	AF-C5Z611-F1-model_v3	3.2e-151	427.6	0.00e+00	828.01	1.482E-29	1671	platinum
O04904	A0A1B6Q615	AF-O04904-F1-model_v3	AF-A0A1B6Q615-F1-model_v3	5.7e-204	569.3	0.00e+00	1061.32	5.631E-67	2594	platinum
O04905	C5YJM9	AF-O04905-F1-model_v3	AF-C5YJM9-F1-model_v3	7.1e-109	310.8	0.00e+00	556.78	1.083E-29	1210	platinum
O04922	C6JRI9	AF-O04922-F1-model_v3	AF-C6JRI9-F1-model_v3	1.0e-93	270.8	NA	NA	3.185E-33	1238	gold
O05000	Q09EM3	AF-O05000-F1-model_v3	AF-Q09EM3-F1-model_v3	1.5e-300	819.7	0.00e+00	1435.35	7.524E-59	3340	platinum
O22056	A0A1Z5RIF0	AF-O22056-F1-model_v3	AF-A0A1Z5RIF0-F1-model_v3	9.9e-119	362.1	6.96e-11	1132.92	2.203E-35	1910	platinum
O22145	A0A1W0VXB0	AF-O22145-F1-model_v3	AF-A0A1W0VXB0-F1-model_v3	1.8e-214	600.1	0.00e+00	1240.31	1.951E-66	2845	platinum
O22146	C5YQ22	AF-O22146-F1-model_v3	AF-C5YQ22-F1-model_v3	2.3e-196	550.1	0.00e+00	1056.90	2.246E-47	2195	platinum
O22151	C5XT73	AF-O22151-F1-model_v3	AF-C5XT73-F1-model_v3	5.2e-115	330.1	0.00e+00	641.44	4.924E-22	986	platinum
O22160	C5XQ28	AF-O22160-F1-model_v3	AF-C5XQ28-F1-model_v3	2.5e-37	129.4	3.59e-13	459.87	3.012E-25	1111	platinum
O22164	C5WRE2	AF-O22164-F1-model_v3	AF-C5WRE2-F1-model_v3	5.41e-01	100.28	5.41e-01	100.28	NA	NA	gold
O22165	C5YVJ6	AF-O22165-F1-model_v3	AF-C5YVJ6-F1-model_v3	9.5e-74	218.4	0.00e+00	427.42	2.518E-21	786	platinum
O22174	C5Z4W7	AF-O22174-F1-model_v3	AF-C5Z4W7-F1-model_v3	6.3e-45	147.1	NA	NA	1.884E-15	642	gold
O22190	C5XKW5	AF-O22190-F1-model_v3	AF-C5XKW5-F1-model_v3	9.1e-311	854.7	NA	NA	NA	NA	silver
