Uniprot_arabadopsis	Uniprot_soybean	AlphaFold_arabadopsis	AlphaFold_soybean	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
P19171	I1MMY2	AF-P19171-F1-model_v3	AF-I1MMY2-F1-model_v3	6.6e-166	465.3	0.00e+00	805.78	2.358E-45	1966	platinum
P19366	Q2PMV0	AF-P19366-F1-model_v3	AF-Q2PMV0-F1-model_v3	0.0e+00	916.8	0.00e+00	1442.17	3.414E-96	4087	platinum
P19456	I1MGZ2	AF-P19456-F1-model_v3	AF-I1MGZ2-F1-model_v3	0.0e+00	1641.7	NA	NA	NA	NA	silver
P21238	I1LR60	AF-P21238-F1-model_v3	AF-I1LR60-F1-model_v3	0.0e+00	926.4	NA	NA	1.050E-89	4242	gold
P22738	K7LWP1	AF-P22738-F1-model_v3	AF-K7LWP1-F1-model_v3	4.2e-253	693.0	NA	NA	NA	NA	silver
P24102	A0A0R0I2M6	AF-P24102-F1-model_v3	AF-A0A0R0I2M6-F1-model_v3	4.5e-136	391.7	NA	NA	NA	NA	silver
P25697	I1J4L6	AF-P25697-F1-model_v3	AF-I1J4L6-F1-model_v3	1.1e-243	668.3	0.00e+00	1083.56	1.951E-72	2942	platinum
P25819	P29756	AF-P25819-F1-model_v3	AF-P29756-F1-model_v3	0.0e+00	933.7	0.00e+00	1462.56	2.694E-87	3951	platinum
P25851	I1N2R6	AF-P25851-F1-model_v3	AF-I1N2R6-F1-model_v3	4.9e-235	647.5	0.00e+00	1117.79	1.173E-72	2980	platinum
P25860	K7L1G3	AF-P25860-F1-model_v3	AF-K7L1G3-F1-model_v3	5.2e-28	96.7	4.47e-05	156.14	1.901E-10	331	platinum
P25873	C6SYC0	AF-P25873-F1-model_v3	AF-C6SYC0-F1-model_v3	5.4e-112	323.9	0.00e+00	643.58	4.017E-37	1333	platinum
P26288	Q2PMN2	AF-P26288-F1-model_v3	AF-Q2PMN2-F1-model_v3	7.7e-296	808.5	0.00e+00	1472.75	7.779E-63	3442	platinum
P26289	Q2PMN4	AF-P26289-F1-model_v3	AF-Q2PMN4-F1-model_v3	2.6e-51	157.1	0.00e+00	287.83	3.638E-13	575	platinum
P28185	Q8LJR5	AF-P28185-F1-model_v3	AF-Q8LJR5-F1-model_v3	1.1e-128	362.1	NA	NA	NA	NA	silver
P29197	I1LAL4	AF-P29197-F1-model_v3	AF-I1LAL4-F1-model_v3	0.0e+00	958.4	NA	NA	2.794E-91	4347	gold
P29388	M1FIP8	AF-P29388-F1-model_v3	AF-M1FIP8-F1-model_v3	0.0e+00	1201.4	0.00e+00	1985.16	2.251E-83	4832	platinum
P29448	I1J8Q1	AF-P29448-F1-model_v3	AF-I1J8Q1-F1-model_v3	1.5e-64	191.8	NA	NA	3.971E-21	796	gold
P30182	I1MJQ7	AF-P30182-F1-model_v3	AF-I1MJQ7-F1-model_v3	0.0e+00	1655.6	0.00e+00	3557.74	0.000E+00	8308	platinum
P33487	K7K8F7	AF-P33487-F1-model_v3	AF-K7K8F7-F1-model_v3	4.7e-101	290.4	0.00e+00	502.00	5.046E-29	1294	platinum
P33543	I1N2D4	AF-P33543-F1-model_v3	AF-I1N2D4-F1-model_v3	1.9e-306	850.9	0.00e+00	1749.90	4.194E-100	4311	platinum
P35402	I1K426	AF-P35402-F1-model_v3	AF-I1K426-F1-model_v3	4.2e-130	365.5	0.00e+00	623.32	4.867E-27	1406	platinum
P36428	A0A368UK73	AF-P36428-F1-model_v3	AF-A0A368UK73-F1-model_v3	0.0e+00	1496.1	0.00e+00	2807.74	0.000E+00	7005	platinum
P37107	I1JQ35	AF-P37107-F1-model_v3	AF-I1JQ35-F1-model_v3	3.6e-304	835.1	1.63e-14	1475.15	1.199E-71	3516	platinum
P37271	K7KAF9	AF-P37271-F1-model_v3	AF-K7KAF9-F1-model_v3	7.9e-209	582.4	0.00e+00	1033.73	4.450E-42	2315	platinum
P38025	I1MAX9	AF-P38025-F1-model_v3	AF-I1MAX9-F1-model_v3	1.4e-195	547.4	0.00e+00	1089.96	2.728E-60	2546	platinum
P38418	K7LPI4	AF-P38418-F1-model_v3	AF-K7LPI4-F1-model_v3	0.0e+00	1020.0	0.00e+00	2393.55	0.000E+00	5494	platinum
P38421	P46279	AF-P38421-F1-model_v3	AF-P46279-F1-model_v3	1.0e-120	338.6	0.00e+00	503.88	3.431E-32	1481	platinum
P40940	I1LVU0	AF-P40940-F1-model_v3	AF-I1LVU0-F1-model_v3	3.6e-117	329.7	NA	NA	1.804E-35	1336	gold
P40941	I1MJN2	AF-P40941-F1-model_v3	AF-I1MJN2-F1-model_v3	6.8e-224	617.1	NA	NA	NA	NA	silver
P41127	I1JVU2	AF-P41127-F1-model_v3	AF-I1JVU2-F1-model_v3	2.5e-127	357.8	0.00e+00	599.82	1.102E-37	1373	platinum
P41376	A0A0R0K474	AF-P41376-F1-model_v3	AF-A0A0R0K474-F1-model_v3	3.2e-281	764.2	NA	NA	NA	NA	silver
P42339	I1JV67	AF-P42339-F1-model_v3	AF-I1JV67-F1-model_v3	0.0e+00	1377.1	0.00e+00	2327.94	0.000E+00	5938	platinum
P42498	I1L257	AF-P42498-F1-model_v3	AF-I1L257-F1-model_v3	0.0e+00	1392.9	NA	NA	0.000E+00	6721	gold
P42699	I1JSY7	AF-P42699-F1-model_v3	AF-I1JSY7-F1-model_v3	5.9e-74	219.5	7.23e-13	456.76	1.207E-23	977	platinum
P42730	A0A0R0K0U9	AF-P42730-F1-model_v3	AF-A0A0R0K0U9-F1-model_v3	0.0e+00	1525.4	0.00e+00	2581.36	0.000E+00	6372	platinum
P42734	C6T942	AF-P42734-F1-model_v3	AF-C6T942-F1-model_v3	1.2e-208	576.2	0.00e+00	1054.08	1.025E-73	2853	platinum
P42735	A0A0R0FP00	AF-P42735-F1-model_v3	AF-A0A0R0FP00-F1-model_v3	1.4e-31	111.7	2.03e-02	167.68	4.249E-08	349	platinum
P42737	A0A0R0KQU5	AF-P42737-F1-model_v3	AF-A0A0R0KQU5-F1-model_v3	6.2e-130	372.5	NA	NA	NA	NA	silver
P42763	C6TAX7	AF-P42763-F1-model_v3	AF-C6TAX7-F1-model_v3	3.8e-11	60.1	2.25e-03	248.37	1.198E-08	355	platinum
P42792	H8Y6Q3	AF-P42792-F1-model_v3	AF-H8Y6Q3-F1-model_v3	5.9e-280	759.2	0.00e+00	1151.00	4.344E-52	2901	platinum
P42797	M1FPG3	AF-P42797-F1-model_v3	AF-M1FPG3-F1-model_v3	3.5e-36	124.8	NA	NA	2.017E-13	555	gold
P42813	A0A0R0LE13	AF-P42813-F1-model_v3	AF-A0A0R0LE13-F1-model_v3	1.1e-123	350.9	0.00e+00	665.22	1.563E-40	1617	platinum
P42814	A0A0R0J0J8	AF-P42814-F1-model_v3	AF-A0A0R0J0J8-F1-model_v3	9.5e-121	345.9	0.00e+00	662.09	1.328E-39	1596	platinum
P43082	I1NCA0	AF-P43082-F1-model_v3	AF-I1NCA0-F1-model_v3	1.2e-104	300.8	0.00e+00	538.53	1.459E-35	1374	platinum
P43293	C6ZRR1	AF-P43293-F1-model_v3	AF-C6ZRR1-F1-model_v3	3.6e-190	532.7	NA	NA	NA	NA	silver
P43297	I1MXL3	AF-P43297-F1-model_v3	AF-I1MXL3-F1-model_v3	2.3e-209	587.0	0.00e+00	1197.34	5.412E-73	3040	platinum
P43299	I1JQR6	AF-P43299-F1-model_v3	AF-I1JQR6-F1-model_v3	0.0e+00	1217.6	0.00e+00	2116.07	0.000E+00	5529	platinum
P43333	A0A0R0HSC1	AF-P43333-F1-model_v3	AF-A0A0R0HSC1-F1-model_v3	2.1e-123	352.8	0.00e+00	618.74	1.910E-39	1587	platinum
P45951	K7K9G6	AF-P45951-F1-model_v3	AF-K7K9G6-F1-model_v3	1.5e-194	555.1	1.09e-13	1237.76	3.304E-67	2666	platinum
P46014	B4Y5J6	AF-P46014-F1-model_v3	AF-B4Y5J6-F1-model_v3	2.1e-219	621.3	2.55e-15	1385.38	2.008E-71	3004	platinum
P46032	I1K3A6	AF-P46032-F1-model_v3	AF-I1K3A6-F1-model_v3	0.0e+00	912.1	0.00e+00	1725.54	1.237E-71	3918	platinum
P46086	I1JRE0	AF-P46086-F1-model_v3	AF-I1JRE0-F1-model_v3	5.5e-174	490.3	0.00e+00	1027.42	8.657E-54	2427	platinum
P46309	I1K6J1	AF-P46309-F1-model_v3	AF-I1K6J1-F1-model_v3	1.5e-307	839.3	0.00e+00	1455.14	1.573E-84	3760	platinum
P46312	I1JGN9	AF-P46312-F1-model_v3	AF-I1JGN9-F1-model_v3	6.2e-256	703.0	0.00e+00	1196.70	7.901E-53	2875	platinum
P46643	A0A0R0JTF7	AF-P46643-F1-model_v3	AF-A0A0R0JTF7-F1-model_v3	1.3e-256	703.4	0.00e+00	1247.85	6.126E-72	3245	platinum
P46644	O48548	AF-P46644-F1-model_v3	AF-O48548-F1-model_v3	3.1e-260	714.5	0.00e+00	1245.79	6.104E-71	3210	platinum
P46689	A0A0R0FV47	AF-P46689-F1-model_v3	AF-A0A0R0FV47-F1-model_v3	2.1e-42	134.4	4.33e-15	265.52	1.478E-12	507	platinum
P46897	I1KHS0	AF-P46897-F1-model_v3	AF-I1KHS0-F1-model_v3	4.6e-44	149.4	7.16e-07	448.45	NA	NA	gold
P47925	C6SWN3	AF-P47925-F1-model_v3	AF-C6SWN3-F1-model_v3	5.1e-13	62.0	1.61e-02	128.04	NA	NA	gold
P47999	A0A0R4J2P9	AF-P47999-F1-model_v3	AF-A0A0R4J2P9-F1-model_v3	7.7e-203	564.3	0.00e+00	1043.12	4.803E-65	2510	platinum
P48422	I1MB99	AF-P48422-F1-model_v3	AF-I1MB99-F1-model_v3	9.6e-285	782.7	0.00e+00	1502.14	3.945E-67	3495	platinum
P48491	A0A0R0G6T3	AF-P48491-F1-model_v3	AF-A0A0R0G6T3-F1-model_v3	3.0e-149	417.2	0.00e+00	743.69	1.852E-50	1961	platinum
P48578	I1NAY9	AF-P48578-F1-model_v3	AF-I1NAY9-F1-model_v3	9.9e-237	643.3	NA	NA	NA	NA	silver
P48641	I1MNX4	AF-P48641-F1-model_v3	AF-I1MNX4-F1-model_v3	1.2e-297	813.1	0.00e+00	1418.50	2.025E-92	3759	platinum
P48731	K7KI69	AF-P48731-F1-model_v3	AF-K7KI69-F1-model_v3	7.9e-94	295.8	NA	NA	NA	NA	silver
P48732	K7K5E8	AF-P48732-F1-model_v3	AF-K7K5E8-F1-model_v3	6.2e-276	761.5	0.00e+00	1468.95	6.864E-84	3766	platinum
P48785	K7LC20	AF-P48785-F1-model_v3	AF-K7LC20-F1-model_v3	2.8e-158	478.0	3.62e-06	1155.47	NA	NA	gold
P49107	C6SXP5	AF-P49107-F1-model_v3	AF-C6SXP5-F1-model_v3	3.4e-79	233.0	1.12e-11	416.79	4.116E-18	713	platinum
P49209	I1JYG3	AF-P49209-F1-model_v3	AF-I1JYG3-F1-model_v3	5.1e-118	333.2	NA	NA	1.741E-35	1537	gold
P49243	Q9M4R7	AF-P49243-F1-model_v3	AF-Q9M4R7-F1-model_v3	9.6e-217	600.1	0.00e+00	1029.35	6.996E-71	2741	platinum
P49333	I1LVH5	AF-P49333-F1-model_v3	AF-I1LVH5-F1-model_v3	0.0e+00	1153.3	0.00e+00	2006.32	6.353E-101	4840	platinum
P49598	A0A0R0HTU9	AF-P49598-F1-model_v3	AF-A0A0R0HTU9-F1-model_v3	4.0e-156	446.4	NA	NA	8.943E-52	2217	gold
P49689	C6TEP1	AF-P49689-F1-model_v3	AF-C6TEP1-F1-model_v3	1.0e-37	119.8	1.55e-11	167.55	2.601E-08	303	platinum
P49690	C6T0H9	AF-P49690-F1-model_v3	AF-C6T0H9-F1-model_v3	4.2e-98	278.5	0.00e+00	393.12	1.231E-27	1216	platinum
P49693	C6SXR2	AF-P49693-F1-model_v3	AF-C6SXR2-F1-model_v3	3.0e-116	330.1	NA	NA	NA	NA	silver
P49967	I1KGZ5	AF-P49967-F1-model_v3	AF-I1KGZ5-F1-model_v3	0.0e+00	877.5	0.00e+00	1443.39	3.889E-69	3594	platinum
P50287	C6TER3	AF-P50287-F1-model_v3	AF-C6TER3-F1-model_v3	1.3e-173	484.2	0.00e+00	872.58	5.597E-60	2304	platinum
P50546	Q8HVY5	AF-P50546-F1-model_v3	AF-Q8HVY5-F1-model_v3	0.0e+00	1932.5	0.00e+00	3136.82	0.000E+00	8738	platinum
P50700	A0A0R0LK39	AF-P50700-F1-model_v3	AF-A0A0R0LK39-F1-model_v3	2.8e-125	355.9	0.00e+00	651.48	1.413E-38	1648	platinum
P51418	C6SZ28	AF-P51418-F1-model_v3	AF-C6SZ28-F1-model_v3	3.4e-120	337.4	0.00e+00	527.69	6.225E-31	1307	platinum
P51430	B2BF98	AF-P51430-F1-model_v3	AF-B2BF98-F1-model_v3	9.5e-157	435.6	NA	NA	NA	NA	silver
P51566	I1JPE8	AF-P51566-F1-model_v3	AF-I1JPE8-F1-model_v3	4.1e-269	737.3	0.00e+00	1144.98	8.021E-69	3047	platinum
P51568	I1K978	AF-P51568-F1-model_v3	AF-I1K978-F1-model_v3	3.6e-217	601.3	0.00e+00	1030.59	2.180E-58	2565	platinum
P52420	K7LJM6	AF-P52420-F1-model_v3	AF-K7LJM6-F1-model_v3	4.4e-259	718.0	0.00e+00	1443.64	NA	NA	gold
P52901	I1JBV5	AF-P52901-F1-model_v3	AF-I1JBV5-F1-model_v3	8.6e-246	672.9	NA	NA	2.780E-67	2926	gold
P54144	A0A0R0HSU1	AF-P54144-F1-model_v3	AF-A0A0R0HSU1-F1-model_v3	3.4e-279	766.5	NA	NA	8.836E-63	3355	gold
P54967	I1LIK7	AF-P54967-F1-model_v3	AF-I1LIK7-F1-model_v3	3.8e-227	624.4	0.00e+00	1043.72	2.092E-63	2779	platinum
P55228	I1JJP2	AF-P55228-F1-model_v3	AF-I1JJP2-F1-model_v3	0.0e+00	886.7	0.00e+00	1462.29	7.215E-91	4004	platinum
P55826	A0A0R4J461	AF-P55826-F1-model_v3	AF-A0A0R4J461-F1-model_v3	3.0e-302	828.2	0.00e+00	1475.59	4.179E-93	3869	platinum
P56751	Q2PMU8	AF-P56751-F1-model_v3	AF-Q2PMU8-F1-model_v3	2.4e-74	216.9	0.00e+00	335.53	3.142E-17	632	platinum
P56752	Q2PMM9	AF-P56752-F1-model_v3	AF-Q2PMM9-F1-model_v3	0.0e+00	1052.0	0.00e+00	2037.37	3.502E-76	4487	platinum
P56753	Q2PMN8	AF-P56753-F1-model_v3	AF-Q2PMN8-F1-model_v3	5.8e-274	744.2	0.00e+00	1099.31	6.273E-59	2959	platinum
P56754	P31174	AF-P56754-F1-model_v3	AF-P31174-F1-model_v3	3.5e-110	310.5	0.00e+00	455.74	3.060E-33	1248	platinum
P56755	Q2PMN6	AF-P56755-F1-model_v3	AF-Q2PMN6-F1-model_v3	1.9e-94	271.6	0.00e+00	479.42	3.186E-31	1159	platinum
P56756	P31175	AF-P56756-F1-model_v3	AF-P31175-F1-model_v3	4.5e-136	380.9	0.00e+00	610.06	1.099E-41	1501	platinum
P56758	Q2PMT1	AF-P56758-F1-model_v3	AF-Q2PMT1-F1-model_v3	2.1e-160	444.9	0.00e+00	669.14	4.854E-29	1346	platinum
P56759	Q2PMS9	AF-P56759-F1-model_v3	AF-Q2PMS9-F1-model_v3	1.0e-106	303.9	5.86e-11	485.68	1.540E-20	645	platinum
P56760	P69195	AF-P56760-F1-model_v3	AF-P69195-F1-model_v3	4.6e-45	139.8	0.00e+00	239.95	1.835E-10	477	platinum
P56761	Q2PMT8	AF-P56761-F1-model_v3	AF-Q2PMT8-F1-model_v3	5.3e-268	725.7	0.00e+00	1053.67	3.316E-54	2796	platinum
P56762	Q2PMQ3	AF-P56762-F1-model_v3	AF-Q2PMQ3-F1-model_v3	5.5e-195	539.3	0.00e+00	883.48	2.402E-57	2369	platinum
P56763	Q8HVY4	AF-P56763-F1-model_v3	AF-Q8HVY4-F1-model_v3	0.0e+00	1251.1	0.00e+00	1882.86	0.000E+00	5039	platinum
P56764	Q8HVY3	AF-P56764-F1-model_v3	AF-Q8HVY3-F1-model_v3	0.0e+00	1989.5	0.00e+00	2997.18	0.000E+00	7856	platinum
P56765	P49158	AF-P56765-F1-model_v3	AF-P49158-F1-model_v3	1.1e-171	490.7	2.41e-11	970.32	NA	NA	gold
P56766	Q2PMU3	AF-P56766-F1-model_v3	AF-Q2PMU3-F1-model_v3	0.0e+00	1518.1	0.00e+00	2222.53	0.000E+00	5975	platinum
P56767	Q2PMU2	AF-P56767-F1-model_v3	AF-Q2PMU2-F1-model_v3	0.0e+00	1500.3	0.00e+00	2183.55	2.974E-100	5748	platinum
P56769	Q2PMR4	AF-P56769-F1-model_v3	AF-Q2PMR4-F1-model_v3	5.0e-24	84.0	3.60e-14	119.95	2.879E-06	218	platinum
P56770	Q2PMN1	AF-P56770-F1-model_v3	AF-Q2PMN1-F1-model_v3	4.2e-148	420.2	0.00e+00	897.92	8.001E-31	1685	platinum
P56771	P49161	AF-P56771-F1-model_v3	AF-P49161-F1-model_v3	2.9e-203	559.3	0.00e+00	913.59	3.980E-59	2503	platinum
P56772	Q2PMR0	AF-P56772-F1-model_v3	AF-Q2PMR0-F1-model_v3	9.1e-127	355.5	0.00e+00	573.78	1.169E-37	1428	platinum
P56773	Q2PMQ5	AF-P56773-F1-model_v3	AF-Q2PMQ5-F1-model_v3	2.4e-154	426.8	0.00e+00	623.96	9.701E-30	1550	platinum
P56774	Q2PMQ4	AF-P56774-F1-model_v3	AF-Q2PMQ4-F1-model_v3	9.0e-114	319.7	0.00e+00	455.97	2.571E-25	1039	platinum
P56775	Q2PMR5	AF-P56775-F1-model_v3	AF-Q2PMR5-F1-model_v3	5.0e-19	70.9	1.59e-08	95.81	NA	NA	gold
P56776	Q2PMR6	AF-P56776-F1-model_v3	AF-Q2PMR6-F1-model_v3	2.1e-09	46.2	3.23e-08	71.99	NA	NA	gold
P56777	Q2PMQ9	AF-P56777-F1-model_v3	AF-Q2PMQ9-F1-model_v3	0.0e+00	1045.4	0.00e+00	1511.91	4.711E-91	4172	platinum
P56778	Q2PMT9	AF-P56778-F1-model_v3	AF-Q2PMT9-F1-model_v3	0.0e+00	977.2	0.00e+00	1412.66	3.788E-72	3721	platinum
P56779	Q2PMR7	AF-P56779-F1-model_v3	AF-Q2PMR7-F1-model_v3	3.8e-56	167.9	0.00e+00	239.54	2.864E-14	530	platinum
P56780	Q2PMQ6	AF-P56780-F1-model_v3	AF-Q2PMQ6-F1-model_v3	8.4e-42	131.0	0.00e+00	207.68	8.994E-11	380	platinum
P56781	Q2PMS0	AF-P56781-F1-model_v3	AF-Q2PMS0-F1-model_v3	5.2e-20	73.6	2.94e-11	95.99	8.641E-05	178	platinum
P56782	Q2PMS6	AF-P56782-F1-model_v3	AF-Q2PMS6-F1-model_v3	1.7e-27	94.0	5.11e-09	152.30	2.368E-06	266	platinum
P56783	P49160	AF-P56783-F1-model_v3	AF-P49160-F1-model_v3	5.8e-121	343.6	0.00e+00	646.84	8.614E-23	1083	platinum
P56784	Q9TKS6	AF-P56784-F1-model_v3	AF-Q9TKS6-F1-model_v3	4.6e-193	548.5	5.55e-16	1011.12	2.520E-47	2152	platinum
P56785	Q2PMP0	AF-P56785-F1-model_v3	AF-Q2PMP0-F1-model_v3	0.0e+00	1384.8	6.66e-05	2360.88	0.000E+00	4670	platinum
P56786	Q2PMM5	AF-P56786-F1-model_v3	AF-Q2PMM5-F1-model_v3	1.19e-05	2857.50	1.19e-05	2857.50	0.000E+00	9679	platinum
P56788	P49179	AF-P56788-F1-model_v3	AF-P49179-F1-model_v3	3.0e-45	148.7	0.00e+00	472.21	2.484E-23	966	platinum
P56792	Q2PMP9	AF-P56792-F1-model_v3	AF-Q2PMP9-F1-model_v3	3.2e-73	214.2	0.00e+00	359.91	3.598E-22	990	platinum
P56793	Q2PMP8	AF-P56793-F1-model_v3	AF-Q2PMP8-F1-model_v3	1.9e-87	251.1	0.00e+00	382.62	3.994E-27	1015	platinum
P56796	Q2PMR3	AF-P56796-F1-model_v3	AF-Q2PMR3-F1-model_v3	1.3e-33	109.8	0.00e+00	191.36	4.047E-09	421	platinum
P56797	Q2PMT2	AF-P56797-F1-model_v3	AF-Q2PMT2-F1-model_v3	1.6e-151	421.4	0.00e+00	695.36	2.715E-40	1711	platinum
P56798	Q2PMP7	AF-P56798-F1-model_v3	AF-Q2PMP7-F1-model_v3	1.3e-132	372.1	0.00e+00	622.07	2.348E-40	1605	platinum
P56801	Q2PMQ0	AF-P56801-F1-model_v3	AF-Q2PMQ0-F1-model_v3	6.0e-77	224.6	0.00e+00	363.85	1.034E-21	951	platinum
P56802	Q2PMQ2	AF-P56802-F1-model_v3	AF-Q2PMQ2-F1-model_v3	1.9e-84	243.8	0.00e+00	407.69	5.474E-27	1024	platinum
P56804	Q2PMU1	AF-P56804-F1-model_v3	AF-Q2PMU1-F1-model_v3	6.0e-61	181.4	0.00e+00	287.96	3.501E-16	621	platinum
P56805	Q2PMN9	AF-P56805-F1-model_v3	AF-Q2PMN9-F1-model_v3	1.4e-38	124.0	4.49e-12	219.35	1.879E-07	348	platinum
P56806	Q2PMS5	AF-P56806-F1-model_v3	AF-Q2PMS5-F1-model_v3	4.7e-39	124.8	0.00e+00	215.83	2.980E-12	500	platinum
P56807	Q2PMR2	AF-P56807-F1-model_v3	AF-Q2PMR2-F1-model_v3	1.4e-53	162.9	4.80e-11	261.37	1.774E-14	549	platinum
P56808	P07816	AF-P56808-F1-model_v3	AF-P07816-F1-model_v3	3.1e-57	171.4	0.00e+00	263.76	4.290E-18	668	platinum
P56820	I1MEK0	AF-P56820-F1-model_v3	AF-I1MEK0-F1-model_v3	0.0e+00	897.9	0.00e+00	1429.33	4.487E-92	3840	platinum
P57106	A0A0R4J2L9	AF-P57106-F1-model_v3	AF-A0A0R4J2L9-F1-model_v3	1.7e-217	596.3	0.00e+00	983.61	1.497E-62	2700	platinum
P57681	A0A0R0JSY5	AF-P57681-F1-model_v3	AF-A0A0R0JSY5-F1-model_v3	4.9e-200	587.8	0.00e+00	1303.85	1.713E-70	2960	platinum
P57750	K7L0P3	AF-P57750-F1-model_v3	AF-K7L0P3-F1-model_v3	3.2e-252	703.0	0.00e+00	1538.29	2.409E-82	3722	platinum
P57751	I1MBR7	AF-P57751-F1-model_v3	AF-I1MBR7-F1-model_v3	1.9e-295	805.1	0.00e+00	1389.54	1.254E-89	3777	platinum
P59169	C6SV66	AF-P59169-F1-model_v3	AF-C6SV66-F1-model_v3	7.6e-90	257.3	NA	NA	5.996E-21	781	gold
P59226	C6SZA4	AF-P59226-F1-model_v3	AF-C6SZA4-F1-model_v3	2.5e-88	253.4	0.00e+00	383.41	4.320E-21	777	platinum
P59229	I1LW89	AF-P59229-F1-model_v3	AF-I1LW89-F1-model_v3	1.5e-94	271.6	0.00e+00	479.94	4.560E-21	1102	platinum
P59259	P0CG89	AF-P59259-F1-model_v3	AF-P0CG89-F1-model_v3	1.0e-67	198.7	0.00e+00	287.92	1.333E-16	646	platinum
P59277	I1M2R5	AF-P59277-F1-model_v3	AF-I1M2R5-F1-model_v3	3.1e-151	426.8	0.00e+00	851.16	3.223E-31	1449	platinum
P59467	K7M4H2	AF-P59467-F1-model_v3	AF-K7M4H2-F1-model_v3	2.4e-42	136.7	NA	NA	NA	NA	silver
P60112	P69421	AF-P60112-F1-model_v3	AF-P69421-F1-model_v3	1.3e-37	120.9	0.00e+00	215.92	2.419E-08	389	platinum
P60129	Q2PMR9	AF-P60129-F1-model_v3	AF-Q2PMR9-F1-model_v3	1.1e-20	75.1	6.48e-09	95.90	8.275E-05	185	platinum
P60300	I1LZS8	AF-P60300-F1-model_v3	AF-I1LZS8-F1-model_v3	0.0e+00	1101.7	0.00e+00	2114.99	4.481E-88	4747	platinum
P60497	K7L9U2	AF-P60497-F1-model_v3	AF-K7L9U2-F1-model_v3	1.0e-117	334.0	0.00e+00	588.12	1.293E-24	1056	platinum
P60620	P07506	AF-P60620-F1-model_v3	AF-P07506-F1-model_v3	0.0e+00	982.2	0.00e+00	1480.77	1.710E-66	3670	platinum
P61039	Q2PMT6	AF-P61039-F1-model_v3	AF-Q2PMT6-F1-model_v3	3.3e-12	53.1	3.79e-08	72.00	NA	NA	gold
P61839	Q2PMQ8	AF-P61839-F1-model_v3	AF-Q2PMQ8-F1-model_v3	1.8e-15	61.6	4.94e-11	95.65	6.128E-04	156	platinum
P61841	P07135	AF-P61841-F1-model_v3	AF-P07135-F1-model_v3	3.1e-105	297.7	0.00e+00	455.97	2.886E-25	1151	platinum
P61843	Q2PMU4	AF-P61843-F1-model_v3	AF-Q2PMU4-F1-model_v3	3.1e-93	268.5	0.00e+00	479.42	3.701E-21	1101	platinum
P61845	Q2PMM4	AF-P61845-F1-model_v3	AF-Q2PMM4-F1-model_v3	7.0e-59	175.6	0.00e+00	263.84	1.988E-16	682	platinum
P61847	Q2PMN0	AF-P61847-F1-model_v3	AF-Q2PMN0-F1-model_v3	4.0e-20	74.7	1.11e-16	143.86	2.633E-05	189	platinum
P62095	Q2PMR8	AF-P62095-F1-model_v3	AF-Q2PMR8-F1-model_v3	3.0e-23	81.6	3.06e-11	96.00	3.760E-05	195	platinum
P62100	Q2PMS7	AF-P62100-F1-model_v3	AF-Q2PMS7-F1-model_v3	4.7e-19	70.9	3.61e-11	95.99	1.888E-04	159	platinum
P62109	Q2PMT7	AF-P62109-F1-model_v3	AF-Q2PMT7-F1-model_v3	7.9e-15	60.1	4.16e-11	95.99	NA	NA	gold
P62113	Q2PMQ7	AF-P62113-F1-model_v3	AF-Q2PMQ7-F1-model_v3	7.8e-23	80.9	9.02e-14	119.96	6.674E-06	216	platinum
P62117	Q7ICQ6	AF-P62117-F1-model_v3	AF-Q7ICQ6-F1-model_v3	1.8e-21	77.0	3.39e-11	96.00	1.155E-06	284	platinum
P62126	P07134	AF-P62126-F1-model_v3	AF-P07134-F1-model_v3	1.1e-85	245.7	0.00e+00	359.96	1.488E-25	1046	platinum
P68350	C6T5G7	AF-P68350-F1-model_v3	AF-C6T5G7-F1-model_v3	2.1e-52	165.2	1.98e-05	259.53	9.100E-15	572	platinum
P69781	I1MWA9	AF-P69781-F1-model_v3	AF-I1MWA9-F1-model_v3	5.4e-89	271.6	1.44e-05	628.87	3.109E-28	1014	platinum
P69834	K7MJ68	AF-P69834-F1-model_v3	AF-K7MJ68-F1-model_v3	2.0e-115	335.5	0.00e+00	729.98	1.413E-41	1580	platinum
P81760	I1KAV5	AF-P81760-F1-model_v3	AF-I1KAV5-F1-model_v3	1.8e-55	177.9	8.88e-15	565.31	3.063E-28	1234	platinum
P82538	K7MVB4	AF-P82538-F1-model_v3	AF-K7MVB4-F1-model_v3	3.4e-96	281.2	NA	NA	4.732E-31	1384	gold
P82658	I1KTL9	AF-P82658-F1-model_v3	AF-I1KTL9-F1-model_v3	1.5e-106	307.8	0.00e+00	635.97	1.019E-33	1477	platinum
P82869	I1LT12	AF-P82869-F1-model_v3	AF-I1LT12-F1-model_v3	1.7e-186	527.7	0.00e+00	1108.97	1.551E-59	2551	platinum
P82874	C6SW69	AF-P82874-F1-model_v3	AF-C6SW69-F1-model_v3	7.2e-75	224.9	NA	NA	NA	NA	silver
P83291	I1K1F4	AF-P83291-F1-model_v3	AF-I1K1F4-F1-model_v3	7.6e-174	485.3	0.00e+00	823.59	4.722E-56	2210	platinum
P83755	P02957	AF-P83755-F1-model_v3	AF-P02957-F1-model_v3	2.0e-263	714.1	0.00e+00	1042.18	5.934E-58	2770	platinum
