Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
F4K425	A0A1D6F2R1	AF-F4K425-F1-model_v3	AF-A0A1D6F2R1-F1-model_v3	5.9e-173	500.7	0.00e+00	1309.28	3.012E-40	2245	platinum
F4K452	A0A1D6P2P5	AF-F4K452-F1-model_v3	AF-A0A1D6P2P5-F1-model_v3	8.4e-121	354.8	1.26e-10	782.04	1.747E-38	1661	platinum
F4K459	B6U611	AF-F4K459-F1-model_v3	AF-B6U611-F1-model_v3	2.6e-15	64.3	8.55e-05	133.87	NA	NA	gold
F4K4D6	A0A1D6J298	AF-F4K4D6-F1-model_v3	AF-A0A1D6J298-F1-model_v3	4.6e-82	285.8	5.98e-05	1352.15	NA	NA	gold
F4K4E3	A0A1D6MPT6	AF-F4K4E3-F1-model_v3	AF-A0A1D6MPT6-F1-model_v3	5.8e-67	200.3	3.32e-10	308.56	3.229E-18	795	platinum
F4K4L3	A0A1D6IIJ3	AF-F4K4L3-F1-model_v3	AF-A0A1D6IIJ3-F1-model_v3	1.2e-257	722.2	0.00e+00	1543.28	6.934E-90	3831	platinum
F4K4N0	A0A1D6E1F3	AF-F4K4N0-F1-model_v3	AF-A0A1D6E1F3-F1-model_v3	1.1e-58	202.6	0.00e+00	945.78	5.038E-35	1626	platinum
F4K4R1	A0A1D6K2K2	AF-F4K4R1-F1-model_v3	AF-A0A1D6K2K2-F1-model_v3	3.7e-243	740.3	0.00e+00	2822.07	3.310E-58	3934	platinum
F4K4R6	A0A1D6EQP6	AF-F4K4R6-F1-model_v3	AF-A0A1D6EQP6-F1-model_v3	1.0e-201	606.3	0.00e+00	2032.99	1.021E-86	4371	platinum
F4K4X2	A0A1Q1CGE1	AF-F4K4X2-F1-model_v3	AF-A0A1Q1CGE1-F1-model_v3	9.3e-23	89.4	1.07e-03	236.18	4.981E-09	362	platinum
F4K5I0	A0A1D6E7M0	AF-F4K5I0-F1-model_v3	AF-A0A1D6E7M0-F1-model_v3	6.3e-266	753.4	0.00e+00	2060.74	2.669E-66	3943	platinum
F4K5J1	A0A1D6NKQ5	AF-F4K5J1-F1-model_v3	AF-A0A1D6NKQ5-F1-model_v3	0.0e+00	2088.5	0.00e+00	4261.39	0.000E+00	9642	platinum
F4K5K6	K7V4W4	AF-F4K5K6-F1-model_v3	AF-K7V4W4-F1-model_v3	7.9e-214	647.9	5.11e-07	1981.69	4.605E-92	3904	platinum
F4K5L5	K7TVB0	AF-F4K5L5-F1-model_v3	AF-K7TVB0-F1-model_v3	3.6e-181	518.8	5.55e-16	1149.87	NA	NA	gold
F4K5P6	C0PIQ9	AF-F4K5P6-F1-model_v3	AF-C0PIQ9-F1-model_v3	2.2e-79	243.8	0.00e+00	673.94	2.554E-32	1230	platinum
F4K5Q4	K7TJQ7	AF-F4K5Q4-F1-model_v3	AF-K7TJQ7-F1-model_v3	2.4e-21	86.3	5.76e-03	251.79	NA	NA	gold
F4K5S0	A0A1D6NAC1	AF-F4K5S0-F1-model_v3	AF-A0A1D6NAC1-F1-model_v3	2.7e-223	670.6	NA	NA	4.690E-44	3074	gold
F4K5T4	B4FX14	AF-F4K5T4-F1-model_v3	AF-B4FX14-F1-model_v3	4.6e-43	155.2	NA	NA	NA	NA	silver
F4K5W5	A0A1D6IBD8	AF-F4K5W5-F1-model_v3	AF-A0A1D6IBD8-F1-model_v3	2.5e-179	540.4	0.00e+00	2011.32	1.928E-78	3773	platinum
F4K5Y5	A0A1D6LCL9	AF-F4K5Y5-F1-model_v3	AF-A0A1D6LCL9-F1-model_v3	1.6e-156	501.9	6.73e-04	1580.65	6.340E-43	1742	platinum
F4K639	A0A1D6FEL1	AF-F4K639-F1-model_v3	AF-A0A1D6FEL1-F1-model_v3	0.0e+00	1312.0	1.81e-11	3267.53	0.000E+00	6634	platinum
F4K657	A0A1D6H341	AF-F4K657-F1-model_v3	AF-A0A1D6H341-F1-model_v3	4.1e-25	92.4	1.25e-10	359.38	NA	NA	gold
F4K658	A0A1D6H1D4	AF-F4K658-F1-model_v3	AF-A0A1D6H1D4-F1-model_v3	3.8e-295	812.4	0.00e+00	1560.52	4.789E-93	3971	platinum
F4K687	A0A1D6QAZ7	AF-F4K687-F1-model_v3	AF-A0A1D6QAZ7-F1-model_v3	1.2e-81	245.4	0.00e+00	533.40	3.000E-28	1114	platinum
F4K6F1	C0PJQ3	AF-F4K6F1-F1-model_v3	AF-C0PJQ3-F1-model_v3	1.4e-155	452.2	0.00e+00	1220.22	1.641E-57	2454	platinum
F4K6N3	A0A1D6QIB3	AF-F4K6N3-F1-model_v3	AF-A0A1D6QIB3-F1-model_v3	1.4e-282	787.7	0.00e+00	1573.80	1.294E-81	3807	platinum
F4K6X0	A0A1D6K125	AF-F4K6X0-F1-model_v3	AF-A0A1D6K125-F1-model_v3	3.4e-36	120.9	1.47e-06	264.45	1.758E-12	571	platinum
F4K6Y8	A0A1D6IRD6	AF-F4K6Y8-F1-model_v3	AF-A0A1D6IRD6-F1-model_v3	3.5e-168	475.3	0.00e+00	1080.12	6.528E-57	2448	platinum
F4K6Z5	A0A1D6P233	AF-F4K6Z5-F1-model_v3	AF-A0A1D6P233-F1-model_v3	3.4e-260	726.1	0.00e+00	1643.23	3.968E-92	4041	platinum
F4K773	A0A1D6ENV3	AF-F4K773-F1-model_v3	AF-A0A1D6ENV3-F1-model_v3	2.0e-26	99.8	9.62e-05	330.65	1.346E-08	317	platinum
F4K786	A0A1D6GNR8	AF-F4K786-F1-model_v3	AF-A0A1D6GNR8-F1-model_v3	1.8e-26	107.5	NA	NA	NA	NA	silver
F4K790	K7W7V3	AF-F4K790-F1-model_v3	AF-K7W7V3-F1-model_v3	0.0e+00	969.1	0.00e+00	2540.48	NA	NA	gold
F4K7J0	A0A1D6LW08	AF-F4K7J0-F1-model_v3	AF-A0A1D6LW08-F1-model_v3	3.4e-71	220.3	4.60e-12	557.14	3.798E-26	1069	platinum
F4K7T1	A0A1D6H726	AF-F4K7T1-F1-model_v3	AF-A0A1D6H726-F1-model_v3	7.2e-113	355.9	1.61e-03	939.69	NA	NA	gold
F4K7W6	A0A1D6M0K4	AF-F4K7W6-F1-model_v3	AF-A0A1D6M0K4-F1-model_v3	1.3e-176	503.8	0.00e+00	1100.68	1.387E-48	2324	platinum
F4K813	A0A1D6DUF9	AF-F4K813-F1-model_v3	AF-A0A1D6DUF9-F1-model_v3	1.2e-98	295.4	NA	NA	1.858E-39	1629	gold
F4K836	C0PC10	AF-F4K836-F1-model_v3	AF-C0PC10-F1-model_v3	9.9e-182	524.6	0.00e+00	1462.13	2.400E-39	2372	platinum
F4K856	A0A1D6IIV8	AF-F4K856-F1-model_v3	AF-A0A1D6IIV8-F1-model_v3	0.0e+00	1010.4	0.00e+00	2613.20	0.000E+00	5680	platinum
F4K8S5	A0A1D6MCV6	AF-F4K8S5-F1-model_v3	AF-A0A1D6MCV6-F1-model_v3	1.3e-27	113.2	1.31e-02	412.51	NA	NA	gold
F4K8X8	A0A1D6LL52	AF-F4K8X8-F1-model_v3	AF-A0A1D6LL52-F1-model_v3	4.8e-159	469.2	3.39e-13	1231.48	NA	NA	gold
F4K933	F1DJZ9	AF-F4K933-F1-model_v3	AF-F1DJZ9-F1-model_v3	3.3e-62	211.8	4.13e-04	639.70	NA	NA	gold
F4K956	A0A1D6MBD9	AF-F4K956-F1-model_v3	AF-A0A1D6MBD9-F1-model_v3	4.9e-13	70.5	3.20e-02	403.03	NA	NA	gold
F4K964	K7V5S2	AF-F4K964-F1-model_v3	AF-K7V5S2-F1-model_v3	1.9e-185	548.1	0.00e+00	1772.36	NA	NA	gold
F4K975	A0A1D6NX20	AF-F4K975-F1-model_v3	AF-A0A1D6NX20-F1-model_v3	1.3e-93	285.0	0.00e+00	623.03	5.174E-29	1199	platinum
F4K9G5	B6TSN0	AF-F4K9G5-F1-model_v3	AF-B6TSN0-F1-model_v3	2.3e-66	196.4	0.00e+00	333.79	3.553E-24	896	platinum
F4K9U0	A0A1D6JSS8	AF-F4K9U0-F1-model_v3	AF-A0A1D6JSS8-F1-model_v3	4.7e-59	204.5	8.46e-03	725.55	3.721E-18	681	platinum
F4K9W2	A0A1D6FW23	AF-F4K9W2-F1-model_v3	AF-A0A1D6FW23-F1-model_v3	2.3e-92	322.8	1.51e-03	1575.86	2.748E-38	1658	platinum
F4KA12	A0A1D6HSQ7	AF-F4KA12-F1-model_v3	AF-A0A1D6HSQ7-F1-model_v3	3.4e-73	236.9	3.25e-14	719.13	7.414E-35	1414	platinum
F4KAB4	B6U272	AF-F4KAB4-F1-model_v3	AF-B6U272-F1-model_v3	1.8e-92	278.9	1.91e-14	707.37	1.569E-38	1527	platinum
F4KAB8	A0A1D6FQT3	AF-F4KAB8-F1-model_v3	AF-A0A1D6FQT3-F1-model_v3	0.0e+00	1156.7	0.00e+00	2108.65	0.000E+00	5268	platinum
F4KAF2	C0HFF0	AF-F4KAF2-F1-model_v3	AF-C0HFF0-F1-model_v3	8.2e-229	661.8	1.39e-14	1761.64	3.758E-79	3322	platinum
F4KAG0	C0P5X2	AF-F4KAG0-F1-model_v3	AF-C0P5X2-F1-model_v3	9.4e-78	246.9	4.86e-11	958.87	NA	NA	gold
F4KAI4	A0A1D6NKP5	AF-F4KAI4-F1-model_v3	AF-A0A1D6NKP5-F1-model_v3	2.1e-08	57.4	NA	NA	NA	NA	silver
F4KAK0	B6TUZ6	AF-F4KAK0-F1-model_v3	AF-B6TUZ6-F1-model_v3	4.1e-48	149.8	1.11e-16	310.92	6.359E-20	749	platinum
F4KAQ2	K7TZY9	AF-F4KAQ2-F1-model_v3	AF-K7TZY9-F1-model_v3	1.1e-26	100.5	3.16e-04	255.10	NA	NA	gold
F4KB54	A0A1D6Q384	AF-F4KB54-F1-model_v3	AF-A0A1D6Q384-F1-model_v3	4.8e-174	517.3	1.11e-16	1579.93	2.218E-60	2889	platinum
F4KB73	A0A1D6QA12	AF-F4KB73-F1-model_v3	AF-A0A1D6QA12-F1-model_v3	0.0e+00	3123.6	0.00e+00	5205.50	0.000E+00	11634	platinum
F4KBB1	A0A1D6IT56	AF-F4KBB1-F1-model_v3	AF-A0A1D6IT56-F1-model_v3	2.2e-270	830.9	3.24e-07	2667.55	NA	NA	gold
F4KBF3	A0A1D6I3L3	AF-F4KBF3-F1-model_v3	AF-A0A1D6I3L3-F1-model_v3	0.0e+00	890.6	NA	NA	0.000E+00	4831	gold
F4KBJ3	K7VVA6	AF-F4KBJ3-F1-model_v3	AF-K7VVA6-F1-model_v3	2.9e-151	432.2	0.00e+00	935.88	1.759E-49	2075	platinum
F4KBP5	A0A1D6IBX9	AF-F4KBP5-F1-model_v3	AF-A0A1D6IBX9-F1-model_v3	0.0e+00	1466.4	3.45e-08	3621.65	0.000E+00	7250	platinum
F4KBW6	A0A1D6H3M4	AF-F4KBW6-F1-model_v3	AF-A0A1D6H3M4-F1-model_v3	0.0e+00	1731.5	0.00e+00	4093.24	0.000E+00	7423	platinum
F4KC30	A0A1D6EWZ8	AF-F4KC30-F1-model_v3	AF-A0A1D6EWZ8-F1-model_v3	1.2e-122	357.1	0.00e+00	751.72	2.676E-32	1630	platinum
F4KCC2	A0A1D6MLE3	AF-F4KCC2-F1-model_v3	AF-A0A1D6MLE3-F1-model_v3	0.0e+00	1293.9	0.00e+00	4035.65	0.000E+00	7421	platinum
F4KCF2	B4FQP1	AF-F4KCF2-F1-model_v3	AF-B4FQP1-F1-model_v3	4.6e-154	434.9	0.00e+00	934.42	1.139E-51	2214	platinum
F4KCL7	A0A1D6HKR0	AF-F4KCL7-F1-model_v3	AF-A0A1D6HKR0-F1-model_v3	2.5e-200	574.7	0.00e+00	1513.56	NA	NA	gold
F4KCR0	A0A1D6L6W0	AF-F4KCR0-F1-model_v3	AF-A0A1D6L6W0-F1-model_v3	0.0e+00	1162.9	0.00e+00	2911.16	0.000E+00	6908	platinum
F4KCY1	B6TCJ0	AF-F4KCY1-F1-model_v3	AF-B6TCJ0-F1-model_v3	3.6e-61	189.1	1.12e-08	431.93	6.883E-17	632	platinum
F4KD38	A0A1D6LJV2	AF-F4KD38-F1-model_v3	AF-A0A1D6LJV2-F1-model_v3	0.0e+00	1132.1	NA	NA	0.000E+00	5547	gold
F4KD71	A0A0A0US36	AF-F4KD71-F1-model_v3	AF-A0A0A0US36-F1-model_v3	0.0e+00	1021.9	0.00e+00	2013.70	5.091E-78	4553	platinum
F4KDA5	A0A1D6GTY7	AF-F4KDA5-F1-model_v3	AF-A0A1D6GTY7-F1-model_v3	2.2e-282	791.2	0.00e+00	1835.50	9.646E-68	3782	platinum
F4KDA6	A0A1D6GZ69	AF-F4KDA6-F1-model_v3	AF-A0A1D6GZ69-F1-model_v3	3.9e-25	95.9	1.10e-05	341.27	3.749E-08	328	platinum
F4KDC4	A0A1D6JMB9	AF-F4KDC4-F1-model_v3	AF-A0A1D6JMB9-F1-model_v3	2.7e-04	42.0	6.13e-02	219.03	NA	NA	gold
F4KDF5	K7UF18	AF-F4KDF5-F1-model_v3	AF-K7UF18-F1-model_v3	6.6e-63	206.5	3.28e-14	765.51	6.852E-22	1200	platinum
F4KDI6	A0A1D6H7R7	AF-F4KDI6-F1-model_v3	AF-A0A1D6H7R7-F1-model_v3	0.0e+00	1077.0	0.00e+00	2218.40	0.000E+00	4936	platinum
F4KDK1	A0A1D6NTT1	AF-F4KDK1-F1-model_v3	AF-A0A1D6NTT1-F1-model_v3	4.6e-105	312.8	0.00e+00	797.09	4.353E-45	1806	platinum
F4KDN4	A0A1D6KZJ5	AF-F4KDN4-F1-model_v3	AF-A0A1D6KZJ5-F1-model_v3	3.9e-25	94.7	NA	NA	NA	NA	silver
F4KE50	A0A1D6PGR9	AF-F4KE50-F1-model_v3	AF-A0A1D6PGR9-F1-model_v3	6.4e-83	276.9	3.76e-02	716.90	NA	NA	gold
F4KE63	A0A1D6F9V3	AF-F4KE63-F1-model_v3	AF-A0A1D6F9V3-F1-model_v3	0.0e+00	1501.1	0.00e+00	2744.47	0.000E+00	6806	platinum
F4KE92	A0A1D6EC63	AF-F4KE92-F1-model_v3	AF-A0A1D6EC63-F1-model_v3	2.7e-140	417.9	NA	NA	1.555E-40	2232	gold
F4KEC6	A0A1D6MC17	AF-F4KEC6-F1-model_v3	AF-A0A1D6MC17-F1-model_v3	3.5e-57	208.4	2.47e-09	1244.78	3.612E-40	1701	platinum
F4KEM4	A0A1D6MHE5	AF-F4KEM4-F1-model_v3	AF-A0A1D6MHE5-F1-model_v3	2.6e-124	369.8	0.00e+00	789.59	4.060E-42	1872	platinum
F4KEN0	A0A1D6IQV9	AF-F4KEN0-F1-model_v3	AF-A0A1D6IQV9-F1-model_v3	3.8e-140	415.6	6.35e-13	1021.43	2.312E-43	2028	platinum
F4KEU4	A0A1D6I1N4	AF-F4KEU4-F1-model_v3	AF-A0A1D6I1N4-F1-model_v3	9.0e-38	126.7	5.12e-09	258.98	1.870E-11	571	platinum
F4KEV7	A0A1D6LGW0	AF-F4KEV7-F1-model_v3	AF-A0A1D6LGW0-F1-model_v3	4.6e-67	203.0	3.11e-12	385.17	2.257E-18	737	platinum
F4KEW8	A0A1D6MKP9	AF-F4KEW8-F1-model_v3	AF-A0A1D6MKP9-F1-model_v3	1.8e-45	169.1	NA	NA	2.738E-18	693	gold
F4KEY9	A0A1D6M2Q1	AF-F4KEY9-F1-model_v3	AF-A0A1D6M2Q1-F1-model_v3	0.0e+00	986.5	0.00e+00	2632.05	4.564E-69	4577	platinum
F4KF16	A0A1D6MYH9	AF-F4KF16-F1-model_v3	AF-A0A1D6MYH9-F1-model_v3	1.8e-215	605.1	0.00e+00	1344.55	2.458E-68	2999	platinum
F4KF27	B4FNB6	AF-F4KF27-F1-model_v3	AF-B4FNB6-F1-model_v3	1.6e-14	69.7	3.53e-04	324.03	NA	NA	gold
F4KF65	C0PBU6	AF-F4KF65-F1-model_v3	AF-C0PBU6-F1-model_v3	7.7e-201	569.3	0.00e+00	1288.50	1.252E-42	2611	platinum
F4KFC7	C0P608	AF-F4KFC7-F1-model_v3	AF-C0P608-F1-model_v3	2.3e-52	177.2	NA	NA	5.588E-21	857	gold
F4KFG2	C0P3P5	AF-F4KFG2-F1-model_v3	AF-C0P3P5-F1-model_v3	7.3e-118	338.6	5.76e-14	630.70	1.017E-38	1473	platinum
F4KFM8	B6TIB8	AF-F4KFM8-F1-model_v3	AF-B6TIB8-F1-model_v3	1.2e-19	77.8	NA	NA	NA	NA	silver
F4KFV7	A0A1D6E963	AF-F4KFV7-F1-model_v3	AF-A0A1D6E963-F1-model_v3	1.7e-299	838.2	0.00e+00	1791.66	7.235E-83	3997	platinum
F4KFX1	A0A1D6MF89	AF-F4KFX1-F1-model_v3	AF-A0A1D6MF89-F1-model_v3	3.5e-248	697.2	1.67e-15	1411.79	NA	NA	gold
F4KG14	K7V1D8	AF-F4KG14-F1-model_v3	AF-K7V1D8-F1-model_v3	0.0e+00	970.7	8.77e-15	2823.97	2.350E-97	4208	platinum
F4KG63	K7U8N8	AF-F4KG63-F1-model_v3	AF-K7U8N8-F1-model_v3	4.6e-192	547.4	0.00e+00	1384.90	1.982E-51	2637	platinum
F4KG91	A0A1D6Q879	AF-F4KG91-F1-model_v3	AF-A0A1D6Q879-F1-model_v3	6.3e-254	719.9	1.63e-12	1416.21	NA	NA	gold
F4KGE8	A0A1D6LA51	AF-F4KGE8-F1-model_v3	AF-A0A1D6LA51-F1-model_v3	3.6e-106	327.0	2.32e-12	967.78	2.620E-33	1688	platinum
F4KGN4	B4FRZ9	AF-F4KGN4-F1-model_v3	AF-B4FRZ9-F1-model_v3	1.0e-46	160.2	1.01e-11	642.30	1.963E-19	998	platinum
F4KGN5	K7VD92	AF-F4KGN5-F1-model_v3	AF-K7VD92-F1-model_v3	2.9e-185	528.9	0.00e+00	1347.86	3.311E-41	2418	platinum
F4KGT2	A0A1D6E9F2	AF-F4KGT2-F1-model_v3	AF-A0A1D6E9F2-F1-model_v3	1.9e-103	310.1	5.34e-11	726.41	5.507E-19	1076	platinum
F4KGY0	A0A1D6MPJ9	AF-F4KGY0-F1-model_v3	AF-A0A1D6MPJ9-F1-model_v3	7.7e-304	864.4	0.00e+00	2320.88	1.292E-74	4263	platinum
F4KH28	A0A1D6DSY2	AF-F4KH28-F1-model_v3	AF-A0A1D6DSY2-F1-model_v3	1.7e-172	491.9	0.00e+00	1209.97	2.927E-66	2714	platinum
F4KH31	A0A1D6JL96	AF-F4KH31-F1-model_v3	AF-A0A1D6JL96-F1-model_v3	4.4e-155	467.2	NA	NA	NA	NA	silver
F4KHA1	A0A1D6KXY5	AF-F4KHA1-F1-model_v3	AF-A0A1D6KXY5-F1-model_v3	2.2e-71	240.7	NA	NA	NA	NA	silver
F4KHD8	A0A1D6ELZ1	AF-F4KHD8-F1-model_v3	AF-A0A1D6ELZ1-F1-model_v3	3.3e-272	825.1	1.39e-13	2323.16	0.000E+00	5703	platinum
F4KHG6	A0A1D6G0X9	AF-F4KHG6-F1-model_v3	AF-A0A1D6G0X9-F1-model_v3	9.0e-184	522.3	0.00e+00	1207.10	2.312E-66	2755	platinum
F4KHG9	B6TE36	AF-F4KHG9-F1-model_v3	AF-B6TE36-F1-model_v3	2.7e-85	269.2	9.84e-06	817.61	NA	NA	gold
F4KHI7	A0A1D6JJC8	AF-F4KHI7-F1-model_v3	AF-A0A1D6JJC8-F1-model_v3	8.3e-39	137.9	2.83e-09	404.25	4.273E-13	572	platinum
F4KHM4	B4FUC6	AF-F4KHM4-F1-model_v3	AF-B4FUC6-F1-model_v3	2.7e-191	552.7	6.66e-16	1355.45	NA	NA	gold
F4KHP4	A0A1D6MFD2	AF-F4KHP4-F1-model_v3	AF-A0A1D6MFD2-F1-model_v3	7.9e-79	276.6	6.09e-08	1433.90	NA	NA	gold
F4KHR6	B4FRL6	AF-F4KHR6-F1-model_v3	AF-B4FRL6-F1-model_v3	1.1e-16	79.7	NA	NA	NA	NA	silver
F4KI39	B4FER7	AF-F4KI39-F1-model_v3	AF-B4FER7-F1-model_v3	2.6e-21	82.4	4.34e-05	246.50	1.417E-06	264	platinum
F4KIH8	A0A1D6G0I8	AF-F4KIH8-F1-model_v3	AF-A0A1D6G0I8-F1-model_v3	0.0e+00	1787.7	0.00e+00	3244.10	0.000E+00	8313	platinum
F4KII1	A0A1D6H753	AF-F4KII1-F1-model_v3	AF-A0A1D6H753-F1-model_v3	1.4e-163	475.7	0.00e+00	1269.23	3.679E-56	2442	platinum
F4KIJ2	A0A1D6LNK1	AF-F4KIJ2-F1-model_v3	AF-A0A1D6LNK1-F1-model_v3	0.0e+00	1184.1	0.00e+00	2446.41	0.000E+00	5577	platinum
F4KIL1	B6SXV9	AF-F4KIL1-F1-model_v3	AF-B6SXV9-F1-model_v3	1.6e-305	852.4	0.00e+00	1814.79	7.783E-68	3671	platinum
F4KIV8	B6STJ9	AF-F4KIV8-F1-model_v3	AF-B6STJ9-F1-model_v3	7.4e-40	141.7	1.28e-07	494.91	5.548E-23	1035	platinum
F4KIY2	A0A1D6J468	AF-F4KIY2-F1-model_v3	AF-A0A1D6J468-F1-model_v3	0.0e+00	1515.0	NA	NA	0.000E+00	8182	gold
F4KJ55	A0A1D6FVQ7	AF-F4KJ55-F1-model_v3	AF-A0A1D6FVQ7-F1-model_v3	1.9e-95	283.1	1.22e-15	668.22	6.496E-34	1454	platinum
F8S296	A0A1D6NYB7	AF-F8S296-F1-model_v3	AF-A0A1D6NYB7-F1-model_v3	0.0e+00	1080.1	0.00e+00	3679.42	NA	NA	gold
I3XHK1	A0A1D6QLQ7	AF-I3XHK1-F1-model_v3	AF-A0A1D6QLQ7-F1-model_v3	5.8e-250	757.7	1.14e-06	2303.49	NA	NA	gold
O04034	B4FQD4	AF-O04034-F1-model_v3	AF-B4FQD4-F1-model_v3	1.8e-173	499.6	0.00e+00	1314.29	1.863E-42	2297	platinum
O04083	B4F7W5	AF-O04083-F1-model_v3	AF-B4F7W5-F1-model_v3	4.8e-141	402.1	0.00e+00	873.05	5.876E-53	2052	platinum
O04147	C0P8F5	AF-O04147-F1-model_v3	AF-C0P8F5-F1-model_v3	2.8e-56	175.6	0.00e+00	501.89	3.285E-22	904	platinum
O04151	A0A1D6EN37	AF-O04151-F1-model_v3	AF-A0A1D6EN37-F1-model_v3	2.0e-175	498.0	0.00e+00	1185.15	1.525E-65	2887	platinum
O04153	B4FUA8	AF-O04153-F1-model_v3	AF-B4FUA8-F1-model_v3	7.1e-179	505.4	0.00e+00	1209.92	1.756E-63	2771	platinum
O04173	B4FUQ5	AF-O04173-F1-model_v3	AF-B4FUQ5-F1-model_v3	3.0e-65	195.3	2.68e-10	290.65	2.618E-16	640	platinum
O04196	A0A1D6PXQ9	AF-O04196-F1-model_v3	AF-A0A1D6PXQ9-F1-model_v3	0.0e+00	913.7	0.00e+00	1837.21	0.000E+00	4557	platinum
O04198	A0A1D6HQH9	AF-O04198-F1-model_v3	AF-A0A1D6HQH9-F1-model_v3	1.5e-86	283.5	7.76e-04	914.88	2.441E-32	1394	platinum
O04200	A0A1D6JX88	AF-O04200-F1-model_v3	AF-A0A1D6JX88-F1-model_v3	3.3e-149	424.1	0.00e+00	832.11	9.291E-31	1728	platinum
O04202	K7V686	AF-O04202-F1-model_v3	AF-K7V686-F1-model_v3	2.1e-144	407.5	0.00e+00	811.98	1.875E-43	1658	platinum
O04204	B4FWI0	AF-O04204-F1-model_v3	AF-B4FWI0-F1-model_v3	1.8e-159	448.0	NA	NA	NA	NA	silver
O04212	B4FPI2	AF-O04212-F1-model_v3	AF-B4FPI2-F1-model_v3	9.4e-256	709.5	0.00e+00	1488.50	1.957E-66	3242	platinum
O04249	B4FZ36	AF-O04249-F1-model_v3	AF-B4FZ36-F1-model_v3	3.8e-294	805.4	NA	NA	3.738E-57	3240	gold
O04265	B4FII6	AF-O04265-F1-model_v3	AF-B4FII6-F1-model_v3	1.7e-195	541.2	0.00e+00	873.40	7.935E-53	2264	platinum
O04291	A0A1D6KX67	AF-O04291-F1-model_v3	AF-A0A1D6KX67-F1-model_v3	0.0e+00	1261.1	0.00e+00	2170.82	0.000E+00	5553	platinum
O04326	B4FKD1	AF-O04326-F1-model_v3	AF-B4FKD1-F1-model_v3	1.1e-61	199.5	3.22e-05	528.82	NA	NA	gold
O04342	B6TIU7	AF-O04342-F1-model_v3	AF-B6TIU7-F1-model_v3	2.8e-96	291.6	1.99e-07	713.99	NA	NA	gold
O04350	A0A1D6HPC3	AF-O04350-F1-model_v3	AF-A0A1D6HPC3-F1-model_v3	8.2e-37	122.1	6.09e-13	280.71	1.788E-09	450	platinum
O04376	B7ZXD0	AF-O04376-F1-model_v3	AF-B7ZXD0-F1-model_v3	1.0e-226	634.0	0.00e+00	1322.32	4.656E-46	2752	platinum
O04378	A0A1D6FC22	AF-O04378-F1-model_v3	AF-A0A1D6FC22-F1-model_v3	4.7e-52	172.2	NA	NA	NA	NA	silver
O04379	A0A1D6E2V1	AF-O04379-F1-model_v3	AF-A0A1D6E2V1-F1-model_v3	0.0e+00	1456.8	0.00e+00	2795.50	0.000E+00	7103	platinum
O04420	B4FTA4	AF-O04420-F1-model_v3	AF-B4FTA4-F1-model_v3	5.3e-142	402.9	0.00e+00	842.30	9.527E-44	1920	platinum
O04421	A0A1D6DYT1	AF-O04421-F1-model_v3	AF-A0A1D6DYT1-F1-model_v3	1.1e-42	137.1	2.22e-16	322.26	8.897E-16	628	platinum
O04425	A0A1D6ELI3	AF-O04425-F1-model_v3	AF-A0A1D6ELI3-F1-model_v3	1.2e-115	367.1	2.83e-05	1279.53	NA	NA	gold
O04450	A0A1D6HRM1	AF-O04450-F1-model_v3	AF-A0A1D6HRM1-F1-model_v3	0.0e+00	936.8	0.00e+00	1565.08	4.805E-85	4121	platinum
O04482	A0A1D6HPV4	AF-O04482-F1-model_v3	AF-A0A1D6HPV4-F1-model_v3	1.3e-159	450.7	0.00e+00	904.67	1.423E-43	1901	platinum
O04492	A0A1D6EJ18	AF-O04492-F1-model_v3	AF-A0A1D6EJ18-F1-model_v3	7.8e-64	211.5	NA	NA	NA	NA	silver
O04496	B4FMW6	AF-O04496-F1-model_v3	AF-B4FMW6-F1-model_v3	2.9e-128	378.3	NA	NA	NA	NA	silver
O04504	A0A1D6MID9	AF-O04504-F1-model_v3	AF-A0A1D6MID9-F1-model_v3	1.9e-07	53.9	NA	NA	1.423E-29	1917	gold
O04527	B4G1F2	AF-O04527-F1-model_v3	AF-B4G1F2-F1-model_v3	7.6e-50	160.6	2.29e-08	395.90	5.300E-18	728	platinum
O04532	A0A1D6HJR8	AF-O04532-F1-model_v3	AF-A0A1D6HJR8-F1-model_v3	8.2e-136	424.5	1.67e-07	1519.57	NA	NA	gold
O04589	A0A096PW72	AF-O04589-F1-model_v3	AF-A0A096PW72-F1-model_v3	8.8e-94	277.7	3.00e-14	627.24	5.423E-25	1292	platinum
O04590	A0A1D6NRP6	AF-O04590-F1-model_v3	AF-A0A1D6NRP6-F1-model_v3	1.4e-77	265.8	0.00e+00	1786.16	3.019E-46	2930	platinum
O04603	B6SST7	AF-O04603-F1-model_v3	AF-B6SST7-F1-model_v3	8.2e-97	285.4	7.00e-12	644.12	3.653E-36	1414	platinum
O04630	A0A1D6KSQ7	AF-O04630-F1-model_v3	AF-A0A1D6KSQ7-F1-model_v3	0.0e+00	991.1	0.00e+00	2054.69	0.000E+00	5093	platinum
O04646	A0A1D6GWH1	AF-O04646-F1-model_v3	AF-A0A1D6GWH1-F1-model_v3	2.9e-59	185.3	4.44e-05	338.85	NA	NA	gold
