Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q3EC11	Q0IS80	AF-Q3EC11-F1-model_v3	AF-Q0IS80-F1-model_v3	7.9e-127	379.4	NA	NA	7.013E-47	2551	gold
Q3ECD0	Q5Z8P2	AF-Q3ECD0-F1-model_v3	AF-Q5Z8P2-F1-model_v3	3.1e-161	461.8	0.00e+00	974.49	1.141E-59	2420	platinum
Q3ECL0	A0A0P0UYH2	AF-Q3ECL0-F1-model_v3	AF-A0A0P0UYH2-F1-model_v3	7.32e-01	29.85	7.32e-01	29.85	NA	NA	gold
Q3ECP0	Q6ZC85	AF-Q3ECP0-F1-model_v3	AF-Q6ZC85-F1-model_v3	2.2e-207	591.7	0.00e+00	1529.02	1.353E-59	2589	platinum
Q3ECP6	B7F8G8	AF-Q3ECP6-F1-model_v3	AF-B7F8G8-F1-model_v3	5.7e-164	465.7	0.00e+00	1039.71	1.475E-55	2246	platinum
Q3ECT8	Q10EJ2	AF-Q3ECT8-F1-model_v3	AF-Q10EJ2-F1-model_v3	7.6e-49	154.5	NA	NA	7.274E-11	585	gold
Q3ECY6	Q0JD76	AF-Q3ECY6-F1-model_v3	AF-Q0JD76-F1-model_v3	1.4e-75	251.9	0.00e+00	1063.29	5.124E-31	1587	platinum
Q3ED65	C7J169	AF-Q3ED65-F1-model_v3	AF-C7J169-F1-model_v3	8.7e-34	117.5	NA	NA	NA	NA	silver
Q3EDG5	C7J3N2	AF-Q3EDG5-F1-model_v3	AF-C7J3N2-F1-model_v3	1.3e-81	252.3	4.10e-11	530.75	5.009E-16	860	platinum
Q3EDJ0	Q6K989	AF-Q3EDJ0-F1-model_v3	AF-Q6K989-F1-model_v3	2.6e-156	437.6	0.00e+00	765.64	1.908E-50	1935	platinum
Q3KTM0	Q0JCX7	AF-Q3KTM0-F1-model_v3	AF-Q0JCX7-F1-model_v3	2.8e-262	743.4	0.00e+00	1806.60	2.312E-73	3834	platinum
Q3MV14	Q5VSA6	AF-Q3MV14-F1-model_v3	AF-Q5VSA6-F1-model_v3	4.7e-141	406.8	0.00e+00	921.92	1.414E-53	2338	platinum
Q3S4A7	A3BE68	AF-Q3S4A7-F1-model_v3	AF-A3BE68-F1-model_v3	6.1e-288	823.5	2.59e-10	1897.76	2.947E-96	4031	platinum
Q42029	Q8GTK4	AF-Q42029-F1-model_v3	AF-Q8GTK4-F1-model_v3	5.9e-123	350.5	5.55e-16	632.20	2.921E-37	1607	platinum
Q42139	Q84PA4	AF-Q42139-F1-model_v3	AF-Q84PA4-F1-model_v3	2.9e-32	116.3	1.11e-16	539.90	2.813E-15	531	platinum
Q42290	Q10Q21	AF-Q42290-F1-model_v3	AF-Q10Q21-F1-model_v3	4.3e-262	725.3	0.00e+00	1523.76	5.786E-86	3698	platinum
Q42338	Q654W0	AF-Q42338-F1-model_v3	AF-Q654W0-F1-model_v3	2.3e-43	135.6	0.00e+00	239.53	7.057E-11	437	platinum
Q42351	Q6Z537	AF-Q42351-F1-model_v3	AF-Q6Z537-F1-model_v3	3.5e-68	200.7	NA	NA	NA	NA	silver
Q42371	Q69SP5	AF-Q42371-F1-model_v3	AF-Q69SP5-F1-model_v3	1.3e-227	671.4	0.00e+00	2645.28	0.000E+00	6398	platinum
Q42374	Q84R43	AF-Q42374-F1-model_v3	AF-Q84R43-F1-model_v3	1.7e-109	320.5	NA	NA	6.624E-21	1107	gold
Q42384	Q10LQ8	AF-Q42384-F1-model_v3	AF-Q10LQ8-F1-model_v3	3.5e-124	370.5	0.00e+00	1239.27	NA	NA	gold
Q42396	Q2QX45	AF-Q42396-F1-model_v3	AF-Q2QX45-F1-model_v3	2.7e-248	688.3	NA	NA	NA	NA	silver
Q42404	Q33BE1	AF-Q42404-F1-model_v3	AF-Q33BE1-F1-model_v3	2.9e-121	360.5	4.83e-04	762.86	4.105E-38	1443	platinum
Q42440	Q6ETX4	AF-Q42440-F1-model_v3	AF-Q6ETX4-F1-model_v3	1.7e-92	274.6	1.89e-15	657.87	4.757E-36	1449	platinum
Q42510	A0A0P0W117	AF-Q42510-F1-model_v3	AF-A0A0P0W117-F1-model_v3	0.0e+00	1758.0	0.00e+00	3234.99	0.000E+00	7161	platinum
Q42523	Q2QMG2	AF-Q42523-F1-model_v3	AF-Q2QMG2-F1-model_v3	0.0e+00	946.0	0.00e+00	1972.44	0.000E+00	4971	platinum
Q42524	Q6ETN3	AF-Q42524-F1-model_v3	AF-Q6ETN3-F1-model_v3	1.0e-249	696.0	NA	NA	NA	NA	silver
Q42540	Q943L1	AF-Q42540-F1-model_v3	AF-Q943L1-F1-model_v3	1.9e-111	313.9	0.00e+00	479.84	1.227E-32	1262	platinum
Q42545	B7EYF6	AF-Q42545-F1-model_v3	AF-B7EYF6-F1-model_v3	1.9e-203	567.4	0.00e+00	1071.27	4.181E-68	2632	platinum
Q42546	Q2QWT4	AF-Q42546-F1-model_v3	AF-Q2QWT4-F1-model_v3	2.8e-145	414.8	0.00e+00	956.82	2.268E-52	2229	platinum
Q42551	Q8H8G9	AF-Q42551-F1-model_v3	AF-Q8H8G9-F1-model_v3	2.0e-114	320.9	0.00e+00	455.71	3.624E-32	1253	platinum
Q42553	Q8GVZ0	AF-Q42553-F1-model_v3	AF-Q8GVZ0-F1-model_v3	3.3e-154	429.9	NA	NA	NA	NA	silver
Q42564	Q6ZJJ1	AF-Q42564-F1-model_v3	AF-Q6ZJJ1-F1-model_v3	2.2e-163	455.3	0.00e+00	798.55	4.672E-37	1897	platinum
Q42577	Q6I5H0	AF-Q42577-F1-model_v3	AF-Q6I5H0-F1-model_v3	4.5e-120	339.3	2.22e-16	541.58	2.981E-36	1368	platinum
Q42580	A0A0N7KP42	AF-Q42580-F1-model_v3	AF-A0A0N7KP42-F1-model_v3	5.9e-135	385.2	NA	NA	4.957E-37	1736	gold
Q42586	Q9LDN2	AF-Q42586-F1-model_v3	AF-Q9LDN2-F1-model_v3	9.9e-233	646.4	0.00e+00	1335.74	5.929E-76	3224	platinum
Q42592	Q7XJ02	AF-Q42592-F1-model_v3	AF-Q7XJ02-F1-model_v3	2.1e-169	476.9	NA	NA	NA	NA	silver
Q42593	Q69SV0	AF-Q42593-F1-model_v3	AF-Q69SV0-F1-model_v3	3.2e-197	554.3	0.00e+00	1004.16	2.988E-49	2313	platinum
Q42600	Q109F2	AF-Q42600-F1-model_v3	AF-Q109F2-F1-model_v3	1.4e-223	627.1	0.00e+00	1324.66	2.969E-61	2993	platinum
Q42601	B9EXM2	AF-Q42601-F1-model_v3	AF-B9EXM2-F1-model_v3	0.0e+00	1794.6	0.00e+00	3336.06	0.000E+00	8930	platinum
Q42605	Q652A8	AF-Q42605-F1-model_v3	AF-Q652A8-F1-model_v3	6.0e-188	523.5	0.00e+00	1029.98	9.476E-64	2542	platinum
Q42606	Q0JL19	AF-Q42606-F1-model_v3	AF-Q0JL19-F1-model_v3	3.4e-118	343.6	1.86e-11	592.97	5.959E-35	1360	platinum
Q43125	Q6YXC2	AF-Q43125-F1-model_v3	AF-Q6YXC2-F1-model_v3	3.7e-319	883.6	0.00e+00	1628.11	2.690E-71	3597	platinum
Q43127	P14655	AF-Q43127-F1-model_v3	AF-P14655-F1-model_v3	4.1e-257	704.1	0.00e+00	1169.24	7.025E-78	3174	platinum
Q43307	Q8W3G2	AF-Q43307-F1-model_v3	AF-Q8W3G2-F1-model_v3	2.1e-184	521.2	0.00e+00	1124.18	2.309E-58	2576	platinum
Q43316	Q6H6D2	AF-Q43316-F1-model_v3	AF-Q6H6D2-F1-model_v3	5.9e-169	476.1	0.00e+00	1020.91	1.724E-59	2385	platinum
Q43872	Q6EP33	AF-Q43872-F1-model_v3	AF-Q6EP33-F1-model_v3	2.4e-129	371.7	NA	NA	3.403E-39	1778	gold
Q45GJ7	A0A0P0WVL1	AF-Q45GJ7-F1-model_v3	AF-A0A0P0WVL1-F1-model_v3	4.3e-217	614.4	0.00e+00	1427.79	1.435E-46	2751	platinum
Q45GQ7	A0A0P0WWM6	AF-Q45GQ7-F1-model_v3	AF-A0A0P0WWM6-F1-model_v3	4.6e-05	42.4	NA	NA	NA	NA	silver
Q494N5	Q5Z990	AF-Q494N5-F1-model_v3	AF-Q5Z990-F1-model_v3	2.6e-45	152.5	NA	NA	9.515E-22	807	gold
Q494P3	Q6ASW3	AF-Q494P3-F1-model_v3	AF-Q6ASW3-F1-model_v3	1.0e-315	866.3	0.00e+00	1692.32	3.991E-85	4101	platinum
Q494P4	Q0JQS7	AF-Q494P4-F1-model_v3	AF-Q0JQS7-F1-model_v3	9.0e-107	334.3	6.88e-03	909.06	9.214E-36	1245	platinum
Q4FE45	Q337A0	AF-Q4FE45-F1-model_v3	AF-Q337A0-F1-model_v3	5.0e-205	579.3	0.00e+00	1148.17	3.000E-56	2698	platinum
Q4FE47	Q7XI08	AF-Q4FE47-F1-model_v3	AF-Q7XI08-F1-model_v3	1.2e-142	418.3	8.17e-09	1013.34	2.898E-44	2032	platinum
Q4PL95	Q10MS9	AF-Q4PL95-F1-model_v3	AF-Q10MS9-F1-model_v3	1.1e-87	261.9	0.00e+00	680.38	4.604E-33	1327	platinum
Q4PSE7	A0A0P0VZY9	AF-Q4PSE7-F1-model_v3	AF-A0A0P0VZY9-F1-model_v3	1.1e-07	53.5	NA	NA	NA	NA	silver
Q4V399	A0A0P0W9L9	AF-Q4V399-F1-model_v3	AF-A0A0P0W9L9-F1-model_v3	5.2e-165	474.2	7.44e-15	1005.93	3.828E-57	2233	platinum
Q4V3B8	Q53P98	AF-Q4V3B8-F1-model_v3	AF-Q53P98-F1-model_v3	3.1e-204	578.9	0.00e+00	1401.51	3.556E-62	3069	platinum
Q4V3C8	Q8RUE8	AF-Q4V3C8-F1-model_v3	AF-Q8RUE8-F1-model_v3	1.7e-248	687.6	0.00e+00	1225.87	6.378E-68	3084	platinum
Q4VCM1	A0A0N7KGB4	AF-Q4VCM1-F1-model_v3	AF-A0A0N7KGB4-F1-model_v3	2.9e-56	188.3	NA	NA	NA	NA	silver
Q500U8	Q0J0M1	AF-Q500U8-F1-model_v3	AF-Q0J0M1-F1-model_v3	2.3e-146	416.8	0.00e+00	904.58	8.128E-51	2021	platinum
Q500V3	Q0J9L6	AF-Q500V3-F1-model_v3	AF-Q0J9L6-F1-model_v3	9.8e-06	46.2	NA	NA	NA	NA	silver
Q500V5	A0A0P0WHJ5	AF-Q500V5-F1-model_v3	AF-A0A0P0WHJ5-F1-model_v3	1.4e-42	151.0	NA	NA	8.053E-19	924	gold
Q500V9	A0A0P0WIA1	AF-Q500V9-F1-model_v3	AF-A0A0P0WIA1-F1-model_v3	3.6e-238	663.3	0.00e+00	1358.32	1.015E-82	3422	platinum
Q500W7	Q10FE9	AF-Q500W7-F1-model_v3	AF-Q10FE9-F1-model_v3	8.1e-159	456.4	0.00e+00	1166.23	2.243E-42	2446	platinum
Q500W8	Q7XAM3	AF-Q500W8-F1-model_v3	AF-Q7XAM3-F1-model_v3	3.8e-169	476.5	0.00e+00	994.00	2.355E-55	2169	platinum
Q500X2	Q10RT4	AF-Q500X2-F1-model_v3	AF-Q10RT4-F1-model_v3	2.1e-101	294.7	1.55e-15	602.06	1.519E-32	1375	platinum
Q500Y9	Q6EQG2	AF-Q500Y9-F1-model_v3	AF-Q6EQG2-F1-model_v3	6.1e-105	309.7	0.00e+00	844.30	2.383E-52	2006	platinum
Q500Z1	Q7XHR1	AF-Q500Z1-F1-model_v3	AF-Q7XHR1-F1-model_v3	1.1e-105	309.3	0.00e+00	706.69	1.095E-24	1337	platinum
Q500Z2	Q6K9R3	AF-Q500Z2-F1-model_v3	AF-Q6K9R3-F1-model_v3	2.8e-94	278.1	NA	NA	1.368E-27	1259	gold
Q501A2	A3A168	AF-Q501A2-F1-model_v3	AF-A3A168-F1-model_v3	2.0e-119	346.7	0.00e+00	899.93	1.964E-47	1937	platinum
Q501B2	Q10PC3	AF-Q501B2-F1-model_v3	AF-Q10PC3-F1-model_v3	3.6e-56	189.5	3.08e-04	566.07	NA	NA	gold
Q501D4	A0A0P0WMS7	AF-Q501D4-F1-model_v3	AF-A0A0P0WMS7-F1-model_v3	2.7e-213	601.3	2.00e-15	1086.94	2.076E-56	2430	platinum
Q501D5	Q5VQH6	AF-Q501D5-F1-model_v3	AF-Q5VQH6-F1-model_v3	4.2e-195	560.1	0.00e+00	1412.18	1.036E-76	3157	platinum
Q501F5	A0A0P0X050	AF-Q501F5-F1-model_v3	AF-A0A0P0X050-F1-model_v3	1.1e-43	148.7	1.15e-08	382.73	8.655E-14	659	platinum
Q501H5	Q6ZCZ7	AF-Q501H5-F1-model_v3	AF-Q6ZCZ7-F1-model_v3	1.2e-195	564.3	NA	NA	NA	NA	silver
Q52K82	Q69V45	AF-Q52K82-F1-model_v3	AF-Q69V45-F1-model_v3	6.2e-105	302.4	0.00e+00	565.63	1.309E-23	1171	platinum
Q52K84	Q10EQ8	AF-Q52K84-F1-model_v3	AF-Q10EQ8-F1-model_v3	1.5e-55	176.4	4.63e-12	520.84	1.681E-24	1173	platinum
Q53YF3	B9G505	AF-Q53YF3-F1-model_v3	AF-B9G505-F1-model_v3	3.9e-97	277.7	0.00e+00	479.36	7.139E-27	1233	platinum
Q564K3	A0A0P0V3K8	AF-Q564K3-F1-model_v3	AF-A0A0P0V3K8-F1-model_v3	8.4e-79	253.8	3.64e-06	598.17	3.568E-23	960	platinum
Q56W64	Q0JB91	AF-Q56W64-F1-model_v3	AF-Q0JB91-F1-model_v3	6.5e-167	471.1	0.00e+00	855.94	4.346E-60	2315	platinum
Q56WL5	Q0JDE1	AF-Q56WL5-F1-model_v3	AF-Q0JDE1-F1-model_v3	1.6e-20	77.4	NA	NA	NA	NA	silver
Q56WM6	Q6YVK1	AF-Q56WM6-F1-model_v3	AF-Q6YVK1-F1-model_v3	2.1e-178	515.0	1.48e-11	1125.15	4.956E-41	2197	platinum
Q56WN1	P14656	AF-Q56WN1-F1-model_v3	AF-P14656-F1-model_v3	3.0e-252	685.6	0.00e+00	1055.82	4.409E-80	3072	platinum
Q56X46	Q0DQZ2	AF-Q56X46-F1-model_v3	AF-Q0DQZ2-F1-model_v3	1.1e-20	92.0	2.75e-02	387.64	NA	NA	gold
Q56X52	O82522	AF-Q56X52-F1-model_v3	AF-O82522-F1-model_v3	2.7e-142	406.4	0.00e+00	760.30	1.688E-29	1508	platinum
Q56X72	A0A0P0XEB6	AF-Q56X72-F1-model_v3	AF-A0A0P0XEB6-F1-model_v3	2.9e-69	222.6	NA	NA	NA	NA	silver
Q56XE2	Q7XRA8	AF-Q56XE2-F1-model_v3	AF-Q7XRA8-F1-model_v3	2.9e-84	257.3	9.63e-13	768.98	NA	NA	gold
Q56XE4	Q6ETX3	AF-Q56XE4-F1-model_v3	AF-Q6ETX3-F1-model_v3	4.2e-45	149.4	3.35e-04	342.12	9.304E-13	462	platinum
Q56XJ7	Q0E1G8	AF-Q56XJ7-F1-model_v3	AF-Q0E1G8-F1-model_v3	7.9e-27	104.4	9.98e-06	425.60	5.755E-17	658	platinum
Q56XP9	B7ED44	AF-Q56XP9-F1-model_v3	AF-B7ED44-F1-model_v3	4.4e-54	172.9	2.76e-04	396.70	NA	NA	gold
Q56XR7	Q0JH17	AF-Q56XR7-F1-model_v3	AF-Q0JH17-F1-model_v3	1.1e-69	218.8	1.01e-09	607.56	3.287E-30	1114	platinum
Q56XY2	Q69ST5	AF-Q56XY2-F1-model_v3	AF-Q69ST5-F1-model_v3	2.1e-183	506.9	0.00e+00	877.72	9.888E-47	2109	platinum
Q56XZ1	A0A0N7KS86	AF-Q56XZ1-F1-model_v3	AF-A0A0N7KS86-F1-model_v3	6.3e-74	242.7	7.40e-06	750.47	1.309E-29	1347	platinum
Q56Y11	Q94DE7	AF-Q56Y11-F1-model_v3	AF-Q94DE7-F1-model_v3	7.0e-95	282.7	0.00e+00	728.84	1.990E-37	1516	platinum
Q56Y42	Q7XCS4	AF-Q56Y42-F1-model_v3	AF-Q7XCS4-F1-model_v3	1.1e-201	558.9	0.00e+00	1028.84	8.617E-62	2535	platinum
Q56Y59	Q6Z8S6	AF-Q56Y59-F1-model_v3	AF-Q6Z8S6-F1-model_v3	2.7e-49	162.5	NA	NA	1.882E-22	1031	gold
Q56Y63	Q5ZAG1	AF-Q56Y63-F1-model_v3	AF-Q5ZAG1-F1-model_v3	6.0e-44	162.5	2.92e-11	911.88	2.040E-16	1009	platinum
Q56Y76	Q0J0M9	AF-Q56Y76-F1-model_v3	AF-Q0J0M9-F1-model_v3	2.0e-46	167.2	2.63e-08	859.67	9.671E-19	976	platinum
Q56YA5	Q6ZFI6	AF-Q56YA5-F1-model_v3	AF-Q6ZFI6-F1-model_v3	1.2e-258	705.7	0.00e+00	1180.51	6.997E-72	3054	platinum
Q56YJ8	A0A0P0WRG0	AF-Q56YJ8-F1-model_v3	AF-A0A0P0WRG0-F1-model_v3	4.9e-91	280.0	3.45e-07	721.96	NA	NA	gold
Q56YN3	Q5JK52	AF-Q56YN3-F1-model_v3	AF-Q5JK52-F1-model_v3	1.2e-240	670.6	0.00e+00	1303.18	3.231E-76	3110	platinum
Q56YN8	A0A0N7KEM6	AF-Q56YN8-F1-model_v3	AF-A0A0N7KEM6-F1-model_v3	3.4e-128	393.3	NA	NA	NA	NA	silver
Q56YR0	Q5VS68	AF-Q56YR0-F1-model_v3	AF-Q5VS68-F1-model_v3	1.4e-75	268.9	5.26e-03	1148.27	2.121E-30	1149	platinum
Q56YT7	B9FCM8	AF-Q56YT7-F1-model_v3	AF-B9FCM8-F1-model_v3	1.4e-05	42.4	9.98e-02	139.44	NA	NA	gold
Q56YU0	Q9LRE9	AF-Q56YU0-F1-model_v3	AF-Q9LRE9-F1-model_v3	3.5e-255	705.3	0.00e+00	1475.46	1.468E-88	3697	platinum
Q56ZA1	Q8S3T0	AF-Q56ZA1-F1-model_v3	AF-Q8S3T0-F1-model_v3	2.9e-05	41.2	1.36e-02	150.45	NA	NA	gold
Q56ZM7	Q94D91	AF-Q56ZM7-F1-model_v3	AF-Q94D91-F1-model_v3	3.3e-25	88.6	NA	NA	2.880E-09	407	gold
Q56ZZ7	Q0JQX6	AF-Q56ZZ7-F1-model_v3	AF-Q0JQX6-F1-model_v3	5.0e-267	738.8	0.00e+00	1414.93	7.102E-54	3110	platinum
Q570B4	Q10QW1	AF-Q570B4-F1-model_v3	AF-Q10QW1-F1-model_v3	1.1e-278	768.5	0.00e+00	1452.28	2.315E-88	3423	platinum
Q570G3	A0A0P0XKQ4	AF-Q570G3-F1-model_v3	AF-A0A0P0XKQ4-F1-model_v3	4.5e-170	481.5	0.00e+00	946.40	7.854E-59	2318	platinum
Q570X5	Q0E0D6	AF-Q570X5-F1-model_v3	AF-Q0E0D6-F1-model_v3	2.4e-57	183.0	1.58e-08	524.78	NA	NA	gold
Q588V7	A0A0P0Y964	AF-Q588V7-F1-model_v3	AF-A0A0P0Y964-F1-model_v3	0.0e+00	2085.1	5.69e-10	4590.75	0.000E+00	9774	platinum
Q58FT9	Q8H4W9	AF-Q58FT9-F1-model_v3	AF-Q8H4W9-F1-model_v3	2.8e-50	156.4	1.17e-11	325.88	4.747E-16	626	platinum
Q58FU6	Q7XTC6	AF-Q58FU6-F1-model_v3	AF-Q7XTC6-F1-model_v3	1.1e-231	651.7	0.00e+00	1551.42	7.579E-51	2933	platinum
Q58FW4	A0A0P0XAU2	AF-Q58FW4-F1-model_v3	AF-A0A0P0XAU2-F1-model_v3	1.0e-57	185.7	1.42e-07	490.82	NA	NA	gold
Q58G10	Q0J9E6	AF-Q58G10-F1-model_v3	AF-Q0J9E6-F1-model_v3	8.2e-76	241.9	6.00e-06	680.83	1.777E-19	924	platinum
Q5BPG9	A0A0P0UZS4	AF-Q5BPG9-F1-model_v3	AF-A0A0P0UZS4-F1-model_v3	2.3e-38	143.7	2.76e-05	698.60	NA	NA	gold
Q5BPJ1	Q5N769	AF-Q5BPJ1-F1-model_v3	AF-Q5N769-F1-model_v3	4.1e-32	128.6	5.36e-03	586.52	NA	NA	gold
Q5BPL5	A0A0P0WAB6	AF-Q5BPL5-F1-model_v3	AF-A0A0P0WAB6-F1-model_v3	2.7e-36	127.9	1.46e-05	340.56	NA	NA	gold
Q5BPV4	A0A0P0V7E8	AF-Q5BPV4-F1-model_v3	AF-A0A0P0V7E8-F1-model_v3	9.1e-29	109.8	4.30e-04	346.83	9.527E-12	466	platinum
Q5BPZ5	Q60ED7	AF-Q5BPZ5-F1-model_v3	AF-Q60ED7-F1-model_v3	3.8e-174	494.2	0.00e+00	992.89	1.191E-35	1878	platinum
Q5CCK4	Q6Z3U3	AF-Q5CCK4-F1-model_v3	AF-Q6Z3U3-F1-model_v3	2.6e-211	621.3	9.98e-07	1454.04	1.109E-70	2937	platinum
Q5D869	A0A0P0VD80	AF-Q5D869-F1-model_v3	AF-A0A0P0VD80-F1-model_v3	7.8e-271	833.6	8.86e-13	3134.91	0.000E+00	5631	platinum
Q5D892	B6DMK2	AF-Q5D892-F1-model_v3	AF-B6DMK2-F1-model_v3	0.0e+00	1233.8	0.00e+00	2798.50	0.000E+00	6058	platinum
Q5E911	A0A0P0VR14	AF-Q5E911-F1-model_v3	AF-A0A0P0VR14-F1-model_v3	2.2e-177	518.8	0.00e+00	1545.71	1.212E-39	2486	platinum
Q5E913	Q6L512	AF-Q5E913-F1-model_v3	AF-Q6L512-F1-model_v3	2.5e-185	536.2	2.52e-11	1324.59	NA	NA	gold
Q5E915	Q8H060	AF-Q5E915-F1-model_v3	AF-Q8H060-F1-model_v3	1.4e-203	578.9	0.00e+00	1302.13	5.027E-66	2903	platinum
Q5E916	Q53WM9	AF-Q5E916-F1-model_v3	AF-Q53WM9-F1-model_v3	2.3e-159	465.7	1.11e-16	1165.32	NA	NA	gold
Q5EAF2	A0A0P0W0Y8	AF-Q5EAF2-F1-model_v3	AF-A0A0P0W0Y8-F1-model_v3	1.9e-128	369.8	0.00e+00	789.65	1.239E-49	1984	platinum
Q5EAF6	C7IXG9	AF-Q5EAF6-F1-model_v3	AF-C7IXG9-F1-model_v3	3.3e-20	87.8	4.11e-06	403.22	4.198E-16	698	platinum
Q5EAH9	Q0IRY4	AF-Q5EAH9-F1-model_v3	AF-Q0IRY4-F1-model_v3	7.6e-101	315.8	3.95e-09	994.24	2.204E-49	2210	platinum
Q5EAI9	Q5QLR5	AF-Q5EAI9-F1-model_v3	AF-Q5QLR5-F1-model_v3	3.5e-36	140.6	NA	NA	3.272E-18	680	gold
Q5G1S8	Q69K58	AF-Q5G1S8-F1-model_v3	AF-Q69K58-F1-model_v3	4.8e-142	468.4	0.00e+00	3480.41	1.094E-88	5869	platinum
Q5G1T1	Q6L4I3	AF-Q5G1T1-F1-model_v3	AF-Q6L4I3-F1-model_v3	1.1e-268	766.1	NA	NA	5.333E-50	3396	gold
Q5HZ00	Q653T6	AF-Q5HZ00-F1-model_v3	AF-Q653T6-F1-model_v3	9.3e-172	487.6	0.00e+00	1000.38	1.501E-37	2092	platinum
Q5HZ48	Q53NA1	AF-Q5HZ48-F1-model_v3	AF-Q53NA1-F1-model_v3	4.0e-83	249.2	0.00e+00	522.57	2.520E-25	1092	platinum
Q5HZ60	Q6K833	AF-Q5HZ60-F1-model_v3	AF-Q6K833-F1-model_v3	2.3e-147	419.5	0.00e+00	763.69	5.250E-48	1841	platinum
Q5IBC5	A0A0N7KG60	AF-Q5IBC5-F1-model_v3	AF-A0A0N7KG60-F1-model_v3	4.4e-195	620.5	2.61e-09	2064.53	2.869E-51	3512	platinum
Q5M721	Q0DST9	AF-Q5M721-F1-model_v3	AF-Q0DST9-F1-model_v3	3.0e-158	449.9	0.00e+00	959.68	3.002E-58	2393	platinum
Q5M729	Q5VS74	AF-Q5M729-F1-model_v3	AF-Q5VS74-F1-model_v3	1.5e-225	633.6	NA	NA	1.189E-77	3088	gold
Q5M731	Q2QWK9	AF-Q5M731-F1-model_v3	AF-Q2QWK9-F1-model_v3	1.2e-234	656.0	0.00e+00	1465.00	3.739E-72	3372	platinum
Q5M755	Q0JD85	AF-Q5M755-F1-model_v3	AF-Q0JD85-F1-model_v3	9.0e-82	247.3	9.24e-14	615.09	5.793E-29	1258	platinum
Q5M759	A0A0P0XQU3	AF-Q5M759-F1-model_v3	AF-A0A0P0XQU3-F1-model_v3	9.8e-139	389.8	0.00e+00	696.31	5.021E-35	1457	platinum
Q5MK23	A0A0P0W3W7	AF-Q5MK23-F1-model_v3	AF-A0A0P0W3W7-F1-model_v3	9.1e-58	183.0	0.00e+00	606.15	4.006E-18	937	platinum
Q5PNU0	A0A0P0XDC9	AF-Q5PNU0-F1-model_v3	AF-A0A0P0XDC9-F1-model_v3	3.1e-133	395.6	0.00e+00	1051.37	1.592E-40	2067	platinum
Q5PP31	Q10PC9	AF-Q5PP31-F1-model_v3	AF-Q10PC9-F1-model_v3	4.8e-111	327.8	0.00e+00	748.10	7.631E-40	1736	platinum
Q5PP33	A0A0P0XAM8	AF-Q5PP33-F1-model_v3	AF-A0A0P0XAM8-F1-model_v3	3.0e-25	100.9	NA	NA	NA	NA	silver
Q5PP37	A0A0P0WFA2	AF-Q5PP37-F1-model_v3	AF-A0A0P0WFA2-F1-model_v3	6.1e-196	554.7	0.00e+00	1200.82	3.404E-56	2637	platinum
Q5PP39	Q7XC41	AF-Q5PP39-F1-model_v3	AF-Q7XC41-F1-model_v3	6.8e-262	719.2	0.00e+00	1316.13	5.828E-76	3620	platinum
Q5PP40	A0A0P0VDF3	AF-Q5PP40-F1-model_v3	AF-A0A0P0VDF3-F1-model_v3	4.1e-80	253.4	NA	NA	2.026E-26	1353	gold
Q5PP51	Q6L543	AF-Q5PP51-F1-model_v3	AF-Q6L543-F1-model_v3	1.2e-173	487.3	0.00e+00	979.86	9.562E-46	2226	platinum
Q5PP62	Q7Y0F6	AF-Q5PP62-F1-model_v3	AF-Q7Y0F6-F1-model_v3	2.3e-80	241.5	0.00e+00	561.64	6.888E-19	975	platinum
Q5PP70	Q10CT5	AF-Q5PP70-F1-model_v3	AF-Q10CT5-F1-model_v3	4.9e-121	348.2	0.00e+00	747.86	3.434E-45	1709	platinum
Q5Q0C3	Q851D6	AF-Q5Q0C3-F1-model_v3	AF-Q851D6-F1-model_v3	6.5e-25	91.3	2.33e-04	169.09	2.990E-05	209	platinum
Q5Q0D0	A0A0P0XRJ5	AF-Q5Q0D0-F1-model_v3	AF-A0A0P0XRJ5-F1-model_v3	6.5e-35	135.6	3.79e-04	676.54	3.880E-14	553	platinum
Q5Q0H6	Q10PM7	AF-Q5Q0H6-F1-model_v3	AF-Q10PM7-F1-model_v3	1.4e-29	108.6	NA	NA	1.820E-11	533	gold
Q5RJC5	Q2QTY2	AF-Q5RJC5-F1-model_v3	AF-Q2QTY2-F1-model_v3	9.9e-26	109.4	NA	NA	NA	NA	silver
Q5S2C3	A0A0P0VSW4	AF-Q5S2C3-F1-model_v3	AF-A0A0P0VSW4-F1-model_v3	8.8e-91	291.6	NA	NA	9.688E-13	841	gold
Q5S2C4	Q6ZBH9	AF-Q5S2C4-F1-model_v3	AF-Q6ZBH9-F1-model_v3	0.0e+00	1804.3	0.00e+00	3630.23	NA	NA	gold
Q5S4T5	Q5JK91	AF-Q5S4T5-F1-model_v3	AF-Q5JK91-F1-model_v3	3.1e-04	40.4	1.88e-01	176.56	NA	NA	gold
Q5S4X7	A0A0P0WTI0	AF-Q5S4X7-F1-model_v3	AF-A0A0P0WTI0-F1-model_v3	1.2e-165	472.6	0.00e+00	1115.13	4.402E-62	2572	platinum
