Uniprot_arabadopsis	Uniprot_human	AlphaFold_arabadopsis	AlphaFold_human	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
O82346	Q9Y324	AF-O82346-F1-model_v3	AF-Q9Y324-F1-model_v3	4.2e-91	265.0	0.00e+00	479.97	1.273E-30	1146	platinum
O82373	Q3ZCT8	AF-O82373-F1-model_v3	AF-Q3ZCT8-F1-model_v3	3.9e-06	48.9	NA	NA	NA	NA	silver
O82391	Q15040	AF-O82391-F1-model_v3	AF-Q15040-F1-model_v3	9.7e-33	121.3	NA	NA	NA	NA	silver
O82462	P07814	AF-O82462-F1-model_v3	AF-P07814-F1-model_v3	7.8e-189	577.0	0.00e+00	1813.07	1.583E-87	3702	platinum
O82486	Q86U44	AF-O82486-F1-model_v3	AF-Q86U44-F1-model_v3	9.1e-141	424.1	5.77e-07	1206.93	NA	NA	gold
O82491	Q9Y5B9	AF-O82491-F1-model_v3	AF-Q9Y5B9-F1-model_v3	1.2e-192	586.6	0.00e+00	2335.16	3.854E-96	4471	platinum
O82663	P31040	AF-O82663-F1-model_v3	AF-P31040-F1-model_v3	1.7e-302	837.4	0.00e+00	1789.58	2.679E-100	4277	platinum
O82756	Q9NX52	AF-O82756-F1-model_v3	AF-Q9NX52-F1-model_v3	8.3e-13	67.8	NA	NA	NA	NA	silver
O82762	Q96AE4	AF-O82762-F1-model_v3	AF-Q96AE4-F1-model_v3	2.1e-25	111.3	NA	NA	NA	NA	silver
O82796	P78330	AF-O82796-F1-model_v3	AF-P78330-F1-model_v3	3.7e-72	221.9	0.00e+00	642.17	5.954E-31	1266	platinum
O82808	Q9GZP4	AF-O82808-F1-model_v3	AF-Q9GZP4-F1-model_v3	9.4e-40	135.2	7.21e-13	485.36	3.696E-23	962	platinum
P0C7P7	P0DTE5	AF-P0C7P7-F1-model_v3	AF-P0DTE5-F1-model_v3	1.2e-10	63.5	NA	NA	NA	NA	silver
P0C7Q8	Q9NZU5	AF-P0C7Q8-F1-model_v3	AF-Q9NZU5-F1-model_v3	1.4e-04	44.3	NA	NA	NA	NA	silver
P0C8L4	Q9BRP7	AF-P0C8L4-F1-model_v3	AF-Q9BRP7-F1-model_v3	3.3e-15	73.6	NA	NA	NA	NA	silver
P0CC32	P03891	AF-P0CC32-F1-model_v3	AF-P03891-F1-model_v3	7.9e-15	75.9	NA	NA	NA	NA	silver
P0CH33	P0CG47	AF-P0CH33-F1-model_v3	AF-P0CG47-F1-model_v3	5.9e-155	429.1	NA	NA	NA	NA	silver
P0CJ65	A6NMT0	AF-P0CJ65-F1-model_v3	AF-A6NMT0-F1-model_v3	3.6e-06	47.0	NA	NA	NA	NA	silver
P0DH96	P0DP25	AF-P0DH96-F1-model_v3	AF-P0DP25-F1-model_v3	1.0e-61	186.8	NA	NA	NA	NA	silver
P0DKI5	O94888	AF-P0DKI5-F1-model_v3	AF-O94888-F1-model_v3	2.1e-23	102.1	1.58e-07	699.68	NA	NA	gold
P0DKL6	Q15393	AF-P0DKL6-F1-model_v3	AF-Q15393-F1-model_v3	0.0e+00	1412.9	0.00e+00	3320.13	0.000E+00	8062	platinum
P18616	P24928	AF-P18616-F1-model_v3	AF-P24928-F1-model_v3	0.0e+00	1720.7	0.00e+00	4405.61	0.000E+00	8849	platinum
P20115	O75390	AF-P20115-F1-model_v3	AF-O75390-F1-model_v3	6.7e-207	580.5	0.00e+00	1316.77	1.463E-47	2636	platinum
P22738	P39023	AF-P22738-F1-model_v3	AF-P39023-F1-model_v3	2.3e-189	530.0	NA	NA	6.900E-61	2663	gold
P25070	P05937	AF-P25070-F1-model_v3	AF-P05937-F1-model_v3	1.5e-09	55.1	NA	NA	NA	NA	silver
P25865	P49459	AF-P25865-F1-model_v3	AF-P49459-F1-model_v3	2.1e-90	259.6	0.00e+00	431.72	6.702E-31	1164	platinum
P28769	P17987	AF-P28769-F1-model_v3	AF-P17987-F1-model_v3	2.8e-251	699.5	0.00e+00	1581.91	2.974E-73	3618	platinum
P29514	Q9BVA1	AF-P29514-F1-model_v3	AF-Q9BVA1-F1-model_v3	1.5e-294	800.4	NA	NA	6.890E-80	3436	gold
P30182	Q02880	AF-P30182-F1-model_v3	AF-Q02880-F1-model_v3	0.0e+00	1134.0	4.44e-16	3443.17	NA	NA	gold
P31582	P20339	AF-P31582-F1-model_v3	AF-P20339-F1-model_v3	4.7e-81	240.4	NA	NA	NA	NA	silver
P32746	Q02127	AF-P32746-F1-model_v3	AF-Q02127-F1-model_v3	1.2e-126	373.2	0.00e+00	1041.48	9.595E-50	2113	platinum
P33207	Q92506	AF-P33207-F1-model_v3	AF-Q92506-F1-model_v3	1.3e-46	158.3	NA	NA	2.345E-27	1129	gold
P34788	P62269	AF-P34788-F1-model_v3	AF-P62269-F1-model_v3	3.0e-83	241.5	0.00e+00	408.14	3.776E-24	926	platinum
P34789	P62857	AF-P34789-F1-model_v3	AF-P62857-F1-model_v3	6.2e-25	87.4	0.00e+00	166.89	4.314E-09	412	platinum
P34795	P06744	AF-P34795-F1-model_v3	AF-P06744-F1-model_v3	1.0e-160	469.9	0.00e+00	1448.47	2.934E-58	2723	platinum
P36428	P49588	AF-P36428-F1-model_v3	AF-P49588-F1-model_v3	1.5e-286	823.2	0.00e+00	2536.40	0.000E+00	5147	platinum
P38420	P30876	AF-P38420-F1-model_v3	AF-P30876-F1-model_v3	0.0e+00	1561.2	0.00e+00	3277.18	0.000E+00	8155	platinum
P38421	P62487	AF-P38421-F1-model_v3	AF-P62487-F1-model_v3	6.2e-68	204.5	0.00e+00	500.60	1.017E-23	1107	platinum
P38666	P83731	AF-P38666-F1-model_v3	AF-P83731-F1-model_v3	9.1e-31	109.0	4.43e-12	375.06	5.789E-14	536	platinum
P40940	P40616	AF-P40940-F1-model_v3	AF-P40616-F1-model_v3	2.8e-84	246.5	NA	NA	1.899E-31	1189	gold
P42339	Q8NEB9	AF-P42339-F1-model_v3	AF-Q8NEB9-F1-model_v3	1.7e-218	639.0	0.00e+00	1985.59	1.772E-80	4029	platinum
P42698	Q96I25	AF-P42698-F1-model_v3	AF-Q96I25-F1-model_v3	4.6e-41	149.4	2.29e-05	663.48	7.098E-24	908	platinum
P42742	P20618	AF-P42742-F1-model_v3	AF-P20618-F1-model_v3	6.0e-69	211.5	0.00e+00	602.29	3.656E-32	1283	platinum
P42770	P00390	AF-P42770-F1-model_v3	AF-P00390-F1-model_v3	2.0e-97	306.2	0.00e+00	1264.82	1.565E-54	2273	platinum
P42791	Q07020	AF-P42791-F1-model_v3	AF-Q07020-F1-model_v3	5.4e-80	236.1	0.00e+00	522.51	5.749E-30	1114	platinum
P42792	P00156	AF-P42792-F1-model_v3	AF-P00156-F1-model_v3	6.8e-148	424.1	0.00e+00	1078.23	1.312E-34	1953	platinum
P43254	Q8NHY2	AF-P43254-F1-model_v3	AF-Q8NHY2-F1-model_v3	5.2e-147	444.9	8.20e-14	1445.67	4.367E-63	2693	platinum
P43255	Q99627	AF-P43255-F1-model_v3	AF-Q99627-F1-model_v3	1.6e-28	105.9	1.11e-16	459.68	3.381E-13	660	platinum
P43299	P33993	AF-P43299-F1-model_v3	AF-P33993-F1-model_v3	9.8e-225	645.2	0.00e+00	1869.08	1.150E-92	3937	platinum
P43333	P09661	AF-P43333-F1-model_v3	AF-P09661-F1-model_v3	5.9e-69	213.0	2.84e-14	619.53	8.647E-31	1250	platinum
P45432	Q13098	AF-P45432-F1-model_v3	AF-Q13098-F1-model_v3	9.8e-123	365.9	0.00e+00	1155.41	1.444E-31	1732	platinum
P45951	P27695	AF-P45951-F1-model_v3	AF-P27695-F1-model_v3	3.5e-72	233.0	1.05e-13	711.55	7.777E-35	1409	platinum
P46086	Q03426	AF-P46086-F1-model_v3	AF-Q03426-F1-model_v3	2.6e-74	236.1	0.00e+00	889.71	3.603E-37	1696	platinum
P46416	P48637	AF-P46416-F1-model_v3	AF-P48637-F1-model_v3	5.7e-106	325.9	0.00e+00	1247.37	2.929E-53	2384	platinum
P46601	O43248	AF-P46601-F1-model_v3	AF-O43248-F1-model_v3	7.7e-05	43.5	NA	NA	NA	NA	silver
P46637	Q9BSE5	AF-P46637-F1-model_v3	AF-Q9BSE5-F1-model_v3	5.0e-36	133.7	0.00e+00	574.22	6.792E-21	912	platinum
P46897	Q00444	AF-P46897-F1-model_v3	AF-Q00444-F1-model_v3	3.4e-05	43.9	NA	NA	NA	NA	silver
P48578	P62714	AF-P48578-F1-model_v3	AF-P62714-F1-model_v3	2.1e-198	545.8	NA	NA	NA	NA	silver
P48732	Q7L5Y6	AF-P48732-F1-model_v3	AF-Q7L5Y6-F1-model_v3	5.2e-69	231.9	0.00e+00	1153.37	1.108E-47	2168	platinum
P49201	P62266	AF-P49201-F1-model_v3	AF-P62266-F1-model_v3	7.6e-77	224.6	0.00e+00	406.29	6.277E-26	1038	platinum
P49209	P32969	AF-P49209-F1-model_v3	AF-P32969-F1-model_v3	6.5e-72	216.1	0.00e+00	528.14	2.051E-27	1200	platinum
P49211	P62910	AF-P49211-F1-model_v3	AF-P62910-F1-model_v3	1.4e-59	180.3	0.00e+00	375.91	3.147E-21	779	platinum
P49637	P46776	AF-P49637-F1-model_v3	AF-P46776-F1-model_v3	2.3e-45	145.2	0.00e+00	403.71	2.921E-21	847	platinum
P49690	P62829	AF-P49690-F1-model_v3	AF-P62829-F1-model_v3	3.6e-83	240.4	0.00e+00	405.93	3.972E-26	1151	platinum
P49693	P84098	AF-P49693-F1-model_v3	AF-P84098-F1-model_v3	3.9e-80	237.7	0.00e+00	550.62	5.613E-22	925	platinum
P49967	P61011	AF-P49967-F1-model_v3	AF-P61011-F1-model_v3	5.8e-196	555.1	0.00e+00	1346.97	2.001E-51	2691	platinum
P51413	P18621	AF-P51413-F1-model_v3	AF-P18621-F1-model_v3	8.9e-75	222.2	0.00e+00	487.24	3.561E-27	1078	platinum
P52420	P22102	AF-P52420-F1-model_v3	AF-P22102-F1-model_v3	1.6e-104	336.3	0.00e+00	1193.38	1.273E-54	2275	platinum
P53780	P32929	AF-P53780-F1-model_v3	AF-P32929-F1-model_v3	5.8e-103	313.2	0.00e+00	1089.04	4.356E-50	2089	platinum
P54150	Q9UJ68	AF-P54150-F1-model_v3	AF-Q9UJ68-F1-model_v3	7.3e-45	151.0	6.49e-09	493.36	4.110E-18	710	platinum
P54888	P54886	AF-P54888-F1-model_v3	AF-P54886-F1-model_v3	1.6e-210	612.1	0.00e+00	1863.85	2.781E-83	3797	platinum
P54904	Q96C36	AF-P54904-F1-model_v3	AF-Q96C36-F1-model_v3	1.3e-65	207.6	0.00e+00	750.94	2.738E-29	1270	platinum
P55034	P55036	AF-P55034-F1-model_v3	AF-P55036-F1-model_v3	5.6e-74	235.0	1.38e-12	792.27	9.296E-38	1487	platinum
P55826	P50336	AF-P55826-F1-model_v3	AF-P50336-F1-model_v3	3.9e-36	140.6	0.00e+00	956.66	1.567E-34	1473	platinum
P56792	Q6P1L8	AF-P56792-F1-model_v3	AF-Q6P1L8-F1-model_v3	4.5e-05	40.4	NA	NA	NA	NA	silver
P56797	Q9Y399	AF-P56797-F1-model_v3	AF-Q9Y399-F1-model_v3	7.5e-08	52.0	0.00e+00	457.41	5.004E-15	676	platinum
P56802	P82912	AF-P56802-F1-model_v3	AF-P82912-F1-model_v3	2.9e-20	82.0	NA	NA	2.695E-13	531	gold
P57681	Q9UHG3	AF-P57681-F1-model_v3	AF-Q9UHG3-F1-model_v3	1.0e-57	199.5	0.00e+00	1049.01	9.621E-44	1859	platinum
P57741	P61758	AF-P57741-F1-model_v3	AF-P61758-F1-model_v3	6.5e-43	142.5	0.00e+00	517.61	4.292E-18	735	platinum
P57742	Q99471	AF-P57742-F1-model_v3	AF-Q99471-F1-model_v3	5.7e-28	101.3	0.00e+00	397.38	1.603E-12	519	platinum
P57750	O95394	AF-P57750-F1-model_v3	AF-O95394-F1-model_v3	6.5e-137	408.3	0.00e+00	1393.84	3.047E-62	2828	platinum
P57758	O60931	AF-P57758-F1-model_v3	AF-O60931-F1-model_v3	5.8e-68	214.9	0.00e+00	706.04	7.157E-20	1118	platinum
P58728	Q9BWJ5	AF-P58728-F1-model_v3	AF-Q9BWJ5-F1-model_v3	1.4e-37	120.9	4.44e-16	232.47	3.082E-10	438	platinum
P59224	P62277	AF-P59224-F1-model_v3	AF-P62277-F1-model_v3	8.1e-83	240.4	0.00e+00	431.70	1.296E-19	906	platinum
P59230	P62906	AF-P59230-F1-model_v3	AF-P62906-F1-model_v3	1.1e-98	285.8	0.00e+00	620.44	1.447E-37	1447	platinum
P59259	P62805	AF-P59259-F1-model_v3	AF-P62805-F1-model_v3	2.8e-67	197.2	5.63e-13	284.89	1.139E-15	611	platinum
P60620	P00395	AF-P60620-F1-model_v3	AF-P00395-F1-model_v3	1.1e-259	718.4	0.00e+00	1445.73	5.599E-58	3208	platinum
P61841	Q9Y2R9	AF-P61841-F1-model_v3	AF-Q9Y2R9-F1-model_v3	1.3e-17	76.6	6.66e-15	377.84	2.343E-11	552	platinum
P68209	P53597	AF-P68209-F1-model_v3	AF-P53597-F1-model_v3	3.2e-150	426.8	0.00e+00	933.93	3.076E-55	2141	platinum
P92522	P10266	AF-P92522-F1-model_v3	AF-P10266-F1-model_v3	4.8e-05	40.8	NA	NA	NA	NA	silver
P92558	P03886	AF-P92558-F1-model_v3	AF-P03886-F1-model_v3	2.3e-93	280.4	0.00e+00	882.23	5.696E-29	1586	platinum
P92947	Q96NN9	AF-P92947-F1-model_v3	AF-Q96NN9-F1-model_v3	1.6e-30	125.2	4.21e-12	949.95	9.811E-38	1560	platinum
P92948	Q99459	AF-P92948-F1-model_v3	AF-Q99459-F1-model_v3	1.6e-204	601.3	7.59e-11	1794.98	7.933E-54	2470	platinum
P92974	P22314	AF-P92974-F1-model_v3	AF-P22314-F1-model_v3	3.9e-314	899.8	0.00e+00	2815.25	0.000E+00	5834	platinum
P92994	Q16696	AF-P92994-F1-model_v3	AF-Q16696-F1-model_v3	4.0e-43	159.8	NA	NA	NA	NA	silver
P93009	O60888	AF-P93009-F1-model_v3	AF-O60888-F1-model_v3	5.4e-31	110.9	1.46e-09	377.12	1.650E-15	646	platinum
P93033	P07954	AF-P93033-F1-model_v3	AF-P07954-F1-model_v3	2.1e-240	667.9	0.00e+00	1386.37	4.452E-58	3082	platinum
P93043	P49754	AF-P93043-F1-model_v3	AF-P49754-F1-model_v3	7.1e-183	552.0	0.00e+00	2101.31	8.248E-67	3395	platinum
P93045	Q12824	AF-P93045-F1-model_v3	AF-Q12824-F1-model_v3	5.5e-22	93.2	2.50e-08	427.44	3.144E-13	574	platinum
P93655	P36776	AF-P93655-F1-model_v3	AF-P36776-F1-model_v3	5.2e-279	801.2	3.71e-12	2026.68	2.193E-103	4558	platinum
P93736	P26640	AF-P93736-F1-model_v3	AF-P26640-F1-model_v3	0.0e+00	927.5	0.00e+00	2732.04	0.000E+00	5509	platinum
P93836	P32754	AF-P93836-F1-model_v3	AF-P32754-F1-model_v3	2.6e-54	186.0	0.00e+00	864.03	1.814E-38	1597	platinum
P94088	O95232	AF-P94088-F1-model_v3	AF-O95232-F1-model_v3	1.4e-52	179.1	3.58e-08	796.41	NA	NA	gold
P94102	Q06609	AF-P94102-F1-model_v3	AF-Q06609-F1-model_v3	8.8e-171	478.4	0.00e+00	964.70	8.737E-58	2342	platinum
Q05153	Q08945	AF-Q05153-F1-model_v3	AF-Q08945-F1-model_v3	4.8e-98	315.8	0.00e+00	1421.38	5.513E-58	2539	platinum
Q05763	P04818	AF-Q05763-F1-model_v3	AF-P04818-F1-model_v3	1.5e-140	409.5	0.00e+00	849.03	4.258E-51	2034	platinum
Q08682	P08865	AF-Q08682-F1-model_v3	AF-P08865-F1-model_v3	7.7e-92	274.6	3.34e-13	702.49	5.961E-34	1362	platinum
Q0IGK1	O95243	AF-Q0IGK1-F1-model_v3	AF-O95243-F1-model_v3	7.0e-31	125.2	3.58e-04	712.59	NA	NA	gold
Q0PCS3	Q92698	AF-Q0PCS3-F1-model_v3	AF-Q92698-F1-model_v3	3.8e-174	523.5	5.55e-16	1563.97	2.039E-65	2988	platinum
Q0V7U5	O94967	AF-Q0V7U5-F1-model_v3	AF-O94967-F1-model_v3	5.2e-06	48.9	NA	NA	NA	NA	silver
Q0V809	P13284	AF-Q0V809-F1-model_v3	AF-P13284-F1-model_v3	2.6e-34	123.2	2.32e-10	443.29	2.331E-16	739	platinum
Q0WM29	Q02252	AF-Q0WM29-F1-model_v3	AF-Q02252-F1-model_v3	1.7e-219	620.5	0.00e+00	1444.33	7.176E-83	3365	platinum
Q0WP96	Q96HH6	AF-Q0WP96-F1-model_v3	AF-Q96HH6-F1-model_v3	3.1e-59	192.2	0.00e+00	797.83	4.773E-23	1195	platinum
Q0WPD9	Q9H6V9	AF-Q0WPD9-F1-model_v3	AF-Q9H6V9-F1-model_v3	7.0e-19	85.5	0.00e+00	647.05	4.448E-20	865	platinum
Q0WPK0	O00311	AF-Q0WPK0-F1-model_v3	AF-O00311-F1-model_v3	6.5e-33	135.2	9.41e-04	825.35	NA	NA	gold
Q0WPN0	Q8IYB7	AF-Q0WPN0-F1-model_v3	AF-Q8IYB7-F1-model_v3	2.1e-136	433.7	2.11e-15	1857.76	2.743E-76	3416	platinum
Q0WQ75	Q9UID3	AF-Q0WQ75-F1-model_v3	AF-Q9UID3-F1-model_v3	2.0e-61	221.5	7.77e-16	1717.99	1.536E-32	1880	platinum
Q0WQF4	Q5VIR6	AF-Q0WQF4-F1-model_v3	AF-Q5VIR6-F1-model_v3	2.5e-128	404.4	9.58e-13	1809.41	4.321E-39	2310	platinum
Q0WQM7	Q6ZRY4	AF-Q0WQM7-F1-model_v3	AF-Q6ZRY4-F1-model_v3	3.6e-19	84.0	NA	NA	NA	NA	silver
Q0WUG6	Q14703	AF-Q0WUG6-F1-model_v3	AF-Q14703-F1-model_v3	7.7e-302	866.7	0.00e+00	2360.63	0.000E+00	4931	platinum
Q0WUQ7	P12955	AF-Q0WUQ7-F1-model_v3	AF-P12955-F1-model_v3	3.5e-192	544.7	0.00e+00	1355.24	3.405E-75	3068	platinum
Q0WUR1	P41214	AF-Q0WUR1-F1-model_v3	AF-P41214-F1-model_v3	1.2e-88	286.2	1.04e-14	1337.10	9.844E-55	2325	platinum
Q0WVH7	Q9NVU7	AF-Q0WVH7-F1-model_v3	AF-Q9NVU7-F1-model_v3	2.1e-63	225.7	4.20e-11	1328.23	2.175E-31	1815	platinum
Q0WVR4	P0C870	AF-Q0WVR4-F1-model_v3	AF-P0C870-F1-model_v3	2.5e-75	235.0	0.00e+00	767.74	7.065E-39	1550	platinum
Q0WVR7	Q8WWH5	AF-Q0WVR7-F1-model_v3	AF-Q8WWH5-F1-model_v3	2.1e-32	127.5	3.30e-08	629.98	1.252E-25	1073	platinum
Q0WVW7	O94761	AF-Q0WVW7-F1-model_v3	AF-O94761-F1-model_v3	2.0e-72	260.4	2.58e-08	1707.37	NA	NA	gold
Q0WVZ1	Q0P6H9	AF-Q0WVZ1-F1-model_v3	AF-Q0P6H9-F1-model_v3	5.3e-32	132.5	0.00e+00	1271.26	2.744E-41	1778	platinum
Q0WW55	P23919	AF-Q0WW55-F1-model_v3	AF-P23919-F1-model_v3	4.6e-67	207.2	0.00e+00	546.62	2.971E-28	1132	platinum
Q0WW94	Q9BWU0	AF-Q0WW94-F1-model_v3	AF-Q9BWU0-F1-model_v3	7.2e-33	136.0	9.52e-03	843.45	5.633E-27	1154	platinum
Q0WWQ1	Q9NT62	AF-Q0WWQ1-F1-model_v3	AF-Q9NT62-F1-model_v3	8.1e-79	242.7	6.44e-12	611.38	5.247E-30	1259	platinum
Q11207	Q9UGN5	AF-Q11207-F1-model_v3	AF-Q9UGN5-F1-model_v3	1.0e-148	443.0	NA	NA	3.072E-57	2749	gold
Q147P9	Q9NYR8	AF-Q147P9-F1-model_v3	AF-Q9NYR8-F1-model_v3	1.2e-26	105.9	0.00e+00	616.56	5.770E-21	862	platinum
Q1EBV4	Q5TDH0	AF-Q1EBV4-F1-model_v3	AF-Q5TDH0-F1-model_v3	2.9e-71	229.6	6.08e-14	854.67	1.933E-37	1566	platinum
Q1ECJ7	O15145	AF-Q1ECJ7-F1-model_v3	AF-O15145-F1-model_v3	2.4e-51	162.5	0.00e+00	453.79	3.907E-15	695	platinum
Q1ECQ5	Q9BT30	AF-Q1ECQ5-F1-model_v3	AF-Q9BT30-F1-model_v3	1.2e-08	53.5	3.64e-09	361.85	NA	NA	gold
Q1G3F7	Q9NR50	AF-Q1G3F7-F1-model_v3	AF-Q9NR50-F1-model_v3	1.8e-28	117.1	0.00e+00	901.40	9.932E-32	1468	platinum
Q1H568	Q9HCU8	AF-Q1H568-F1-model_v3	AF-Q9HCU8-F1-model_v3	2.1e-13	61.6	7.19e-07	211.10	1.637E-05	247	platinum
Q1H595	Q9Y333	AF-Q1H595-F1-model_v3	AF-Q9Y333-F1-model_v3	1.4e-45	141.7	0.00e+00	263.79	1.505E-16	659	platinum
Q1H5B2	Q9BYX2	AF-Q1H5B2-F1-model_v3	AF-Q9BYX2-F1-model_v3	9.7e-50	180.3	NA	NA	NA	NA	silver
Q1JPN1	Q7L592	AF-Q1JPN1-F1-model_v3	AF-Q7L592-F1-model_v3	1.9e-80	256.5	0.00e+00	956.60	1.607E-45	1853	platinum
Q1PEH3	P32321	AF-Q1PEH3-F1-model_v3	AF-P32321-F1-model_v3	6.0e-62	191.8	0.00e+00	447.75	3.769E-27	1019	platinum
Q1PEQ5	P50876	AF-Q1PEQ5-F1-model_v3	AF-P50876-F1-model_v3	2.6e-23	97.1	NA	NA	NA	NA	silver
Q24JN5	O15460	AF-Q24JN5-F1-model_v3	AF-O15460-F1-model_v3	6.7e-34	129.4	NA	NA	NA	NA	silver
Q2HIK4	O15212	AF-Q2HIK4-F1-model_v3	AF-O15212-F1-model_v3	3.1e-27	97.8	0.00e+00	358.84	4.391E-10	420	platinum
Q2HIW2	Q8WUJ1	AF-Q2HIW2-F1-model_v3	AF-Q8WUJ1-F1-model_v3	3.5e-39	136.7	4.52e-13	567.24	1.980E-23	953	platinum
Q2LAE1	Q9BYW2	AF-Q2LAE1-F1-model_v3	AF-Q9BYW2-F1-model_v3	3.6e-58	223.4	5.20e-02	1626.18	NA	NA	gold
Q2PGG3	Q9GZT4	AF-Q2PGG3-F1-model_v3	AF-Q9GZT4-F1-model_v3	7.4e-104	308.1	0.00e+00	881.68	8.182E-42	1728	platinum
Q2QAV0	Q9NRP7	AF-Q2QAV0-F1-model_v3	AF-Q9NRP7-F1-model_v3	2.7e-102	355.5	1.94e-11	2341.38	2.807E-42	2852	platinum
Q38799	P11177	AF-Q38799-F1-model_v3	AF-P11177-F1-model_v3	4.2e-141	404.8	0.00e+00	1014.74	1.821E-58	2263	platinum
Q38859	P52435	AF-Q38859-F1-model_v3	AF-P52435-F1-model_v3	1.9e-37	122.9	0.00e+00	334.95	3.918E-15	605	platinum
Q38899	Q13416	AF-Q38899-F1-model_v3	AF-Q13416-F1-model_v3	3.7e-62	208.8	0.00e+00	847.68	2.981E-32	1356	platinum
Q38920	P49356	AF-Q38920-F1-model_v3	AF-P49356-F1-model_v3	4.9e-109	330.5	0.00e+00	977.98	2.614E-35	1779	platinum
Q38921	Q13795	AF-Q38921-F1-model_v3	AF-Q13795-F1-model_v3	1.4e-53	170.2	0.00e+00	521.32	4.299E-25	967	platinum
Q38942	P78406	AF-Q38942-F1-model_v3	AF-P78406-F1-model_v3	9.4e-98	294.3	0.00e+00	849.55	2.237E-43	1963	platinum
Q38944	P18405	AF-Q38944-F1-model_v3	AF-P18405-F1-model_v3	4.6e-47	157.5	0.00e+00	637.62	1.029E-16	944	platinum
Q38953	Q14562	AF-Q38953-F1-model_v3	AF-Q14562-F1-model_v3	0.0e+00	1315.4	0.00e+00	2916.01	0.000E+00	6357	platinum
Q38954	Q08357	AF-Q38954-F1-model_v3	AF-Q08357-F1-model_v3	1.1e-46	174.1	1.44e-15	1019.28	4.250E-23	1322	platinum
Q39009	Q14565	AF-Q39009-F1-model_v3	AF-Q14565-F1-model_v3	1.4e-134	386.7	NA	NA	3.489E-49	2044	gold
Q39054	Q9NQX3	AF-Q39054-F1-model_v3	AF-Q9NQX3-F1-model_v3	9.4e-103	329.7	0.00e+00	1112.02	4.302E-58	2385	platinum
Q39055	Q9NZB8	AF-Q39055-F1-model_v3	AF-Q9NZB8-F1-model_v3	4.2e-145	426.0	0.00e+00	1027.39	1.232E-55	2173	platinum
Q39061	Q9UHX1	AF-Q39061-F1-model_v3	AF-Q9UHX1-F1-model_v3	6.0e-20	90.5	NA	NA	NA	NA	silver
Q39085	Q15392	AF-Q39085-F1-model_v3	AF-Q15392-F1-model_v3	1.1e-123	373.6	0.00e+00	1308.13	8.463E-56	2452	platinum
Q39172	Q14914	AF-Q39172-F1-model_v3	AF-Q14914-F1-model_v3	2.6e-69	219.9	NA	NA	1.337E-40	1592	gold
Q39211	P19387	AF-Q39211-F1-model_v3	AF-P19387-F1-model_v3	1.2e-58	189.9	NA	NA	2.444E-31	1255	gold
Q39216	O15160	AF-Q39216-F1-model_v3	AF-O15160-F1-model_v3	3.0e-92	280.8	0.00e+00	841.18	2.271E-42	1729	platinum
Q39230	P49591	AF-Q39230-F1-model_v3	AF-P49591-F1-model_v3	1.6e-148	433.0	0.00e+00	1189.25	1.827E-56	2398	platinum
Q39236	P52657	AF-Q39236-F1-model_v3	AF-P52657-F1-model_v3	7.8e-35	115.5	0.00e+00	309.63	3.427E-14	582	platinum
Q39250	P23528	AF-Q39250-F1-model_v3	AF-P23528-F1-model_v3	1.2e-20	82.4	NA	NA	NA	NA	silver
Q39251	Q9Y281	AF-Q39251-F1-model_v3	AF-Q9Y281-F1-model_v3	1.2e-19	79.7	NA	NA	NA	NA	silver
Q3EBD3	Q5T1V6	AF-Q3EBD3-F1-model_v3	AF-Q5T1V6-F1-model_v3	1.6e-137	410.6	0.00e+00	1287.93	NA	NA	gold
Q3EBF7	O60427	AF-Q3EBF7-F1-model_v3	AF-O60427-F1-model_v3	7.8e-46	164.9	0.00e+00	984.96	NA	NA	gold
Q3ED78	Q8IXZ2	AF-Q3ED78-F1-model_v3	AF-Q8IXZ2-F1-model_v3	5.2e-14	74.7	NA	NA	NA	NA	silver
Q3MV14	Q9BYB4	AF-Q3MV14-F1-model_v3	AF-Q9BYB4-F1-model_v3	2.5e-41	148.3	0.00e+00	748.99	4.665E-34	1510	platinum
Q42134	P28066	AF-Q42134-F1-model_v3	AF-P28066-F1-model_v3	2.2e-111	319.7	0.00e+00	665.06	7.137E-40	1613	platinum
Q42191	Q15070	AF-Q42191-F1-model_v3	AF-Q15070-F1-model_v3	4.0e-39	146.0	2.24e-09	785.39	1.009E-18	998	platinum
Q42290	O75439	AF-Q42290-F1-model_v3	AF-O75439-F1-model_v3	1.0e-156	456.1	0.00e+00	1283.58	2.055E-59	2576	platinum
Q42340	P62249	AF-Q42340-F1-model_v3	AF-P62249-F1-model_v3	8.5e-78	227.3	0.00e+00	423.70	7.265E-26	1032	platinum
Q42404	P08621	AF-Q42404-F1-model_v3	AF-P08621-F1-model_v3	1.1e-67	221.9	1.20e-05	697.79	6.285E-27	1036	platinum
Q42406	P62937	AF-Q42406-F1-model_v3	AF-P62937-F1-model_v3	4.9e-88	255.0	NA	NA	1.910E-33	1257	gold
Q42510	Q92538	AF-Q42510-F1-model_v3	AF-Q92538-F1-model_v3	4.1e-154	513.1	NA	NA	2.791E-62	4231	gold
Q42523	Q96RQ3	AF-Q42523-F1-model_v3	AF-Q96RQ3-F1-model_v3	2.6e-201	586.3	0.00e+00	1803.37	1.987E-86	3925	platinum
